"subject","cond_order","sess","block","trial","target_num","target","tgt_word","tgt_pos","rt","rt_secs","exp"
"m0085",NA,NA,1,1,1,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,2,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,3,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,4,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,5,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,6,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,7,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,8,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,9,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,10,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,11,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,12,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,13,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,14,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,15,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,16,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,17,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,1,18,"be","4","2",NA,NA,"exp 3"
"m0085",NA,NA,1,2,1,"la","3","3",495.800000000003,0.495800000000003,"exp 3"
"m0085",NA,NA,1,2,2,"la","3","3",387.699999999997,0.387699999999997,"exp 3"
"m0085",NA,NA,1,2,3,"la","3","3",377.699999999997,0.377699999999997,"exp 3"
"m0085",NA,NA,1,2,4,"la","3","3",447.5,0.4475,"exp 3"
"m0085",NA,NA,1,2,5,"la","3","3",427.5,0.4275,"exp 3"
"m0085",NA,NA,1,2,6,"la","3","3",439.599999999977,0.439599999999977,"exp 3"
"m0085",NA,NA,1,2,7,"la","3","3",393.400000000023,0.393400000000023,"exp 3"
"m0085",NA,NA,1,2,8,"la","3","3",391.200000000012,0.391200000000012,"exp 3"
"m0085",NA,NA,1,2,9,"la","3","3",623.299999999988,0.623299999999988,"exp 3"
"m0085",NA,NA,1,2,10,"la","3","3",387.099999999977,0.387099999999977,"exp 3"
"m0085",NA,NA,1,2,12,"la","3","3",556.900000000023,0.556900000000023,"exp 3"
"m0085",NA,NA,1,2,13,"la","3","3",442.800000000017,0.442800000000017,"exp 3"
"m0085",NA,NA,1,2,14,"la","3","3",418.700000000012,0.418700000000012,"exp 3"
"m0085",NA,NA,1,2,15,"la","3","3",454.700000000012,0.454700000000012,"exp 3"
