Scenario - _RPSL_incidental
Logfile written - 09/27/2019 11:43:18
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

a0604	1	Picture	instruct	166	0	1	71504	2	0	next	other	0
a0604	1	Response	1	71299	71133	0
a0604	2	Sound	be	106870	35200	1			35000		other	0
a0604	3	Audio Cue	be	110571	1064	1			0		other	0
a0604	3	Sound	cue_linfade_exp_seq_A_03.wav	110571	1064	1			0		miss	0
a0604	3	Audio Cue	tu	113070	3564	1			0		other	0
a0604	3	Audio Cue	nu	115570	6064	1			0		other	0
a0604	3	Audio Cue	ga	118070	8564	1			0		other	0
a0604	3	Audio Cue	di	120570	11064	1			0		other	0
a0604	3	Audio Cue	ro	123070	13564	1			0		other	0
a0604	3	Audio Cue	ki	125570	16064	1			0		other	0
a0604	3	Audio Cue	se	128071	18565	1			0		other	0
a0604	3	Audio Cue	mi	130571	21065	1			0		other	0
a0604	3	Audio Cue	po	133071	23565	1			0		other	0
a0604	3	Audio Cue	la	135570	26064	1			0		other	0
a0604	3	Audio Cue	za	138070	28564	1			0		other	0
a0604	3	Audio Cue	be	140571	31065	1			0		other	0
a0604	3	Audio Cue	tu	143071	33565	1			0		other	0
a0604	3	Audio Cue	ro	145571	36065	1			0		other	0
a0604	3	Audio Cue	ki	148070	38564	1			0		other	0
a0604	3	Audio Cue	se	150570	41064	1			0		other	0
a0604	3	Audio Cue	nu	153070	43564	1			0		other	0
a0604	3	Audio Cue	ga	155571	46065	1			0		other	0
a0604	3	Audio Cue	di	158071	48565	1			0		other	0
a0604	3	Audio Cue	mi	160571	51065	1			0		other	0
a0604	3	Audio Cue	po	163071	53565	1			0		other	0
a0604	3	Audio Cue	la	165571	56065	1			0		other	0
a0604	3	Audio Cue	za	168071	58565	1			0		other	0
a0604	3	Audio Cue	be	170571	61065	1			0		other	0
a0604	3	Audio Cue	tu	173071	63565	1			0		other	0
a0604	3	Audio Cue	ro	175572	66066	1			0		other	0
a0604	3	Audio Cue	ki	178072	68566	1			0		other	0
a0604	3	Audio Cue	se	180571	71065	1			0		other	0
a0604	3	Audio Cue	nu	183071	73565	1			0		other	0
a0604	3	Audio Cue	ga	185571	76065	1			0		other	0
a0604	3	Audio Cue	di	188071	78565	1			0		other	0
a0604	3	Audio Cue	za	190572	81066	1			0		other	0
a0604	3	Audio Cue	be	193072	83566	1			0		other	0
a0604	3	Audio Cue	tu	195572	86066	1			0		other	0
a0604	3	Audio Cue	mi	198072	88566	1			0		other	0
a0604	3	Audio Cue	po	200572	91066	1			0		other	0
a0604	3	Audio Cue	la	203071	93565	1			0		other	0
a0604	3	Audio Cue	ro	205573	96067	1			0		other	0
a0604	3	Audio Cue	ki	208072	98566	1			0		other	0
a0604	3	Audio Cue	se	210572	101066	1			0		other	0
a0604	3	Audio Cue	za	213072	103566	1			0		other	0
a0604	3	Audio Cue	be	215573	106067	1			0		other	0
a0604	3	Audio Cue	tu	218072	108566	1			0		other	0
a0604	3	Audio Cue	ro	220573	111067	1			0		other	0
a0604	3	Audio Cue	ki	223073	113567	1			0		other	0
a0604	3	Audio Cue	se	225573	116067	1			0		other	0
a0604	3	Audio Cue	mi	228072	118566	1			0		other	0
a0604	3	Audio Cue	po	230573	121067	1			0		other	0
a0604	3	Audio Cue	la	233073	123567	1			0		other	0
a0604	3	Audio Cue	ro	235573	126067	1			0		other	0
a0604	3	Audio Cue	ki	238073	128567	1			0		other	0
a0604	3	Audio Cue	se	240573	131067	1			0		other	0
a0604	3	Audio Cue	nu	243073	133567	1			0		other	0
a0604	3	Audio Cue	ga	245573	136067	1			0		other	0
a0604	3	Audio Cue	di	248074	138568	1			0		other	0
a0604	3	Audio Cue	za	250573	141067	1			0		other	0
a0604	3	Audio Cue	be	253073	143567	1			0		other	0
a0604	3	Audio Cue	tu	255574	146068	1			0		other	0
a0604	3	Audio Cue	ro	258073	148567	1			0		other	0
a0604	3	Audio Cue	ki	260574	151068	1			0		other	0
a0604	3	Audio Cue	se	263074	153568	1			0		other	0
a0604	3	Audio Cue	mi	265574	156068	1			0		other	0
a0604	3	Audio Cue	po	268074	158568	1			0		other	0
a0604	3	Audio Cue	la	270574	161068	1			0		other	0
a0604	3	Audio Cue	za	273074	163568	1			0		other	0
a0604	3	Audio Cue	be	275575	166069	1			0		other	0
a0604	3	Audio Cue	tu	278075	168569	1			0		other	0
a0604	3	Audio Cue	nu	280574	171068	1			0		other	0
a0604	3	Audio Cue	ga	283074	173568	1			0		other	0
a0604	3	Audio Cue	di	285574	176068	1			0		other	0
a0604	3	Audio Cue	mi	288075	178569	1			0		other	0
a0604	3	Audio Cue	po	290575	181069	1			0		other	0
a0604	3	Audio Cue	la	293074	183568	1			0		other	0
a0604	3	Audio Cue	za	295575	186069	1			0		other	0
a0604	3	Audio Cue	be	298075	188569	1			0		other	0
a0604	3	Audio Cue	tu	300574	191068	1			0		other	0
a0604	3	Audio Cue	nu	303075	193569	1			0		other	0
a0604	3	Audio Cue	ga	305575	196069	1			0		other	0
a0604	3	Audio Cue	di	308075	198569	1			0		other	0
a0604	3	Audio Cue	ro	310575	201069	1			0		other	0
a0604	3	Audio Cue	ki	313075	203569	1			0		other	0
a0604	3	Audio Cue	se	315575	206069	1			0		other	0
a0604	3	Audio Cue	nu	318075	208569	1			0		other	0
a0604	3	Audio Cue	ga	320576	211070	1			0		other	0
a0604	3	Audio Cue	di	323076	213570	1			0		other	0
a0604	3	Audio Cue	mi	325575	216069	1			0		other	0
a0604	3	Audio Cue	po	328075	218569	1			0		other	0
a0604	3	Audio Cue	la	330576	221070	1			0		other	0
a0604	3	Audio Cue	za	333076	223570	1			0		other	0
a0604	3	Audio Cue	be	335575	226069	1			0		other	0
a0604	3	Audio Cue	tu	338076	228569	1			0		other	0
a0604	3	Audio Cue	mi	340576	231070	1			0		other	0
a0604	3	Audio Cue	po	343076	233570	1			0		other	0
