#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/27/2019 11:44:07
#Subject: a0604
#Sex: M
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_02.wav	tempo_seq_rand_07.wav	1200	400	3	292.342000000001
1	2	2	tempo_seq_rand_16.wav	tempo_seq_A_13.wav	1200	400	2	891.798999999999
1	3	2	tempo_seq_rand_20.wav	tempo_seq_A_18.wav	1200	400	2	707.284
1	4	2	tempo_seq_rand_26.wav	tempo_seq_A_15.wav	1200	400	3	314.653000000006
1	5	2	tempo_seq_rand_45.wav	tempo_seq_A_09.wav	1200	400	3	506.115000000005
1	6	1	tempo_seq_A_19.wav	tempo_seq_rand_31.wav	1200	400	2	321.536000000007
1	7	1	tempo_seq_A_15.wav	tempo_seq_rand_14.wav	1200	400	3	1849.046
1	8	2	tempo_seq_rand_30.wav	tempo_seq_A_24.wav	1200	400	3	320.421000000002
1	9	1	tempo_seq_A_22.wav	tempo_seq_rand_33.wav	1200	400	3	3039.86899999999
1	10	2	tempo_seq_rand_08.wav	tempo_seq_A_14.wav	1200	400	2	3011.16
1	11	1	tempo_seq_A_04.wav	tempo_seq_rand_05.wav	1200	400	3	574.487999999998
1	12	1	tempo_seq_A_18.wav	tempo_seq_rand_46.wav	1200	400	3	297.856999999989
2	13	2	tempo_seq_rand_19.wav	tempo_seq_A_11.wav	1200	400	3	605.187999999995
2	14	2	tempo_seq_rand_36.wav	tempo_seq_A_16.wav	1200	400	3	352.608999999997
2	15	2	tempo_seq_rand_27.wav	tempo_seq_A_22.wav	1200	400	2	292.100000000006
2	16	2	tempo_seq_rand_12.wav	tempo_seq_A_01.wav	1200	400	3	2187.55799999999
2	17	1	tempo_seq_A_06.wav	tempo_seq_rand_22.wav	1200	400	3	1014.91799999998
2	18	1	tempo_seq_A_07.wav	tempo_seq_rand_47.wav	1200	400	2	634.338000000018
2	19	1	tempo_seq_A_24.wav	tempo_seq_rand_24.wav	1200	400	3	417.723999999987
2	20	2	tempo_seq_rand_10.wav	tempo_seq_A_02.wav	1200	400	2	413.184000000008
2	21	2	tempo_seq_rand_44.wav	tempo_seq_A_10.wav	1200	400	2	680.657999999996
2	22	1	tempo_seq_A_11.wav	tempo_seq_rand_23.wav	1200	400	3	304.060999999987
2	23	1	tempo_seq_A_20.wav	tempo_seq_rand_25.wav	1200	400	3	351.549999999988
2	24	1	tempo_seq_A_21.wav	tempo_seq_rand_09.wav	1200	400	3	1587.068
3	25	1	tempo_seq_A_09.wav	tempo_seq_rand_40.wav	1200	400	3	278.053000000014
3	26	2	tempo_seq_rand_18.wav	tempo_seq_A_20.wav	1200	400	3	317.52099999995
3	27	1	tempo_seq_A_10.wav	tempo_seq_rand_37.wav	1200	400	2	1469.65899999999
3	28	1	tempo_seq_A_05.wav	tempo_seq_rand_03.wav	1200	400	3	1093.19699999999
3	29	2	tempo_seq_rand_02.wav	tempo_seq_A_08.wav	1200	400	3	1972.429
3	30	2	tempo_seq_rand_17.wav	tempo_seq_A_21.wav	1200	400	3	2879.82299999997
3	31	2	tempo_seq_rand_39.wav	tempo_seq_A_07.wav	1200	400	3	343.122999999963
3	32	1	tempo_seq_A_23.wav	tempo_seq_rand_42.wav	1200	400	2	1846.57800000004
3	33	1	tempo_seq_A_08.wav	tempo_seq_rand_48.wav	1200	400	2	493.94299999997
3	34	1	tempo_seq_A_17.wav	tempo_seq_rand_06.wav	1200	400	3	1133.34999999998
3	35	2	tempo_seq_rand_21.wav	tempo_seq_A_19.wav	1200	400	2	460.782999999996
3	36	2	tempo_seq_rand_15.wav	tempo_seq_A_06.wav	1200	400	2	636.25
4	37	1	tempo_seq_A_14.wav	tempo_seq_rand_04.wav	1200	400	3	371.505999999994
4	38	1	tempo_seq_A_01.wav	tempo_seq_rand_28.wav	1200	400	3	831.051999999967
4	39	2	tempo_seq_rand_01.wav	tempo_seq_A_23.wav	1200	400	2	1106.38500000001
4	40	1	tempo_seq_A_12.wav	tempo_seq_rand_32.wav	1200	400	2	1537.76399999997
4	41	2	tempo_seq_rand_13.wav	tempo_seq_A_04.wav	1200	400	3	361.185999999987
4	42	2	tempo_seq_rand_11.wav	tempo_seq_A_03.wav	1200	400	2	252.639999999956
4	43	1	tempo_seq_A_13.wav	tempo_seq_rand_38.wav	1200	400	3	892.122000000032
4	44	2	tempo_seq_rand_35.wav	tempo_seq_A_12.wav	1200	400	2	1243.51299999998
4	45	2	tempo_seq_rand_29.wav	tempo_seq_A_05.wav	1200	400	3	566.929999999993
4	46	1	tempo_seq_A_16.wav	tempo_seq_rand_43.wav	1200	400	3	290.39499999996
4	47	2	tempo_seq_rand_34.wav	tempo_seq_A_17.wav	1200	400	3	505.812000000034
4	48	1	tempo_seq_A_03.wav	tempo_seq_rand_41.wav	1200	400	2	689.287000000011
