#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/27/2019 11:05:36
#Subject: a0604
#Sex: M
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_23.wav	tempo_seq_rand_45.wav	1200	400	3	1051.393
1	2	2	tempo_seq_rand_16.wav	tempo_seq_A_24.wav	1200	400	2	850.845000000001
1	3	2	tempo_seq_rand_23.wav	tempo_seq_A_14.wav	1200	400	3	2922.314
1	4	2	tempo_seq_rand_33.wav	tempo_seq_A_04.wav	1200	400	2	1577.557
1	5	1	tempo_seq_A_13.wav	tempo_seq_rand_19.wav	1200	400	3	1644.897
1	6	2	tempo_seq_rand_14.wav	tempo_seq_A_08.wav	1200	400	3	428.274000000005
1	7	1	tempo_seq_A_04.wav	tempo_seq_rand_11.wav	1200	400	3	551.690000000002
1	8	1	tempo_seq_A_22.wav	tempo_seq_rand_05.wav	1200	400	3	2291.175
1	9	2	tempo_seq_rand_21.wav	tempo_seq_A_13.wav	1200	400	2	1322.486
1	10	2	tempo_seq_rand_25.wav	tempo_seq_A_20.wav	1200	400	2	657.868000000002
1	11	1	tempo_seq_A_01.wav	tempo_seq_rand_47.wav	1200	400	3	1441.32399999999
1	12	1	tempo_seq_A_06.wav	tempo_seq_rand_03.wav	1200	400	3	764.732999999978
2	13	1	tempo_seq_A_19.wav	tempo_seq_rand_20.wav	1200	400	3	1631.79999999999
2	14	2	tempo_seq_rand_27.wav	tempo_seq_A_06.wav	1200	400	2	331.184999999998
2	15	1	tempo_seq_A_15.wav	tempo_seq_rand_29.wav	1200	400	3	762.597999999998
2	16	1	tempo_seq_A_03.wav	tempo_seq_rand_07.wav	1200	400	3	726.008000000002
2	17	2	tempo_seq_rand_15.wav	tempo_seq_A_10.wav	1200	400	3	3765.47699999998
2	18	2	tempo_seq_rand_09.wav	tempo_seq_A_09.wav	1200	400	3	1464.742
2	19	2	tempo_seq_rand_26.wav	tempo_seq_A_11.wav	1200	400	2	1056.111
2	20	1	tempo_seq_A_24.wav	tempo_seq_rand_44.wav	1200	400	3	1319.49400000001
2	21	2	tempo_seq_rand_39.wav	tempo_seq_A_19.wav	1200	400	3	3710.88099999999
2	22	2	tempo_seq_rand_28.wav	tempo_seq_A_03.wav	1200	400	3	374.149999999994
2	23	1	tempo_seq_A_17.wav	tempo_seq_rand_24.wav	1200	400	2	3593.63199999998
2	24	1	tempo_seq_A_18.wav	tempo_seq_rand_01.wav	1200	400	3	1396.84599999996
3	25	1	tempo_seq_A_02.wav	tempo_seq_rand_48.wav	1200	400	3	812.527999999991
3	26	2	tempo_seq_rand_08.wav	tempo_seq_A_01.wav	1200	400	3	1111.96299999999
3	27	2	tempo_seq_rand_35.wav	tempo_seq_A_18.wav	1200	400	2	1375.42799999996
3	28	2	tempo_seq_rand_37.wav	tempo_seq_A_15.wav	1200	400	2	4570.75800000003
3	29	1	tempo_seq_A_10.wav	tempo_seq_rand_32.wav	1200	400	3	2278.00399999996
3	30	1	tempo_seq_A_09.wav	tempo_seq_rand_12.wav	1200	400	3	421.256999999983
3	31	2	tempo_seq_rand_02.wav	tempo_seq_A_17.wav	1200	400	3	2944.83400000003
3	32	1	tempo_seq_A_21.wav	tempo_seq_rand_22.wav	1200	400	2	1740.03399999999
3	33	1	tempo_seq_A_12.wav	tempo_seq_rand_13.wav	1200	400	2	2867.50900000002
3	34	2	tempo_seq_rand_41.wav	tempo_seq_A_23.wav	1200	400	3	914.734999999986
3	35	2	tempo_seq_rand_34.wav	tempo_seq_A_12.wav	1200	400	3	458.101000000024
3	36	1	tempo_seq_A_14.wav	tempo_seq_rand_43.wav	1200	400	3	5217.72100000002
4	37	1	tempo_seq_A_20.wav	tempo_seq_rand_31.wav	1200	400	2	1823.91200000001
4	38	1	tempo_seq_A_05.wav	tempo_seq_rand_18.wav	1200	400	3	1355.32500000001
4	39	2	tempo_seq_rand_42.wav	tempo_seq_A_16.wav	1200	400	3	2214.66799999995
4	40	1	tempo_seq_A_07.wav	tempo_seq_rand_17.wav	1200	400	2	802.03899999999
4	41	2	tempo_seq_rand_06.wav	tempo_seq_A_02.wav	1200	400	3	485.527999999991
4	42	2	tempo_seq_rand_38.wav	tempo_seq_A_21.wav	1200	400	2	612.882999999973
4	43	1	tempo_seq_A_16.wav	tempo_seq_rand_10.wav	1200	400	3	48688.355
4	44	1	tempo_seq_A_11.wav	tempo_seq_rand_04.wav	1200	400	3	2972.951
4	45	2	tempo_seq_rand_36.wav	tempo_seq_A_22.wav	1200	400	3	6184.21600000001
4	46	2	tempo_seq_rand_40.wav	tempo_seq_A_05.wav	1200	400	2	2107.33399999992
4	47	2	tempo_seq_rand_46.wav	tempo_seq_A_07.wav	1200	400	3	1706.63899999997
4	48	1	tempo_seq_A_08.wav	tempo_seq_rand_30.wav	1200	400	2	1378.0830000001
