Scenario - _RPSL_incidental
Logfile written - 09/26/2019 13:59:06

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

b0207	1	Picture	instruct	166	0	1	120841	2	0	next	other	0
b0207	1	Response	1	120494	120328	0
b0207	2	Sound	di	156003	34996	1			35000		other	0
b0207	3	Audio Cue	za	160459	1784	1			0		other	0
b0207	3	Sound	cue_linfade_exp_seq_A_12.wav	160459	1784	1			0		hit	10
b0207	3	Audio Cue	be	162959	4284	1			0		other	0
b0207	3	Audio Cue	tu	165459	6784	1			0		other	0
b0207	3	Audio Cue	ro	167960	9285	1			0		other	0
b0207	3	Audio Cue	ki	170460	11785	1			0		other	0
b0207	3	Response	1	172254	13579	0
b0207	3	Audio Cue	se	172961	14285	1			0		other	0
b0207	3	Audio Cue	nu	175460	16785	1			0		other	0
b0207	3	Audio Cue	ga	177960	19284	1			0		other	0
b0207	3	Audio Cue	di	180461	21785	1			0		other	0
b0207	3	Audio Cue	ro	182961	24285	1			0		other	0
b0207	3	Audio Cue	ki	185461	26785	1			0		other	0
b0207	3	Response	1	185694	27019	0
b0207	3	Audio Cue	se	187960	29285	1			0		other	0
b0207	3	Audio Cue	nu	190460	31785	1			0		other	0
b0207	3	Audio Cue	ga	192961	34286	1			0		other	0
b0207	3	Audio Cue	di	195461	36786	1			0		other	0
b0207	3	Audio Cue	ro	197961	39285	1			0		other	0
b0207	3	Audio Cue	ki	200460	41785	1			0		other	0
b0207	3	Response	1	200734	42059	0
b0207	3	Audio Cue	se	202961	44286	1			0		other	0
b0207	3	Audio Cue	mi	205462	46786	1			0		other	0
b0207	3	Audio Cue	po	207961	49286	1			0		other	0
b0207	3	Audio Cue	la	210461	51786	1			0		other	0
b0207	3	Audio Cue	ro	212961	54286	1			0		other	0
b0207	3	Audio Cue	ki	215462	56786	1			0		other	0
b0207	3	Audio Cue	se	217962	59286	1			0		other	0
b0207	3	Audio Cue	mi	220461	61786	1			0		other	0
b0207	3	Audio Cue	po	222961	64285	1			0		other	0
b0207	3	Audio Cue	la	225462	66786	1			0		other	0
b0207	3	Audio Cue	ro	227962	69286	1			0		other	0
b0207	3	Audio Cue	ki	230462	71787	1			0		other	0
b0207	3	Audio Cue	se	232963	74287	1			0		other	0
b0207	3	Audio Cue	za	235462	76786	1			0		other	0
b0207	3	Audio Cue	be	237962	79287	1			0		other	0
b0207	3	Audio Cue	tu	240462	81787	1			0		other	0
b0207	3	Audio Cue	ro	242962	84287	1			0		other	0
b0207	3	Audio Cue	ki	245462	86787	1			0		other	0
b0207	3	Audio Cue	se	247962	89286	1			0		other	0
b0207	3	Audio Cue	za	250463	91787	1			0		other	0
b0207	3	Audio Cue	be	252962	94287	1			0		other	0
b0207	3	Audio Cue	tu	255463	96787	1			0		other	0
b0207	3	Audio Cue	mi	257962	99287	1			0		other	0
b0207	3	Audio Cue	po	260463	101788	1			0		other	0
b0207	3	Audio Cue	la	262963	104287	1			0		other	0
b0207	3	Audio Cue	za	265462	106787	1			0		other	0
b0207	3	Audio Cue	be	267962	109287	1			0		other	0
b0207	3	Audio Cue	tu	270463	111788	1			0		other	0
b0207	3	Audio Cue	mi	272963	114288	1			0		other	0
b0207	3	Audio Cue	po	275463	116788	1			0		other	0
b0207	3	Audio Cue	la	277963	119287	1			0		other	0
b0207	3	Audio Cue	nu	280463	121788	1			0		other	0
b0207	3	Audio Cue	ga	282963	124288	1			0		other	0
b0207	3	Audio Cue	di	285463	126787	1			0		other	0
b0207	3	Audio Cue	za	287963	129288	1			0		other	0
b0207	3	Response	1	290174	131499	0
b0207	3	Audio Cue	be	290464	131788	1			0		other	0
b0207	3	Audio Cue	tu	292963	134288	1			0		other	0
b0207	3	Audio Cue	ro	295463	136788	1			0		other	0
b0207	3	Audio Cue	ki	297963	139288	1			0		other	0
b0207	3	Audio Cue	se	300464	141788	1			0		other	0
b0207	3	Audio Cue	mi	302963	144288	1			0		other	0
b0207	3	Audio Cue	po	305463	146788	1			0		other	0
b0207	3	Audio Cue	la	307963	149288	1			0		other	0
b0207	3	Audio Cue	nu	310464	151788	1			0		other	0
b0207	3	Audio Cue	ga	312964	154289	1			0		other	0
b0207	3	Audio Cue	di	315464	156788	1			0		other	0
b0207	3	Audio Cue	mi	317964	159289	1			0		other	0
b0207	3	Audio Cue	po	320464	161789	1			0		other	0
b0207	3	Audio Cue	la	322964	164289	1			0		other	0
b0207	3	Audio Cue	nu	325464	166789	1			0		other	0
b0207	3	Audio Cue	ga	327965	169289	1			0		other	0
b0207	3	Audio Cue	di	330465	171789	1			0		other	0
b0207	3	Audio Cue	za	332964	174289	1			0		other	0
b0207	3	Audio Cue	be	335465	176789	1			0		other	0
b0207	3	Audio Cue	tu	337964	179289	1			0		other	0
b0207	3	Audio Cue	mi	340465	181789	1			0		other	0
b0207	3	Audio Cue	po	342964	184289	1			0		other	0
b0207	3	Audio Cue	la	345465	186790	1			0		other	0
b0207	3	Audio Cue	nu	347965	189290	1			0		other	0
b0207	3	Audio Cue	ga	350465	191790	1			0		other	0
b0207	3	Audio Cue	di	352965	194289	1			0		other	0
b0207	3	Audio Cue	ro	355465	196789	1			0		other	0
b0207	3	Response	1	356894	198219	0
b0207	3	Audio Cue	ki	357965	199290	1			0		other	0
b0207	3	Audio Cue	se	360465	201790	1			0		other	0
b0207	3	Audio Cue	za	362965	204290	1			0		other	0
b0207	3	Audio Cue	be	365465	206790	1			0		other	0
b0207	3	Audio Cue	tu	367965	209290	1			0		other	0
b0207	3	Audio Cue	mi	370466	211790	1			0		other	0
b0207	3	Audio Cue	po	372966	214290	1			0		other	0
b0207	3	Audio Cue	la	375465	216790	1			0		other	0
b0207	3	Audio Cue	nu	377966	219291	1			0		other	0
b0207	3	Audio Cue	ga	380467	221791	1			0		other	0
b0207	3	Audio Cue	di	382966	224290	1			0		other	0
b0207	3	Audio Cue	za	385466	226791	1			0		other	0
b0207	3	Audio Cue	be	387966	229290	1			0		other	0
b0207	3	Audio Cue	tu	390466	231791	1			0		other	0
b0207	3	Audio Cue	nu	392966	234291	1			0		other	0
b0207	3	Audio Cue	ga	395467	236791	1			0		other	0
b0207	3	Audio Cue	di	397966	239291	1			0		other	0
b0207	3	Audio Cue	ro	400466	241791	1			0		other	0
b0207	3	Audio Cue	ki	402966	244291	1			0		other	0
b0207	3	Audio Cue	se	405467	246791	1			0		other	0
b0207	3	Audio Cue	nu	407966	249291	1			0		other	0
b0207	3	Response	1	410335	251659	0
b0207	3	Audio Cue	ga	410466	251791	1			0		other	0
b0207	3	Audio Cue	di	412967	254292	1			0		other	0
b0207	3	Audio Cue	za	415467	256792	1			0		other	0
b0207	3	Audio Cue	be	417967	259291	1			0		other	0
b0207	3	Audio Cue	tu	420467	261791	1			0		other	0
b0207	3	Response	1	421454	262779	0
b0207	3	Audio Cue	mi	422968	264292	1			0		other	0
b0207	3	Audio Cue	po	425467	266792	1			0		other	0
b0207	3	Audio Cue	la	427967	269291	1			0		other	0
b0207	3	Audio Cue	za	430467	271792	1			0		other	0
b0207	3	Audio Cue	be	432968	274292	1			0		other	0
b0207	3	Audio Cue	tu	435468	276792	1			0		other	0
b0207	3	Audio Cue	nu	437967	279292	1			0		other	0
b0207	3	Audio Cue	ga	440467	281792	1			0		other	0
b0207	3	Audio Cue	di	442967	284292	1			0		other	0
b0207	3	Audio Cue	ro	445468	286793	1			0		other	0
b0207	3	Response	1	446094	287419	0
b0207	3	Audio Cue	ki	447968	289293	1			0		other	0
b0207	3	Audio Cue	se	450467	291792	1			0		other	0
b0207	3	Audio Cue	mi	452968	294293	1			0		other	0
b0207	3	Audio Cue	po	455468	296793	1			0		other	0
b0207	3	Audio Cue	la	457968	299293	1			0		other	0
b0207	3	Audio Cue	za	460468	301793	1			0		other	0
b0207	3	Audio Cue	be	462968	304293	1			0		other	0
b0207	3	Audio Cue	tu	465468	306793	1			0		other	0
b0207	3	Audio Cue	ro	467969	309293	1			0		other	0
b0207	3	Audio Cue	ki	470469	311793	1			0		other	0
b0207	3	Audio Cue	se	472969	314294	1			0		other	0
b0207	3	Audio Cue	nu	475469	316794	1			0		other	0
b0207	3	Audio Cue	ga	477969	319293	1			0		other	0
b0207	3	Audio Cue	di	480469	321794	1			0		other	0
b0207	3	Audio Cue	ro	482969	324294	1			0		other	0
b0207	3	Response	1	485055	326379	0
b0207	3	Audio Cue	ki	485468	326793	1			0		other	0
b0207	3	Audio Cue	se	487969	329293	1			0		other	0
b0207	3	Audio Cue	mi	490469	331794	1			0		other	0
b0207	3	Audio Cue	po	492970	334295	1			0		other	0
b0207	3	Audio Cue	la	495469	336793	1			0		other	0
b0207	3	Audio Cue	za	497969	339294	1			0		other	0
b0207	3	Audio Cue	be	500469	341793	1			0		other	0
b0207	3	Audio Cue	tu	502970	344294	1			0		other	0
b0207	3	Audio Cue	nu	505470	346794	1			0		other	0
b0207	3	Audio Cue	ga	507969	349294	1			0		other	0
b0207	3	Audio Cue	di	510470	351795	1			0		other	0
b0207	3	Audio Cue	mi	512970	354295	1			0		other	0
b0207	3	Audio Cue	po	515470	356794	1			0		other	0
b0207	3	Audio Cue	la	517969	359294	1			0		other	0
b0207	3	Audio Cue	ro	520470	361794	1			0		other	0
b0207	3	Audio Cue	ki	522970	364295	1			0		other	0
b0207	3	Audio Cue	se	525471	366796	1			0		other	0
