Scenario - _RPSL_incidental
Logfile written - 10/09/2019 10:45:17
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

b1111	1	Picture	instruct	333	0	1	724878	2	0	next	other	0
b1111	1	Response	1	723727	723394	0
b1111	2	Sound	be	760210	35000	1			35000		other	0
b1111	3	Audio Cue	be	763072	192	1			0		other	0
b1111	3	Sound	cue_linfade_exp_seq_A_03.wav	763072	192	1			0		hit	7
b1111	3	Audio Cue	tu	765573	2693	1			0		other	0
b1111	3	Response	1	767727	4847	0
b1111	3	Audio Cue	nu	768072	5192	1			0		other	0
b1111	3	Audio Cue	ga	770573	7693	1			0		other	0
b1111	3	Audio Cue	di	773073	10193	1			0		other	0
b1111	3	Audio Cue	ro	775574	12694	1			0		other	0
b1111	3	Audio Cue	ki	778072	15192	1			0		other	0
b1111	3	Audio Cue	se	780573	17693	1			0		other	0
b1111	3	Audio Cue	mi	783073	20193	1			0		other	0
b1111	3	Audio Cue	po	785574	22694	1			0		other	0
b1111	3	Audio Cue	la	788072	25192	1			0		other	0
b1111	3	Audio Cue	za	790573	27693	1			0		other	0
b1111	3	Audio Cue	be	793073	30193	1			0		other	0
b1111	3	Audio Cue	tu	795573	32693	1			0		other	0
b1111	3	Response	1	796767	33887	0
b1111	3	Audio Cue	ro	798074	35194	1			0		other	0
b1111	3	Audio Cue	ki	800573	37694	1			0		other	0
b1111	3	Audio Cue	se	803073	40193	1			0		other	0
b1111	3	Audio Cue	nu	805573	42693	1			0		other	0
b1111	3	Audio Cue	ga	808074	45194	1			0		other	0
b1111	3	Audio Cue	di	810573	47693	1			0		other	0
b1111	3	Audio Cue	mi	813073	50193	1			0		other	0
b1111	3	Audio Cue	po	815573	52694	1			0		other	0
b1111	3	Audio Cue	la	818074	55194	1			0		other	0
b1111	3	Audio Cue	za	820574	57694	1			0		other	0
b1111	3	Audio Cue	be	823074	60194	1			0		other	0
b1111	3	Audio Cue	tu	825575	62695	1			0		other	0
b1111	3	Response	1	826607	63727	0
b1111	3	Audio Cue	ro	828074	65194	1			0		other	0
b1111	3	Audio Cue	ki	830574	67694	1			0		other	0
b1111	3	Audio Cue	se	833074	70194	1			0		other	0
b1111	3	Audio Cue	nu	835574	72694	1			0		other	0
b1111	3	Audio Cue	ga	838074	75194	1			0		other	0
b1111	3	Audio Cue	di	840575	77695	1			0		other	0
b1111	3	Audio Cue	za	843074	80194	1			0		other	0
b1111	3	Audio Cue	be	845574	82694	1			0		other	0
b1111	3	Audio Cue	tu	848074	85194	1			0		other	0
b1111	3	Response	1	849886	87006	0
b1111	3	Audio Cue	mi	850574	87694	1			0		other	0
b1111	3	Audio Cue	po	853075	90195	1			0		other	0
b1111	3	Audio Cue	la	855575	92695	1			0		other	0
b1111	3	Audio Cue	ro	858075	95195	1			0		other	0
b1111	3	Audio Cue	ki	860575	97695	1			0		other	0
b1111	3	Audio Cue	se	863077	100197	1			0		other	0
b1111	3	Audio Cue	za	865575	102696	1			0		other	0
b1111	3	Audio Cue	be	868077	105197	1			0		other	0
b1111	3	Audio Cue	tu	870576	107696	1			0		other	0
b1111	3	Response	1	871247	108367	0
b1111	3	Audio Cue	ro	873076	110196	1			0		other	0
b1111	3	Audio Cue	ki	875575	112696	1			0		other	0
b1111	3	Audio Cue	se	878076	115196	1			0		other	0
b1111	3	Audio Cue	mi	880576	117696	1			0		other	0
b1111	3	Audio Cue	po	883076	120197	1			0		other	0
b1111	3	Audio Cue	la	885576	122697	1			0		other	0
b1111	3	Audio Cue	ro	888075	125196	1			0		other	0
b1111	3	Audio Cue	ki	890577	127697	1			0		other	0
b1111	3	Audio Cue	se	893075	130196	1			0		other	0
b1111	3	Audio Cue	nu	895577	132697	1			0		other	0
b1111	3	Audio Cue	ga	898076	135196	1			0		other	0
b1111	3	Audio Cue	di	900576	137696	1			0		other	0
b1111	3	Audio Cue	za	903076	140196	1			0		other	0
b1111	3	Audio Cue	be	905576	142697	1			0		other	0
b1111	3	Audio Cue	tu	908077	145197	1			0		other	0
b1111	3	Response	1	909327	146447	0
b1111	3	Audio Cue	ro	910577	147697	1			0		other	0
