#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/09/2019 10:45:34
#Subject: b1111
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_16.wav	tempo_seq_A_16.wav	1200	400	3	326.133000000002
1	2	2	tempo_seq_rand_14.wav	tempo_seq_A_02.wav	1200	400	3	457.581000000006
1	3	1	tempo_seq_A_06.wav	tempo_seq_rand_26.wav	1200	400	3	472.372999999992
1	4	1	tempo_seq_A_13.wav	tempo_seq_rand_42.wav	1200	400	2	301.797999999995
1	5	2	tempo_seq_rand_21.wav	tempo_seq_A_04.wav	1200	400	3	265.926999999996
1	6	2	tempo_seq_rand_44.wav	tempo_seq_A_19.wav	1200	400	3	399.341
1	7	1	tempo_seq_A_15.wav	tempo_seq_rand_03.wav	1200	400	3	352.195999999996
1	8	1	tempo_seq_A_12.wav	tempo_seq_rand_13.wav	1200	400	3	491.034
1	9	2	tempo_seq_rand_38.wav	tempo_seq_A_21.wav	1200	400	2	360.375
1	10	2	tempo_seq_rand_46.wav	tempo_seq_A_13.wav	1200	400	2	642.676999999996
1	11	1	tempo_seq_A_03.wav	tempo_seq_rand_32.wav	1200	400	3	369.986999999994
1	12	1	tempo_seq_A_01.wav	tempo_seq_rand_43.wav	1200	400	3	459.399000000005
2	13	2	tempo_seq_rand_37.wav	tempo_seq_A_08.wav	1200	400	2	555.393000000011
2	14	2	tempo_seq_rand_28.wav	tempo_seq_A_24.wav	1200	400	3	334.206999999995
2	15	2	tempo_seq_rand_25.wav	tempo_seq_A_14.wav	1200	400	2	393.688000000024
2	16	2	tempo_seq_rand_08.wav	tempo_seq_A_18.wav	1200	400	3	339.146000000008
2	17	1	tempo_seq_A_18.wav	tempo_seq_rand_34.wav	1200	400	3	390.637000000017
2	18	1	tempo_seq_A_17.wav	tempo_seq_rand_17.wav	1200	400	3	263.309999999998
2	19	1	tempo_seq_A_10.wav	tempo_seq_rand_23.wav	1200	400	3	381.447000000015
2	20	1	tempo_seq_A_04.wav	tempo_seq_rand_02.wav	1200	400	3	278.265000000014
2	21	1	tempo_seq_A_11.wav	tempo_seq_rand_22.wav	1200	400	2	2435.67199999996
2	22	2	tempo_seq_rand_18.wav	tempo_seq_A_09.wav	1200	400	3	371.146999999997
2	23	1	tempo_seq_A_22.wav	tempo_seq_rand_33.wav	1200	400	3	668.462
2	24	2	tempo_seq_rand_30.wav	tempo_seq_A_10.wav	1200	400	2	369.919999999984
3	25	2	tempo_seq_rand_40.wav	tempo_seq_A_07.wav	1200	400	3	314.715000000026
3	26	2	tempo_seq_rand_10.wav	tempo_seq_A_06.wav	1200	400	3	302.219999999972
3	27	1	tempo_seq_A_21.wav	tempo_seq_rand_11.wav	1200	400	3	394.992000000027
3	28	1	tempo_seq_A_24.wav	tempo_seq_rand_31.wav	1200	400	3	275.125
3	29	2	tempo_seq_rand_24.wav	tempo_seq_A_01.wav	1200	400	2	312.576000000001
3	30	2	tempo_seq_rand_27.wav	tempo_seq_A_15.wav	1200	400	2	372.010999999999
3	31	1	tempo_seq_A_16.wav	tempo_seq_rand_01.wav	1200	400	2	477.464999999967
3	32	1	tempo_seq_A_20.wav	tempo_seq_rand_41.wav	1200	400	2	266.940999999992
3	33	1	tempo_seq_A_19.wav	tempo_seq_rand_19.wav	1200	400	3	392.370999999985
3	34	1	tempo_seq_A_08.wav	tempo_seq_rand_36.wav	1200	400	2	505.198000000033
3	35	2	tempo_seq_rand_06.wav	tempo_seq_A_20.wav	1200	400	3	381.314000000013
3	36	2	tempo_seq_rand_47.wav	tempo_seq_A_22.wav	1200	400	2	550.090999999957
4	37	1	tempo_seq_A_23.wav	tempo_seq_rand_35.wav	1200	400	2	388.370999999985
4	38	2	tempo_seq_rand_20.wav	tempo_seq_A_17.wav	1200	400	3	1068.42499999999
4	39	1	tempo_seq_A_05.wav	tempo_seq_rand_45.wav	1200	400	3	761.896000000008
4	40	1	tempo_seq_A_02.wav	tempo_seq_rand_48.wav	1200	400	2	1267.30499999999
4	41	2	tempo_seq_rand_04.wav	tempo_seq_A_11.wav	1200	400	3	376.679000000004
4	42	1	tempo_seq_A_07.wav	tempo_seq_rand_12.wav	1200	400	3	314.125999999989
4	43	2	tempo_seq_rand_29.wav	tempo_seq_A_12.wav	1200	400	3	469.601000000024
4	44	2	tempo_seq_rand_39.wav	tempo_seq_A_05.wav	1200	400	3	323.046000000031
4	45	1	tempo_seq_A_14.wav	tempo_seq_rand_09.wav	1200	400	3	390.527999999991
4	46	2	tempo_seq_rand_07.wav	tempo_seq_A_03.wav	1200	400	2	367.327000000048
4	47	2	tempo_seq_rand_15.wav	tempo_seq_A_23.wav	1200	400	2	448.798999999999
4	48	1	tempo_seq_A_09.wav	tempo_seq_rand_05.wav	1200	400	2	887.526000000071
