#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/09/2019 10:09:43
#Subject: b1111
#Sex: F
#Age: 26
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_22.wav	tempo_seq_rand_14.wav	1200	400	3	1093.068
1	2	1	tempo_seq_A_05.wav	tempo_seq_rand_03.wav	1200	400	2	352.497000000003
1	3	2	tempo_seq_rand_45.wav	tempo_seq_A_16.wav	1200	400	3	369.223999999995
1	4	1	tempo_seq_A_09.wav	tempo_seq_rand_10.wav	1200	400	3	353.363000000005
1	5	1	tempo_seq_A_19.wav	tempo_seq_rand_21.wav	1200	400	2	426.800999999999
1	6	2	tempo_seq_rand_29.wav	tempo_seq_A_18.wav	1200	400	2	482.225999999995
1	7	2	tempo_seq_rand_38.wav	tempo_seq_A_06.wav	1200	400	2	503.067999999999
1	8	2	tempo_seq_rand_48.wav	tempo_seq_A_22.wav	1200	400	3	562.494000000006
1	9	1	tempo_seq_A_10.wav	tempo_seq_rand_26.wav	1200	400	3	331.881999999998
1	10	1	tempo_seq_A_17.wav	tempo_seq_rand_43.wav	1200	400	3	461.342000000004
1	11	2	tempo_seq_rand_24.wav	tempo_seq_A_09.wav	1200	400	2	418.784
1	12	2	tempo_seq_rand_42.wav	tempo_seq_A_07.wav	1200	400	3	370.255000000005
2	13	1	tempo_seq_A_20.wav	tempo_seq_rand_40.wav	1200	400	3	445.42300000001
2	14	1	tempo_seq_A_13.wav	tempo_seq_rand_47.wav	1200	400	3	458.911000000022
2	15	1	tempo_seq_A_21.wav	tempo_seq_rand_02.wav	1200	400	3	880.347999999998
2	16	2	tempo_seq_rand_18.wav	tempo_seq_A_17.wav	1200	400	3	900.397999999987
2	17	2	tempo_seq_rand_27.wav	tempo_seq_A_08.wav	1200	400	3	511.82699999999
2	18	2	tempo_seq_rand_07.wav	tempo_seq_A_15.wav	1200	400	2	379.280999999988
2	19	2	tempo_seq_rand_28.wav	tempo_seq_A_21.wav	1200	400	3	868.098999999987
2	20	1	tempo_seq_A_24.wav	tempo_seq_rand_39.wav	1200	400	3	697.456999999995
2	21	1	tempo_seq_A_02.wav	tempo_seq_rand_11.wav	1200	400	2	604.937000000005
2	22	1	tempo_seq_A_16.wav	tempo_seq_rand_12.wav	1200	400	3	389.666999999987
2	23	2	tempo_seq_rand_31.wav	tempo_seq_A_24.wav	1200	400	2	525.783999999985
2	24	2	tempo_seq_rand_34.wav	tempo_seq_A_12.wav	1200	400	3	448.568000000028
3	25	1	tempo_seq_A_23.wav	tempo_seq_rand_33.wav	1200	400	3	368.603000000003
3	26	1	tempo_seq_A_04.wav	tempo_seq_rand_04.wav	1200	400	3	538.041999999958
3	27	2	tempo_seq_rand_37.wav	tempo_seq_A_20.wav	1200	400	2	420.141999999993
3	28	2	tempo_seq_rand_13.wav	tempo_seq_A_23.wav	1200	400	3	483.616999999969
3	29	1	tempo_seq_A_03.wav	tempo_seq_rand_36.wav	1200	400	2	936.375999999989
3	30	2	tempo_seq_rand_25.wav	tempo_seq_A_19.wav	1200	400	2	875.791000000027
3	31	1	tempo_seq_A_14.wav	tempo_seq_rand_05.wav	1200	400	2	713.568000000028
3	32	2	tempo_seq_rand_06.wav	tempo_seq_A_03.wav	1200	400	3	532.666000000027
3	33	2	tempo_seq_rand_41.wav	tempo_seq_A_02.wav	1200	400	3	423.483000000007
3	34	1	tempo_seq_A_11.wav	tempo_seq_rand_23.wav	1200	400	2	350.977000000014
3	35	1	tempo_seq_A_08.wav	tempo_seq_rand_09.wav	1200	400	2	417.013999999966
3	36	2	tempo_seq_rand_16.wav	tempo_seq_A_05.wav	1200	400	3	352.467999999993
4	37	2	tempo_seq_rand_08.wav	tempo_seq_A_14.wav	1200	400	2	372.736000000034
4	38	1	tempo_seq_A_01.wav	tempo_seq_rand_01.wav	1200	400	3	406.147999999987
4	39	2	tempo_seq_rand_20.wav	tempo_seq_A_13.wav	1200	400	3	325.610999999975
4	40	2	tempo_seq_rand_44.wav	tempo_seq_A_10.wav	1200	400	3	447.77899999998
4	41	2	tempo_seq_rand_30.wav	tempo_seq_A_04.wav	1200	400	3	614.501999999979
4	42	1	tempo_seq_A_06.wav	tempo_seq_rand_17.wav	1200	400	3	285.921999999962
4	43	2	tempo_seq_rand_22.wav	tempo_seq_A_11.wav	1200	400	2	267.363000000012
4	44	1	tempo_seq_A_15.wav	tempo_seq_rand_32.wav	1200	400	3	1256.85700000002
4	45	1	tempo_seq_A_12.wav	tempo_seq_rand_35.wav	1200	400	2	398.254000000015
4	46	1	tempo_seq_A_07.wav	tempo_seq_rand_15.wav	1200	400	3	382.363000000012
4	47	2	tempo_seq_rand_46.wav	tempo_seq_A_01.wav	1200	400	2	639.136999999988
4	48	1	tempo_seq_A_18.wav	tempo_seq_rand_19.wav	1200	400	3	366.647000000114
