#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/18/2019 11:37:49
#Subject: b1912
#Sex: Sex
#Age: Age
#Handedness: Handedness
#DateTime: 09/18/2019 11:45:48

Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_03.wav	tempo_seq_rand_15.wav	1200	400	2	307.906999999999
1	2	1	tempo_seq_A_11.wav	tempo_seq_rand_17.wav	1200	400	3	243.300000000003
1	3	1	tempo_seq_A_04.wav	tempo_seq_rand_27.wav	1200	400	3	246.790000000001
1	4	1	tempo_seq_A_01.wav	tempo_seq_rand_23.wav	1200	400	2	294.182000000001
1	5	1	tempo_seq_A_05.wav	tempo_seq_rand_38.wav	1200	400	3	301.586000000003
1	6	2	tempo_seq_rand_31.wav	tempo_seq_A_16.wav	1200	400	2	333.005999999994
1	7	2	tempo_seq_rand_18.wav	tempo_seq_A_07.wav	1200	400	2	260.475000000006
1	8	1	tempo_seq_A_12.wav	tempo_seq_rand_24.wav	1200	400	3	267.957999999999
1	9	1	tempo_seq_A_15.wav	tempo_seq_rand_28.wav	1200	400	3	283.35500000001
1	10	1	tempo_seq_A_17.wav	tempo_seq_rand_09.wav	1200	400	3	290.774000000005
1	11	2	tempo_seq_rand_32.wav	tempo_seq_A_22.wav	1200	400	2	314.228000000003
1	12	2	tempo_seq_rand_45.wav	tempo_seq_A_11.wav	1200	400	2	297.649999999994
2	13	2	tempo_seq_rand_19.wav	tempo_seq_A_13.wav	1200	400	2	280.815000000002
2	14	1	tempo_seq_A_16.wav	tempo_seq_rand_12.wav	1200	400	3	416.271999999997
2	15	1	tempo_seq_A_21.wav	tempo_seq_rand_05.wav	1200	400	3	531.665000000008
2	16	1	tempo_seq_A_22.wav	tempo_seq_rand_29.wav	1200	400	2	371.092000000004
2	17	2	tempo_seq_rand_36.wav	tempo_seq_A_21.wav	1200	400	2	366.539999999979
2	18	1	tempo_seq_A_23.wav	tempo_seq_rand_16.wav	1200	400	2	249.933999999979
2	19	2	tempo_seq_rand_10.wav	tempo_seq_A_18.wav	1200	400	3	345.400000000023
2	20	1	tempo_seq_A_24.wav	tempo_seq_rand_06.wav	1200	400	3	308.91399999999
2	21	1	tempo_seq_A_19.wav	tempo_seq_rand_22.wav	1200	400	2	340.260000000009
2	22	1	tempo_seq_A_20.wav	tempo_seq_rand_48.wav	1200	400	3	243.691000000021
2	23	1	tempo_seq_A_18.wav	tempo_seq_rand_01.wav	1200	400	2	247.074999999983
2	24	2	tempo_seq_rand_39.wav	tempo_seq_A_23.wav	1200	400	2	254.600000000006
3	25	2	tempo_seq_rand_20.wav	tempo_seq_A_19.wav	1200	400	2	293.869000000006
3	26	2	tempo_seq_rand_35.wav	tempo_seq_A_20.wav	1200	400	2	285.309000000008
3	27	1	tempo_seq_A_02.wav	tempo_seq_rand_46.wav	1200	400	3	284.746999999974
3	28	1	tempo_seq_A_10.wav	tempo_seq_rand_21.wav	1200	400	2	292.201000000001
3	29	2	tempo_seq_rand_04.wav	tempo_seq_A_09.wav	1200	400	3	363.653000000049
3	30	1	tempo_seq_A_13.wav	tempo_seq_rand_08.wav	1200	400	3	263.07799999998
3	31	2	tempo_seq_rand_44.wav	tempo_seq_A_02.wav	1200	400	3	254.522999999987
3	32	1	tempo_seq_A_14.wav	tempo_seq_rand_41.wav	1200	400	2	317.945000000007
3	33	2	tempo_seq_rand_34.wav	tempo_seq_A_04.wav	1200	400	3	341.380000000005
3	34	1	tempo_seq_A_07.wav	tempo_seq_rand_40.wav	1200	400	2	369.517999999982
3	35	2	tempo_seq_rand_33.wav	tempo_seq_A_17.wav	1200	400	3	284.935999999987
3	36	2	tempo_seq_rand_26.wav	tempo_seq_A_14.wav	1200	400	3	292.342000000004
4	37	2	tempo_seq_rand_25.wav	tempo_seq_A_15.wav	1200	400	2	307.353000000003
4	38	2	tempo_seq_rand_37.wav	tempo_seq_A_05.wav	1200	400	2	266.791000000027
4	39	2	tempo_seq_rand_30.wav	tempo_seq_A_03.wav	1200	400	2	346.18200000003
4	40	1	tempo_seq_A_06.wav	tempo_seq_rand_11.wav	1200	400	2	669.658999999985
4	41	1	tempo_seq_A_08.wav	tempo_seq_rand_42.wav	1200	400	3	300.391999999993
4	42	2	tempo_seq_rand_14.wav	tempo_seq_A_24.wav	1200	400	3	300.532000000007
4	43	2	tempo_seq_rand_43.wav	tempo_seq_A_10.wav	1200	400	2	755.978999999992
4	44	2	tempo_seq_rand_07.wav	tempo_seq_A_01.wav	1200	400	2	663.360999999975
4	45	1	tempo_seq_A_09.wav	tempo_seq_rand_02.wav	1200	400	2	422.708000000042
4	46	2	tempo_seq_rand_47.wav	tempo_seq_A_12.wav	1200	400	2	290.20299999998
4	47	2	tempo_seq_rand_03.wav	tempo_seq_A_06.wav	1200	400	3	281.65399999998
4	48	2	tempo_seq_rand_13.wav	tempo_seq_A_08.wav	1200	400	2	577.081000000006
