#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/16/2019 10:41:45
#Subject: B2205
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_15.wav	tempo_seq_rand_28.wav	1200	400	2	319.955000000002
1	2	2	tempo_seq_rand_21.wav	tempo_seq_A_04.wav	1200	400	3	260.027000000002
1	3	2	tempo_seq_rand_11.wav	tempo_seq_A_15.wav	1200	400	2	274.214
1	4	2	tempo_seq_rand_18.wav	tempo_seq_A_08.wav	1200	400	3	207.614999999998
1	5	1	tempo_seq_A_12.wav	tempo_seq_rand_39.wav	1200	400	2	320.428
1	6	1	tempo_seq_A_16.wav	tempo_seq_rand_06.wav	1200	400	2	220.582000000009
1	7	1	tempo_seq_A_20.wav	tempo_seq_rand_27.wav	1200	400	3	139.98000000001
1	8	2	tempo_seq_rand_26.wav	tempo_seq_A_19.wav	1200	400	3	166.769
1	9	2	tempo_seq_rand_36.wav	tempo_seq_A_16.wav	1200	400	3	280.294000000009
1	10	2	tempo_seq_rand_07.wav	tempo_seq_A_21.wav	1200	400	2	245.712
1	11	1	tempo_seq_A_22.wav	tempo_seq_rand_43.wav	1200	400	3	187.822
1	12	1	tempo_seq_A_14.wav	tempo_seq_rand_37.wav	1200	400	2	196.678
2	13	2	tempo_seq_rand_30.wav	tempo_seq_A_09.wav	1200	400	2	295.919999999984
2	14	1	tempo_seq_A_02.wav	tempo_seq_rand_03.wav	1200	400	3	244.752000000008
2	15	2	tempo_seq_rand_33.wav	tempo_seq_A_13.wav	1200	400	2	258.86599999998
2	16	2	tempo_seq_rand_34.wav	tempo_seq_A_17.wav	1200	400	3	209.673999999999
2	17	2	tempo_seq_rand_15.wav	tempo_seq_A_20.wav	1200	400	2	209.787999999971
2	18	1	tempo_seq_A_21.wav	tempo_seq_rand_05.wav	1200	400	3	162.594000000012
2	19	2	tempo_seq_rand_29.wav	tempo_seq_A_05.wav	1200	400	3	100.102999999974
2	20	2	tempo_seq_rand_04.wav	tempo_seq_A_06.wav	1200	400	2	176.194999999978
2	21	1	tempo_seq_A_19.wav	tempo_seq_rand_38.wav	1200	400	3	257.627000000008
2	22	1	tempo_seq_A_10.wav	tempo_seq_rand_35.wav	1200	400	2	200.459999999992
2	23	1	tempo_seq_A_03.wav	tempo_seq_rand_47.wav	1200	400	3	232.625
2	24	1	tempo_seq_A_11.wav	tempo_seq_rand_23.wav	1200	400	3	231.415999999997
3	25	2	tempo_seq_rand_40.wav	tempo_seq_A_01.wav	1200	400	2	178.657000000007
3	26	1	tempo_seq_A_18.wav	tempo_seq_rand_10.wav	1200	400	2	308.081000000006
3	27	1	tempo_seq_A_13.wav	tempo_seq_rand_31.wav	1200	400	3	280.880999999994
3	28	1	tempo_seq_A_24.wav	tempo_seq_rand_42.wav	1200	400	2	190.373000000021
3	29	1	tempo_seq_A_08.wav	tempo_seq_rand_16.wav	1200	400	3	151.845999999961
3	30	2	tempo_seq_rand_13.wav	tempo_seq_A_14.wav	1200	400	3	193.972000000009
3	31	1	tempo_seq_A_01.wav	tempo_seq_rand_12.wav	1200	400	3	26.7630000000354
3	32	2	tempo_seq_rand_45.wav	tempo_seq_A_11.wav	1200	400	2	154.339000000036
3	33	2	tempo_seq_rand_48.wav	tempo_seq_A_02.wav	1200	400	2	252.436999999976
3	34	2	tempo_seq_rand_08.wav	tempo_seq_A_03.wav	1200	400	2	435.15399999998
3	35	2	tempo_seq_rand_41.wav	tempo_seq_A_07.wav	1200	400	3	226.601000000024
3	36	1	tempo_seq_A_06.wav	tempo_seq_rand_32.wav	1200	400	3	234.098000000056
4	37	2	tempo_seq_rand_22.wav	tempo_seq_A_10.wav	1200	400	3	222.916000000027
4	38	2	tempo_seq_rand_19.wav	tempo_seq_A_12.wav	1200	400	3	182.406000000017
4	39	1	tempo_seq_A_05.wav	tempo_seq_rand_17.wav	1200	400	2	215.245999999985
4	40	1	tempo_seq_A_09.wav	tempo_seq_rand_46.wav	1200	400	3	238.629000000015
4	41	1	tempo_seq_A_04.wav	tempo_seq_rand_20.wav	1200	400	2	830.162000000011
4	42	1	tempo_seq_A_17.wav	tempo_seq_rand_02.wav	1200	400	3	253.608999999997
4	43	2	tempo_seq_rand_01.wav	tempo_seq_A_24.wav	1200	400	2	267.663
4	44	1	tempo_seq_A_23.wav	tempo_seq_rand_14.wav	1200	400	2	177.122000000032
4	45	2	tempo_seq_rand_44.wav	tempo_seq_A_18.wav	1200	400	3	210.583000000042
4	46	2	tempo_seq_rand_09.wav	tempo_seq_A_23.wav	1200	400	2	491.395000000019
4	47	1	tempo_seq_A_07.wav	tempo_seq_rand_24.wav	1200	400	2	256.884999999951
4	48	2	tempo_seq_rand_25.wav	tempo_seq_A_22.wav	1200	400	3	591.625
