#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/26/2019 12:04:01
#Subject: b2308
#Sex: F
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_38.wav	tempo_seq_A_23.wav	1200	400	3	596.631999999998
1	2	2	tempo_seq_rand_03.wav	tempo_seq_A_08.wav	1200	400	3	760.122000000003
1	3	1	tempo_seq_A_20.wav	tempo_seq_rand_37.wav	1200	400	2	987.498999999996
1	4	2	tempo_seq_rand_40.wav	tempo_seq_A_07.wav	1200	400	3	1046.853
1	5	1	tempo_seq_A_02.wav	tempo_seq_rand_35.wav	1200	400	2	510.303
1	6	1	tempo_seq_A_03.wav	tempo_seq_rand_21.wav	1200	400	3	1021.575
1	7	2	tempo_seq_rand_30.wav	tempo_seq_A_19.wav	1200	400	3	377.047000000006
1	8	1	tempo_seq_A_05.wav	tempo_seq_rand_01.wav	1200	400	2	68.3940000000002
1	9	2	tempo_seq_rand_18.wav	tempo_seq_A_12.wav	1200	400	3	244.592000000004
1	10	1	tempo_seq_A_14.wav	tempo_seq_rand_42.wav	1200	400	2	839.301999999996
1	11	2	tempo_seq_rand_32.wav	tempo_seq_A_22.wav	1200	400	3	491.356999999989
1	12	1	tempo_seq_A_21.wav	tempo_seq_rand_07.wav	1200	400	2	866.729000000021
2	13	1	tempo_seq_A_11.wav	tempo_seq_rand_45.wav	1200	400	2	537.627000000008
2	14	2	tempo_seq_rand_02.wav	tempo_seq_A_16.wav	1200	400	3	2737.005
2	15	1	tempo_seq_A_09.wav	tempo_seq_rand_28.wav	1200	400	3	4560.27100000001
2	16	2	tempo_seq_rand_04.wav	tempo_seq_A_09.wav	1200	400	3	3931.46500000003
2	17	2	tempo_seq_rand_43.wav	tempo_seq_A_03.wav	1200	400	3	3394.64300000001
2	18	1	tempo_seq_A_19.wav	tempo_seq_rand_33.wav	1200	400	2	8221.89999999999
2	19	2	tempo_seq_rand_20.wav	tempo_seq_A_20.wav	1200	400	2	5561.462
2	20	1	tempo_seq_A_15.wav	tempo_seq_rand_16.wav	1200	400	2	4564.94500000001
2	21	1	tempo_seq_A_01.wav	tempo_seq_rand_05.wav	1200	400	3	3711.07499999995
2	22	1	tempo_seq_A_18.wav	tempo_seq_rand_09.wav	1200	400	3	2558.27600000001
2	23	2	tempo_seq_rand_17.wav	tempo_seq_A_13.wav	1200	400	3	2393.56400000001
2	24	2	tempo_seq_rand_13.wav	tempo_seq_A_14.wav	1200	400	2	372.843999999983
3	25	2	tempo_seq_rand_36.wav	tempo_seq_A_05.wav	1200	400	3	5351.14299999998
3	26	1	tempo_seq_A_08.wav	tempo_seq_rand_10.wav	1200	400	3	12442.27
3	27	2	tempo_seq_rand_48.wav	tempo_seq_A_21.wav	1200	400	2	2516.96399999998
3	28	1	tempo_seq_A_06.wav	tempo_seq_rand_31.wav	1200	400	2	6148.34100000001
3	29	1	tempo_seq_A_17.wav	tempo_seq_rand_19.wav	1200	400	2	2887.315
3	30	1	tempo_seq_A_07.wav	tempo_seq_rand_11.wav	1200	400	2	3470.67599999998
3	31	2	tempo_seq_rand_34.wav	tempo_seq_A_01.wav	1200	400	2	3141.848
3	32	2	tempo_seq_rand_06.wav	tempo_seq_A_11.wav	1200	400	3	3069.05299999996
3	33	2	tempo_seq_rand_25.wav	tempo_seq_A_02.wav	1200	400	3	1620.33000000002
3	34	2	tempo_seq_rand_24.wav	tempo_seq_A_17.wav	1200	400	2	2807.647
3	35	1	tempo_seq_A_04.wav	tempo_seq_rand_29.wav	1200	400	3	1274.96899999998
3	36	1	tempo_seq_A_13.wav	tempo_seq_rand_12.wav	1200	400	3	15018.292
4	37	2	tempo_seq_rand_47.wav	tempo_seq_A_24.wav	1200	400	3	2362.78299999994
4	38	1	tempo_seq_A_12.wav	tempo_seq_rand_39.wav	1200	400	2	5918.08600000001
4	39	2	tempo_seq_rand_41.wav	tempo_seq_A_15.wav	1200	400	3	8317.1590000001
4	40	2	tempo_seq_rand_08.wav	tempo_seq_A_04.wav	1200	400	3	4436.103
4	41	1	tempo_seq_A_22.wav	tempo_seq_rand_27.wav	1200	400	2	539.945999999996
4	42	1	tempo_seq_A_24.wav	tempo_seq_rand_15.wav	1200	400	3	4395.38799999992
4	43	1	tempo_seq_A_10.wav	tempo_seq_rand_14.wav	1200	400	2	4038.55899999989
4	44	1	tempo_seq_A_16.wav	tempo_seq_rand_46.wav	1200	400	2	953.783000000054
4	45	2	tempo_seq_rand_22.wav	tempo_seq_A_06.wav	1200	400	3	125.123000000021
4	46	2	tempo_seq_rand_26.wav	tempo_seq_A_10.wav	1200	400	2	9380.54700000002
4	47	1	tempo_seq_A_23.wav	tempo_seq_rand_44.wav	1200	400	2	870.793000000063
4	48	2	tempo_seq_rand_23.wav	tempo_seq_A_18.wav	1200	400	3	1214.821
