Scenario - _RPSL_incidental
Logfile written - 09/26/2019 12:47:21

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

c0509	1	Picture	instruct	166	0	1	437526	2	0	next	other	0
c0509	1	Response	1	436164	435998	0
c0509	2	Sound	ki	472688	34996	1			35000		other	0
c0509	3	Audio Cue	nu	476525	1164	1			0		other	0
c0509	3	Sound	cue_linfade_exp_seq_A_05.wav	476525	1164	1			0		hit	24
c0509	3	Audio Cue	ga	479026	3664	1			0		other	0
c0509	3	Audio Cue	di	481526	6164	1			0		other	0
c0509	3	Audio Cue	za	484025	8664	1			0		other	0
c0509	3	Audio Cue	be	486525	11163	1			0		other	0
c0509	3	Audio Cue	tu	489026	13665	1			0		other	0
c0509	3	Audio Cue	mi	491525	16164	1			0		other	0
c0509	3	Audio Cue	po	494026	18664	1			0		other	0
c0509	3	Audio Cue	la	496526	21164	1			0		other	0
c0509	3	Audio Cue	za	499026	23664	1			0		other	0
c0509	3	Audio Cue	be	501526	26164	1			0		other	0
c0509	3	Audio Cue	tu	504026	28665	1			0		other	0
c0509	3	Audio Cue	mi	506526	31165	1			0		other	0
c0509	3	Audio Cue	po	509026	33664	1			0		other	0
c0509	3	Audio Cue	la	511526	36165	1			0		other	0
c0509	3	Audio Cue	ro	514027	38665	1			0		other	0
c0509	3	Audio Cue	ki	516527	41165	1			0		other	0
c0509	3	Audio Cue	se	519027	43665	1			0		other	0
c0509	3	Audio Cue	mi	521527	46165	1			0		other	0
c0509	3	Response	1	521764	46402	0
c0509	3	Audio Cue	po	524027	48665	1			0		other	0
c0509	3	Audio Cue	la	526526	51165	1			0		other	0
c0509	3	Audio Cue	za	529027	53665	1			0		other	0
c0509	3	Audio Cue	be	531527	56165	1			0		other	0
c0509	3	Audio Cue	tu	534027	58665	1			0		other	0
c0509	3	Audio Cue	nu	536528	61166	1			0		other	0
c0509	3	Audio Cue	ga	539027	63665	1			0		other	0
c0509	3	Audio Cue	di	541527	66165	1			0		other	0
c0509	3	Audio Cue	mi	544028	68666	1			0		other	0
c0509	3	Audio Cue	po	546528	71166	1			0		other	0
c0509	3	Audio Cue	la	549028	73666	1			0		other	0
c0509	3	Audio Cue	za	551528	76166	1			0		other	0
c0509	3	Audio Cue	be	554027	78665	1			0		other	0
c0509	3	Audio Cue	tu	556528	81166	1			0		other	0
c0509	3	Audio Cue	ro	559028	83667	1			0		other	0
c0509	3	Audio Cue	ki	561528	86166	1			0		other	0
c0509	3	Audio Cue	se	564028	88666	1			0		other	0
c0509	3	Audio Cue	nu	566528	91166	1			0		other	0
c0509	3	Response	1	567364	92002	0
c0509	3	Audio Cue	ga	569028	93666	1			0		other	0
c0509	3	Audio Cue	di	571528	96167	1			0		other	0
c0509	3	Audio Cue	za	574028	98666	1			0		other	0
c0509	3	Audio Cue	be	576528	101166	1			0		other	0
c0509	3	Audio Cue	tu	579029	103667	1			0		other	0
c0509	3	Audio Cue	nu	581529	106167	1			0		other	0
c0509	3	Audio Cue	ga	584028	108667	1			0		other	0
c0509	3	Audio Cue	di	586528	111166	1			0		other	0
c0509	3	Audio Cue	za	589028	113666	1			0		other	0
c0509	3	Audio Cue	be	591528	116166	1			0		other	0
c0509	3	Audio Cue	tu	594029	118668	1			0		other	0
c0509	3	Audio Cue	ro	596529	121167	1			0		other	0
c0509	3	Audio Cue	ki	599029	123667	1			0		other	0
c0509	3	Audio Cue	se	601529	126168	1			0		other	0
c0509	3	Audio Cue	nu	604029	128667	1			0		other	0
c0509	3	Response	1	605044	129682	0
c0509	3	Audio Cue	ga	606529	131167	1			0		other	0
c0509	3	Audio Cue	di	609029	133668	1			0		other	0
c0509	3	Audio Cue	ro	611529	136167	1			0		other	0
c0509	3	Audio Cue	ki	614029	138667	1			0		other	0
c0509	3	Audio Cue	se	616529	141167	1			0		other	0
c0509	3	Audio Cue	nu	619030	143668	1			0		other	0
c0509	3	Audio Cue	ga	621530	146168	1			0		other	0
c0509	3	Audio Cue	di	624029	148667	1			0		other	0
c0509	3	Audio Cue	mi	626529	151168	1			0		other	0
c0509	3	Audio Cue	po	629030	153668	1			0		other	0
c0509	3	Audio Cue	la	631530	156169	1			0		other	0
c0509	3	Audio Cue	za	634029	158668	1			0		other	0
c0509	3	Audio Cue	be	636529	161168	1			0		other	0
c0509	3	Audio Cue	tu	639030	163668	1			0		other	0
c0509	3	Audio Cue	nu	641530	166169	1			0		other	0
c0509	3	Audio Cue	ga	644030	168668	1			0		other	0
c0509	3	Audio Cue	di	646530	171168	1			0		other	0
c0509	3	Audio Cue	mi	649030	173668	1			0		other	0
c0509	3	Audio Cue	po	651530	176168	1			0		other	0
c0509	3	Audio Cue	la	654031	178669	1			0		other	0
c0509	3	Audio Cue	ro	656530	181169	1			0		other	0
c0509	3	Audio Cue	ki	659030	183668	1			0		other	0
c0509	3	Audio Cue	se	661531	186169	1			0		other	0
c0509	3	Response	1	663844	188483	0
c0509	3	Audio Cue	mi	664031	188669	1			0		other	0
c0509	3	Audio Cue	po	666531	191169	1			0		other	0
c0509	3	Audio Cue	la	669030	193669	1			0		other	0
c0509	3	Audio Cue	nu	671531	196169	1			0		other	0
c0509	3	Audio Cue	ga	674031	198670	1			0		other	0
c0509	3	Audio Cue	di	676532	201170	1			0		other	0
c0509	3	Audio Cue	ro	679031	203669	1			0		other	0
c0509	3	Audio Cue	ki	681531	206169	1			0		other	0
c0509	3	Audio Cue	se	684031	208670	1			0		other	0
c0509	3	Audio Cue	mi	686532	211170	1			0		other	0
c0509	3	Audio Cue	po	689032	213670	1			0		other	0
c0509	3	Response	1	690884	215523	0
