#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/26/2019 12:47:56
#Subject: c0509
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_09.wav	tempo_seq_A_16.wav	1200	400	3	385.329999999994
1	2	1	tempo_seq_A_12.wav	tempo_seq_rand_08.wav	1200	400	2	428.854999999996
1	3	2	tempo_seq_rand_45.wav	tempo_seq_A_06.wav	1200	400	3	416.293999999994
1	4	2	tempo_seq_rand_33.wav	tempo_seq_A_13.wav	1200	400	2	451.738000000012
1	5	2	tempo_seq_rand_10.wav	tempo_seq_A_02.wav	1200	400	3	371.209999999992
1	6	1	tempo_seq_A_14.wav	tempo_seq_rand_02.wav	1200	400	2	414.638000000006
1	7	1	tempo_seq_A_05.wav	tempo_seq_rand_20.wav	1200	400	2	458.09599999999
1	8	1	tempo_seq_A_09.wav	tempo_seq_rand_11.wav	1200	400	3	241.534999999989
1	9	1	tempo_seq_A_10.wav	tempo_seq_rand_43.wav	1200	400	3	316.983999999997
1	10	1	tempo_seq_A_22.wav	tempo_seq_rand_31.wav	1200	400	2	396.451000000001
1	11	2	tempo_seq_rand_28.wav	tempo_seq_A_08.wav	1200	400	3	575.939000000013
1	12	2	tempo_seq_rand_04.wav	tempo_seq_A_19.wav	1200	400	3	491.349999999977
2	13	1	tempo_seq_A_08.wav	tempo_seq_rand_27.wav	1200	400	2	365.916999999987
2	14	1	tempo_seq_A_19.wav	tempo_seq_rand_39.wav	1200	400	2	457.345000000001
2	15	2	tempo_seq_rand_06.wav	tempo_seq_A_03.wav	1200	400	2	465.497999999992
2	16	2	tempo_seq_rand_19.wav	tempo_seq_A_24.wav	1200	400	3	304.934000000008
2	17	1	tempo_seq_A_15.wav	tempo_seq_rand_34.wav	1200	400	3	344.389999999985
2	18	1	tempo_seq_A_16.wav	tempo_seq_rand_01.wav	1200	400	2	403.849000000017
2	19	1	tempo_seq_A_02.wav	tempo_seq_rand_14.wav	1200	400	2	887.361000000004
2	20	2	tempo_seq_rand_16.wav	tempo_seq_A_18.wav	1200	400	2	374.719000000012
2	21	2	tempo_seq_rand_03.wav	tempo_seq_A_12.wav	1200	400	3	482.161999999982
2	22	2	tempo_seq_rand_44.wav	tempo_seq_A_22.wav	1200	400	3	361.637000000046
2	23	1	tempo_seq_A_01.wav	tempo_seq_rand_07.wav	1200	400	2	589.069000000018
2	24	2	tempo_seq_rand_12.wav	tempo_seq_A_20.wav	1200	400	2	352.559000000008
3	25	2	tempo_seq_rand_30.wav	tempo_seq_A_17.wav	1200	400	3	319.522999999987
3	26	1	tempo_seq_A_04.wav	tempo_seq_rand_15.wav	1200	400	3	343.032999999996
3	27	2	tempo_seq_rand_40.wav	tempo_seq_A_05.wav	1200	400	3	326.530999999959
3	28	2	tempo_seq_rand_05.wav	tempo_seq_A_11.wav	1200	400	2	429.957999999984
3	29	1	tempo_seq_A_17.wav	tempo_seq_rand_22.wav	1200	400	2	273.41399999999
3	30	1	tempo_seq_A_23.wav	tempo_seq_rand_35.wav	1200	400	3	328.869000000006
3	31	2	tempo_seq_rand_21.wav	tempo_seq_A_21.wav	1200	400	3	312.38400000002
3	32	2	tempo_seq_rand_26.wav	tempo_seq_A_07.wav	1200	400	2	271.79700000002
3	33	2	tempo_seq_rand_32.wav	tempo_seq_A_14.wav	1200	400	3	367.264000000025
3	34	1	tempo_seq_A_24.wav	tempo_seq_rand_42.wav	1200	400	2	418.695999999996
3	35	1	tempo_seq_A_21.wav	tempo_seq_rand_38.wav	1200	400	2	398.119000000006
3	36	1	tempo_seq_A_18.wav	tempo_seq_rand_29.wav	1200	400	3	313.607000000018
4	37	2	tempo_seq_rand_23.wav	tempo_seq_A_04.wav	1200	400	3	223.906000000017
4	38	2	tempo_seq_rand_18.wav	tempo_seq_A_09.wav	1200	400	2	459.353000000003
4	39	1	tempo_seq_A_11.wav	tempo_seq_rand_36.wav	1200	400	3	450.790000000037
4	40	1	tempo_seq_A_06.wav	tempo_seq_rand_41.wav	1200	400	2	730.190000000002
4	41	2	tempo_seq_rand_13.wav	tempo_seq_A_01.wav	1200	400	3	393.662000000011
4	42	1	tempo_seq_A_13.wav	tempo_seq_rand_47.wav	1200	400	2	277.119000000006
4	43	2	tempo_seq_rand_46.wav	tempo_seq_A_10.wav	1200	400	2	372.552000000025
4	44	2	tempo_seq_rand_37.wav	tempo_seq_A_23.wav	1200	400	3	560.037000000011
4	45	1	tempo_seq_A_20.wav	tempo_seq_rand_17.wav	1200	400	2	275.458999999973
4	46	1	tempo_seq_A_03.wav	tempo_seq_rand_48.wav	1200	400	2	610.918000000005
4	47	2	tempo_seq_rand_25.wav	tempo_seq_A_15.wav	1200	400	2	358.382999999973
4	48	1	tempo_seq_A_07.wav	tempo_seq_rand_24.wav	1200	400	2	337.826000000001
