#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/26/2019 12:10:21
#Subject: c0509
#Sex: M
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_36.wav	tempo_seq_A_15.wav	1200	400	3	681.218000000008
1	2	1	tempo_seq_A_05.wav	tempo_seq_rand_21.wav	1200	400	2	424.710999999996
1	3	2	tempo_seq_rand_26.wav	tempo_seq_A_18.wav	1200	400	2	460.064999999988
1	4	2	tempo_seq_rand_08.wav	tempo_seq_A_05.wav	1200	400	3	355.510999999999
1	5	1	tempo_seq_A_17.wav	tempo_seq_rand_12.wav	1200	400	3	366.942999999999
1	6	2	tempo_seq_rand_45.wav	tempo_seq_A_21.wav	1200	400	3	338.438000000009
1	7	2	tempo_seq_rand_13.wav	tempo_seq_A_04.wav	1200	400	3	309.852000000014
1	8	1	tempo_seq_A_23.wav	tempo_seq_rand_11.wav	1200	400	2	493.291999999987
1	9	2	tempo_seq_rand_43.wav	tempo_seq_A_10.wav	1200	400	2	348.777000000002
1	10	1	tempo_seq_A_07.wav	tempo_seq_rand_32.wav	1200	400	3	464.224000000017
1	11	1	tempo_seq_A_19.wav	tempo_seq_rand_06.wav	1200	400	2	503.636999999988
1	12	1	tempo_seq_A_12.wav	tempo_seq_rand_16.wav	1200	400	2	432.317999999999
2	13	1	tempo_seq_A_22.wav	tempo_seq_rand_35.wav	1200	400	2	409.613000000012
2	14	1	tempo_seq_A_06.wav	tempo_seq_rand_48.wav	1200	400	3	909.035000000003
2	15	1	tempo_seq_A_02.wav	tempo_seq_rand_31.wav	1200	400	2	476.465999999986
2	16	2	tempo_seq_rand_22.wav	tempo_seq_A_01.wav	1200	400	2	291.88400000002
2	17	1	tempo_seq_A_09.wav	tempo_seq_rand_19.wav	1200	400	3	363.354999999981
2	18	2	tempo_seq_rand_10.wav	tempo_seq_A_08.wav	1200	400	2	414.809999999998
2	19	2	tempo_seq_rand_05.wav	tempo_seq_A_02.wav	1200	400	2	290.25999999998
2	20	2	tempo_seq_rand_04.wav	tempo_seq_A_16.wav	1200	400	3	345.681000000011
2	21	2	tempo_seq_rand_07.wav	tempo_seq_A_17.wav	1200	400	2	245.173999999999
2	22	1	tempo_seq_A_08.wav	tempo_seq_rand_38.wav	1200	400	3	356.595999999961
2	23	2	tempo_seq_rand_23.wav	tempo_seq_A_19.wav	1200	400	3	296.108000000007
2	24	1	tempo_seq_A_21.wav	tempo_seq_rand_34.wav	1200	400	2	303.473999999987
3	25	2	tempo_seq_rand_02.wav	tempo_seq_A_07.wav	1200	400	3	281.786000000022
3	26	1	tempo_seq_A_13.wav	tempo_seq_rand_25.wav	1200	400	3	241.176000000036
3	27	2	tempo_seq_rand_30.wav	tempo_seq_A_13.wav	1200	400	3	328.678000000014
3	28	2	tempo_seq_rand_28.wav	tempo_seq_A_12.wav	1200	400	2	248.158999999985
3	29	1	tempo_seq_A_16.wav	tempo_seq_rand_42.wav	1200	400	3	759.559000000008
3	30	1	tempo_seq_A_04.wav	tempo_seq_rand_41.wav	1200	400	2	283.068000000028
3	31	2	tempo_seq_rand_14.wav	tempo_seq_A_09.wav	1200	400	2	602.38400000002
3	32	1	tempo_seq_A_24.wav	tempo_seq_rand_33.wav	1200	400	3	173.84600000002
3	33	1	tempo_seq_A_03.wav	tempo_seq_rand_27.wav	1200	400	2	257.340000000026
3	34	1	tempo_seq_A_11.wav	tempo_seq_rand_46.wav	1200	400	3	296.781000000017
3	35	2	tempo_seq_rand_01.wav	tempo_seq_A_14.wav	1200	400	2	288.250999999989
3	36	2	tempo_seq_rand_17.wav	tempo_seq_A_06.wav	1200	400	2	351.744999999995
4	37	2	tempo_seq_rand_24.wav	tempo_seq_A_03.wav	1200	400	2	282.361000000034
4	38	2	tempo_seq_rand_03.wav	tempo_seq_A_24.wav	1200	400	3	273.810999999987
4	39	1	tempo_seq_A_10.wav	tempo_seq_rand_44.wav	1200	400	2	169.420000000042
4	40	1	tempo_seq_A_20.wav	tempo_seq_rand_40.wav	1200	400	2	332.804999999993
4	41	1	tempo_seq_A_14.wav	tempo_seq_rand_20.wav	1200	400	2	288.20199999999
4	42	2	tempo_seq_rand_09.wav	tempo_seq_A_11.wav	1200	400	3	279.725999999966
4	43	2	tempo_seq_rand_47.wav	tempo_seq_A_20.wav	1200	400	3	343.823999999964
4	44	2	tempo_seq_rand_37.wav	tempo_seq_A_22.wav	1200	400	2	251.26999999996
4	45	1	tempo_seq_A_01.wav	tempo_seq_rand_29.wav	1200	400	3	134.738000000012
4	46	2	tempo_seq_rand_39.wav	tempo_seq_A_23.wav	1200	400	3	270.256999999983
4	47	1	tempo_seq_A_15.wav	tempo_seq_rand_18.wav	1200	400	2	165.653000000049
4	48	1	tempo_seq_A_18.wav	tempo_seq_rand_15.wav	1200	400	2	225.129000000074
