#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/03/2019 13:48:10
#Subject: d2006
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_25.wav	tempo_seq_A_03.wav	1200	400	2	328.521000000001
1	2	1	tempo_seq_A_17.wav	tempo_seq_rand_20.wav	1200	400	2	243.972999999998
1	3	2	tempo_seq_rand_15.wav	tempo_seq_A_13.wav	1200	400	2	195.386000000006
1	4	2	tempo_seq_rand_09.wav	tempo_seq_A_08.wav	1200	400	2	236.906000000003
1	5	1	tempo_seq_A_19.wav	tempo_seq_rand_32.wav	1200	400	2	276.319000000003
1	6	1	tempo_seq_A_16.wav	tempo_seq_rand_11.wav	1200	400	3	89.7810000000027
1	7	1	tempo_seq_A_07.wav	tempo_seq_rand_12.wav	1200	400	2	103.218999999997
1	8	2	tempo_seq_rand_34.wav	tempo_seq_A_18.wav	1200	400	2	147.985000000001
1	9	2	tempo_seq_rand_35.wav	tempo_seq_A_14.wav	1200	400	3	366.036999999997
1	10	1	tempo_seq_A_18.wav	tempo_seq_rand_28.wav	1200	400	2	279.630000000005
1	11	1	tempo_seq_A_21.wav	tempo_seq_rand_22.wav	1200	400	2	284.343000000008
1	12	2	tempo_seq_rand_16.wav	tempo_seq_A_16.wav	1200	400	2	217.775999999998
2	13	1	tempo_seq_A_08.wav	tempo_seq_rand_27.wav	1200	400	2	211.533999999985
2	14	2	tempo_seq_rand_45.wav	tempo_seq_A_22.wav	1200	400	2	212.299999999988
2	15	2	tempo_seq_rand_21.wav	tempo_seq_A_23.wav	1200	400	2	205.066999999981
2	16	2	tempo_seq_rand_17.wav	tempo_seq_A_24.wav	1200	400	2	165.20199999999
2	17	1	tempo_seq_A_13.wav	tempo_seq_rand_39.wav	1200	400	2	270.672999999981
2	18	2	tempo_seq_rand_37.wav	tempo_seq_A_02.wav	1200	400	3	60.0729999999749
2	19	1	tempo_seq_A_06.wav	tempo_seq_rand_30.wav	1200	400	2	90.8880000000063
2	20	2	tempo_seq_rand_06.wav	tempo_seq_A_17.wav	1200	400	3	16.3319999999949
2	21	2	tempo_seq_rand_10.wav	tempo_seq_A_06.wav	1200	400	3	207.810999999987
2	22	1	tempo_seq_A_03.wav	tempo_seq_rand_40.wav	1200	400	3	103.970000000001
2	23	1	tempo_seq_A_23.wav	tempo_seq_rand_18.wav	1200	400	2	84.7319999999891
2	24	1	tempo_seq_A_01.wav	tempo_seq_rand_31.wav	1200	400	2	186.176000000007
3	25	1	tempo_seq_A_12.wav	tempo_seq_rand_43.wav	1200	400	2	372.104999999981
3	26	2	tempo_seq_rand_41.wav	tempo_seq_A_04.wav	1200	400	3	205.56700000001
3	27	1	tempo_seq_A_10.wav	tempo_seq_rand_29.wav	1200	400	3	62.3340000000317
3	28	2	tempo_seq_rand_46.wav	tempo_seq_A_01.wav	1200	400	2	61.1359999999986
3	29	1	tempo_seq_A_02.wav	tempo_seq_rand_02.wav	1200	400	2	163.26800000004
3	30	1	tempo_seq_A_11.wav	tempo_seq_rand_44.wav	1200	400	2	172.700999999943
3	31	2	tempo_seq_rand_07.wav	tempo_seq_A_11.wav	1200	400	2	110.239000000001
3	32	2	tempo_seq_rand_48.wav	tempo_seq_A_10.wav	1200	400	3	122.951000000001
3	33	1	tempo_seq_A_04.wav	tempo_seq_rand_23.wav	1200	400	3	39.0860000000102
3	34	2	tempo_seq_rand_01.wav	tempo_seq_A_20.wav	1200	400	2	5.87200000003213
3	35	2	tempo_seq_rand_19.wav	tempo_seq_A_12.wav	1200	400	3	78.0169999999925
3	36	1	tempo_seq_A_14.wav	tempo_seq_rand_24.wav	1200	400	2	123.47900000005
4	37	1	tempo_seq_A_24.wav	tempo_seq_rand_05.wav	1200	400	3	12.1420000000508
4	38	2	tempo_seq_rand_03.wav	tempo_seq_A_21.wav	1200	400	2	148.938999999955
4	39	2	tempo_seq_rand_26.wav	tempo_seq_A_07.wav	1200	400	3	39.0869999999995
4	40	1	tempo_seq_A_05.wav	tempo_seq_rand_14.wav	1200	400	2	54.5130000000354
4	41	1	tempo_seq_A_15.wav	tempo_seq_rand_38.wav	1200	400	3	77.3390000000363
4	42	2	tempo_seq_rand_42.wav	tempo_seq_A_05.wav	1200	400	3	147.454000000027
4	43	1	tempo_seq_A_20.wav	tempo_seq_rand_36.wav	1200	400	2	94.2480000000214
4	44	2	tempo_seq_rand_33.wav	tempo_seq_A_09.wav	1200	400	3	83.6809999999823
4	45	2	tempo_seq_rand_08.wav	tempo_seq_A_15.wav	1200	400	2	81.1449999999604
4	46	1	tempo_seq_A_09.wav	tempo_seq_rand_04.wav	1200	400	2	22.5989999999874
4	47	1	tempo_seq_A_22.wav	tempo_seq_rand_47.wav	1200	400	2	102.092000000004
4	48	2	tempo_seq_rand_13.wav	tempo_seq_A_19.wav	1200	400	2	146.222000000009
