#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/03/2019 13:11:46
#Subject: d2006
#Sex: F
#Age: 30
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_18.wav	tempo_seq_A_20.wav	1200	400	2	519.576000000001
1	2	2	tempo_seq_rand_05.wav	tempo_seq_A_12.wav	1200	400	3	290.959999999999
1	3	1	tempo_seq_A_04.wav	tempo_seq_rand_29.wav	1200	400	2	248.39899999999
1	4	1	tempo_seq_A_03.wav	tempo_seq_rand_25.wav	1200	400	2	223.222999999998
1	5	1	tempo_seq_A_13.wav	tempo_seq_rand_47.wav	1200	400	2	278.671000000002
1	6	2	tempo_seq_rand_03.wav	tempo_seq_A_24.wav	1200	400	2	260.074999999997
1	7	2	tempo_seq_rand_21.wav	tempo_seq_A_03.wav	1200	400	2	306.186999999991
1	8	1	tempo_seq_A_17.wav	tempo_seq_rand_06.wav	1200	400	2	446.948999999993
1	9	2	tempo_seq_rand_40.wav	tempo_seq_A_07.wav	1200	400	3	292.346999999994
1	10	2	tempo_seq_rand_24.wav	tempo_seq_A_13.wav	1200	400	3	265.121000000014
1	11	1	tempo_seq_A_12.wav	tempo_seq_rand_16.wav	1200	400	3	287.219000000012
1	12	1	tempo_seq_A_02.wav	tempo_seq_rand_41.wav	1200	400	2	338.703000000009
2	13	2	tempo_seq_rand_11.wav	tempo_seq_A_21.wav	1200	400	3	309.831999999995
2	14	1	tempo_seq_A_06.wav	tempo_seq_rand_34.wav	1200	400	3	208.57799999998
2	15	1	tempo_seq_A_21.wav	tempo_seq_rand_45.wav	1200	400	3	264.034000000014
2	16	1	tempo_seq_A_16.wav	tempo_seq_rand_33.wav	1200	400	3	245.513999999996
2	17	2	tempo_seq_rand_39.wav	tempo_seq_A_14.wav	1200	400	3	378.945999999996
2	18	2	tempo_seq_rand_15.wav	tempo_seq_A_18.wav	1200	400	2	276.317999999999
2	19	1	tempo_seq_A_22.wav	tempo_seq_rand_43.wav	1200	400	2	280.483000000007
2	20	1	tempo_seq_A_23.wav	tempo_seq_rand_23.wav	1200	400	2	251.883000000002
2	21	1	tempo_seq_A_08.wav	tempo_seq_rand_10.wav	1200	400	2	184.641000000003
2	22	2	tempo_seq_rand_48.wav	tempo_seq_A_22.wav	1200	400	2	264.082999999984
2	23	2	tempo_seq_rand_38.wav	tempo_seq_A_10.wav	1200	400	3	164.883000000002
2	24	2	tempo_seq_rand_07.wav	tempo_seq_A_23.wav	1200	400	3	422.320000000007
3	25	1	tempo_seq_A_14.wav	tempo_seq_rand_04.wav	1200	400	3	203.635999999999
3	26	2	tempo_seq_rand_42.wav	tempo_seq_A_01.wav	1200	400	3	227.046000000031
3	27	2	tempo_seq_rand_09.wav	tempo_seq_A_15.wav	1200	400	2	569.119999999995
3	28	2	tempo_seq_rand_28.wav	tempo_seq_A_11.wav	1200	400	2	217.906000000017
3	29	1	tempo_seq_A_07.wav	tempo_seq_rand_14.wav	1200	400	3	305.376999999979
3	30	1	tempo_seq_A_10.wav	tempo_seq_rand_32.wav	1200	400	2	100.788
3	31	1	tempo_seq_A_05.wav	tempo_seq_rand_17.wav	1200	400	2	215.548999999999
3	32	1	tempo_seq_A_01.wav	tempo_seq_rand_37.wav	1200	400	3	207.719000000041
3	33	2	tempo_seq_rand_36.wav	tempo_seq_A_19.wav	1200	400	3	95.1190000000061
3	34	2	tempo_seq_rand_44.wav	tempo_seq_A_05.wav	1200	400	2	91.8999999999651
3	35	1	tempo_seq_A_15.wav	tempo_seq_rand_27.wav	1200	400	2	193.32699999999
3	36	2	tempo_seq_rand_35.wav	tempo_seq_A_06.wav	1200	400	3	169.456000000006
4	37	1	tempo_seq_A_20.wav	tempo_seq_rand_46.wav	1200	400	2	130.045999999973
4	38	1	tempo_seq_A_24.wav	tempo_seq_rand_19.wav	1200	400	2	213.525000000023
4	39	1	tempo_seq_A_11.wav	tempo_seq_rand_31.wav	1200	400	2	260.928000000014
4	40	2	tempo_seq_rand_22.wav	tempo_seq_A_04.wav	1200	400	2	218.373000000021
4	41	1	tempo_seq_A_19.wav	tempo_seq_rand_02.wav	1200	400	2	168.447000000044
4	42	2	tempo_seq_rand_01.wav	tempo_seq_A_02.wav	1200	400	2	41.954000000027
4	43	2	tempo_seq_rand_26.wav	tempo_seq_A_09.wav	1200	400	3	120.720999999961
4	44	2	tempo_seq_rand_08.wav	tempo_seq_A_16.wav	1200	400	2	259.497000000032
4	45	2	tempo_seq_rand_13.wav	tempo_seq_A_17.wav	1200	400	3	224.992999999959
4	46	1	tempo_seq_A_18.wav	tempo_seq_rand_20.wav	1200	400	3	168.353999999992
4	47	1	tempo_seq_A_09.wav	tempo_seq_rand_12.wav	1200	400	2	168.530000000028
4	48	2	tempo_seq_rand_30.wav	tempo_seq_A_08.wav	1200	400	2	201.929999999993
