Scenario - _RPSL_incidental
Logfile written - 10/03/2019 13:38:54

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

d2006	1	Picture	instruct	333	0	1	532700	1	0	next	other	0
d2006	1	Response	1	531680	531347	1
d2006	2	Sound	po	568034	35001	1			35000		other	0
d2006	3	Audio Cue	za	570866	164	1			0		other	0
d2006	3	Sound	cue_linfade_exp_seq_A_04.wav	570866	164	1			0		hit	14
d2006	3	Audio Cue	be	573366	2663	1			0		other	0
d2006	3	Audio Cue	tu	575866	5164	1			0		other	0
d2006	3	Audio Cue	ro	578365	7663	1			0		other	0
d2006	3	Audio Cue	ki	580867	10164	1			0		other	0
d2006	3	Audio Cue	se	583366	12663	1			0		other	0
d2006	3	Audio Cue	mi	585866	15163	1			0		other	0
d2006	3	Audio Cue	po	588366	17663	1			0		other	0
d2006	3	Audio Cue	la	590865	20163	1			0		other	0
d2006	3	Response	1	593121	22418	1
d2006	3	Audio Cue	ro	593366	22663	1			0		other	0
d2006	3	Audio Cue	ki	595866	25164	1			0		other	0
d2006	3	Audio Cue	se	598367	27665	1			0		other	0
d2006	3	Audio Cue	nu	600866	30164	1			0		other	0
d2006	3	Audio Cue	ga	603366	32664	1			0		other	0
d2006	3	Audio Cue	di	605867	35164	1			0		other	0
d2006	3	Audio Cue	ro	608367	37665	1			0		other	0
d2006	3	Audio Cue	ki	610867	40164	1			0		other	0
d2006	3	Audio Cue	se	613367	42664	1			0		other	0
d2006	3	Audio Cue	za	615868	45165	1			0		other	0
d2006	3	Audio Cue	be	618367	47664	1			0		other	0
d2006	3	Audio Cue	tu	620867	50164	1			0		other	0
d2006	3	Audio Cue	mi	623368	52665	1			0		other	0
d2006	3	Audio Cue	po	625867	55164	1			0		other	0
d2006	3	Audio Cue	la	628367	57665	1			0		other	0
d2006	3	Response	1	629361	58658	1
d2006	3	Audio Cue	nu	630867	60165	1			0		other	0
d2006	3	Audio Cue	ga	633367	62665	1			0		other	0
d2006	3	Audio Cue	di	635866	65164	1			0		other	0
d2006	3	Audio Cue	mi	638367	67665	1			0		other	0
d2006	3	Audio Cue	po	640868	70166	1			0		other	0
d2006	3	Audio Cue	la	643367	72664	1			0		other	0
d2006	3	Audio Cue	ro	645868	75165	1			0		other	0
d2006	3	Audio Cue	ki	648368	77665	1			0		other	0
d2006	3	Audio Cue	se	650868	80166	1			0		other	0
d2006	3	Audio Cue	nu	653368	82666	1			0		other	0
d2006	3	Audio Cue	ga	655868	85166	1			0		other	0
d2006	3	Audio Cue	di	658369	87666	1			0		other	0
d2006	3	Audio Cue	za	660868	90165	1			0		other	0
d2006	3	Audio Cue	be	663368	92666	1			0		other	0
d2006	3	Audio Cue	tu	665868	95166	1			0		other	0
d2006	3	Audio Cue	nu	668369	97666	1			0		other	0
d2006	3	Audio Cue	ga	670868	100166	1			0		other	0
d2006	3	Audio Cue	di	673368	102666	1			0		other	0
d2006	3	Audio Cue	mi	675870	105167	1			0		other	0
d2006	3	Audio Cue	po	678369	107667	1			0		other	0
d2006	3	Audio Cue	la	680869	110166	1			0		other	0
d2006	3	Response	1	681761	111058	1
d2006	3	Audio Cue	ro	683368	112666	1			0		other	0
d2006	3	Audio Cue	ki	685869	115166	1			0		other	0
d2006	3	Audio Cue	se	688369	117666	1			0		other	0
d2006	3	Audio Cue	nu	690869	120166	1			0		other	0
d2006	3	Audio Cue	ga	693369	122666	1			0		other	0
d2006	3	Audio Cue	di	695869	125166	1			0		other	0
d2006	3	Audio Cue	mi	698369	127667	1			0		other	0
d2006	3	Audio Cue	po	700870	130168	1			0		other	0
d2006	3	Audio Cue	la	703369	132667	1			0		other	0
d2006	3	Audio Cue	za	705870	135167	1			0		other	0
d2006	3	Response	1	708000	137298	1
d2006	3	Audio Cue	be	708370	137667	1			0		other	0
d2006	3	Audio Cue	tu	710871	140168	1			0		other	0
d2006	3	Audio Cue	ro	713369	142667	1			0		other	0
d2006	3	Audio Cue	ki	715870	145167	1			0		other	0
d2006	3	Audio Cue	se	718370	147668	1			0		other	0
d2006	3	Audio Cue	nu	720871	150168	1			0		other	0
d2006	3	Audio Cue	ga	723371	152668	1			0		other	0
d2006	3	Audio Cue	di	725870	155167	1			0		other	0
d2006	3	Audio Cue	mi	728370	157668	1			0		other	0
d2006	3	Audio Cue	po	730870	160168	1			0		other	0
d2006	3	Audio Cue	la	733371	162668	1			0		other	0
d2006	3	Response	1	733520	162818	1
d2006	3	Audio Cue	ro	735871	165168	1			0		other	0
d2006	3	Audio Cue	ki	738370	167668	1			0		other	0
d2006	3	Audio Cue	se	740871	170169	1			0		other	0
d2006	3	Audio Cue	za	743370	172668	1			0		other	0
d2006	3	Audio Cue	be	745871	175168	1			0		other	0
d2006	3	Audio Cue	tu	748371	177668	1			0		other	0
d2006	3	Audio Cue	nu	750872	180169	1			0		other	0
d2006	3	Audio Cue	ga	753371	182668	1			0		other	0
d2006	3	Audio Cue	di	755871	185169	1			0		other	0
d2006	3	Audio Cue	mi	758371	187669	1			0		other	0
d2006	3	Audio Cue	po	760871	190169	1			0		other	0
d2006	3	Response	1	762401	191698	1
d2006	3	Audio Cue	la	763371	192669	1			0		other	0
d2006	3	Audio Cue	za	765872	195169	1			0		other	0
d2006	3	Audio Cue	be	768372	197669	1			0		other	0
d2006	3	Audio Cue	tu	770872	200169	1			0		other	0
d2006	3	Audio Cue	ro	773373	202670	1			0		other	0
d2006	3	Audio Cue	ki	775872	205169	1			0		other	0
d2006	3	Audio Cue	se	778372	207669	1			0		other	0
d2006	3	Audio Cue	za	780872	210169	1			0		other	0
d2006	3	Audio Cue	be	783372	212669	1			0		other	0
d2006	3	Audio Cue	tu	785871	215169	1			0		other	0
d2006	3	Audio Cue	ro	788372	217669	1			0		other	0
d2006	3	Audio Cue	ki	790872	220169	1			0		other	0
d2006	3	Audio Cue	se	793372	222670	1			0		other	0
d2006	3	Audio Cue	mi	795873	225171	1			0		other	0
d2006	3	Audio Cue	po	798373	227670	1			0		other	0
d2006	3	Response	1	800161	229458	1
d2006	3	Audio Cue	la	800873	230170	1			0		other	0
d2006	3	Audio Cue	za	803373	232670	1			0		other	0
d2006	3	Audio Cue	be	805873	235171	1			0		other	0
d2006	3	Audio Cue	tu	808373	237671	1			0		other	0
d2006	3	Audio Cue	nu	810873	240170	1			0		other	0
d2006	3	Audio Cue	ga	813373	242671	1			0		other	0
d2006	3	Audio Cue	di	815873	245171	1			0		other	0
d2006	3	Audio Cue	mi	818373	247670	1			0		other	0
d2006	3	Audio Cue	po	820873	250170	1			0		other	0
d2006	3	Response	1	822161	251458	1
d2006	3	Audio Cue	la	823373	252671	1			0		other	0
d2006	3	Audio Cue	za	825873	255170	1			0		other	0
d2006	3	Audio Cue	be	828374	257672	1			0		other	0
d2006	3	Audio Cue	tu	830873	260171	1			0		other	0
d2006	3	Audio Cue	nu	833373	262671	1			0		other	0
d2006	3	Audio Cue	ga	835874	265171	1			0		other	0
d2006	3	Audio Cue	di	838375	267672	1			0		other	0
d2006	3	Audio Cue	za	840874	270171	1			0		other	0
d2006	3	Audio Cue	be	843374	272671	1			0		other	0
d2006	3	Audio Cue	tu	845874	275171	1			0		other	0
d2006	3	Audio Cue	nu	848374	277671	1			0		other	0
d2006	3	Audio Cue	ga	850875	280172	1			0		other	0
d2006	3	Audio Cue	di	853375	282672	1			0		other	0
d2006	3	Audio Cue	za	855874	285171	1			0		other	0
d2006	3	Audio Cue	be	858374	287672	1			0		other	0
d2006	3	Audio Cue	tu	860875	290172	1			0		other	0
d2006	3	Audio Cue	mi	863374	292671	1			0		other	0
d2006	3	Audio Cue	po	865875	295172	1			0		other	0
d2006	3	Audio Cue	la	868375	297672	1			0		other	0
d2006	3	Response	1	868721	298018	1
d2006	3	Audio Cue	nu	870875	300173	1			0		other	0
d2006	3	Audio Cue	ga	873375	302673	1			0		other	0
d2006	3	Audio Cue	di	875875	305172	1			0		other	0
d2006	3	Audio Cue	ro	878375	307672	1			0		other	0
d2006	3	Audio Cue	ki	880875	310172	1			0		other	0
d2006	3	Audio Cue	se	883376	312673	1			0		other	0
d2006	3	Audio Cue	nu	885876	315173	1			0		other	0
d2006	3	Audio Cue	ga	888376	317673	1			0		other	0
d2006	3	Audio Cue	di	890875	320173	1			0		other	0
d2006	3	Audio Cue	ro	893375	322673	1			0		other	0
d2006	3	Audio Cue	ki	895875	325173	1			0		other	0
d2006	3	Audio Cue	se	898375	327672	1			0		other	0
d2006	3	Audio Cue	za	900876	330173	1			0		other	0
d2006	3	Audio Cue	be	903376	332673	1			0		other	0
d2006	3	Audio Cue	tu	905876	335173	1			0		other	0
d2006	3	Audio Cue	ro	908377	337674	1			0		other	0
d2006	3	Audio Cue	ki	910876	340173	1			0		other	0
d2006	3	Audio Cue	se	913376	342673	1			0		other	0
d2006	3	Audio Cue	za	915876	345174	1			0		other	0
d2006	3	Audio Cue	be	918376	347673	1			0		other	0
d2006	3	Audio Cue	tu	920876	350173	1			0		other	0
d2006	3	Audio Cue	mi	923377	352674	1			0		other	0
d2006	3	Audio Cue	po	925876	355173	1			0		other	0
d2006	3	Response	1	928081	357378	1
d2006	3	Audio Cue	la	928376	357674	1			0		other	0
d2006	3	Audio Cue	nu	930877	360174	1			0		other	0
d2006	3	Audio Cue	ga	933377	362675	1			0		other	0
d2006	3	Audio Cue	di	935876	365173	1			0		other	0
d2006	3	Audio Cue	ro	938377	367674	1			0		other	0
d2006	3	Audio Cue	ki	940877	370174	1			0		other	0
d2006	3	Audio Cue	se	943377	372675	1			0		other	0
d2006	3	Audio Cue	za	945878	375175	1			0		other	0
d2006	3	Audio Cue	be	948378	377676	1			0		other	0
d2006	3	Audio Cue	tu	950877	380175	1			0		other	0
d2006	3	Audio Cue	ro	953378	382675	1			0		other	0
d2006	3	Audio Cue	ki	955878	385175	1			0		other	0
d2006	3	Audio Cue	se	958376	387674	1			0		other	0
d2006	3	Audio Cue	za	960877	390175	1			0		other	0
d2006	3	Audio Cue	be	963377	392675	1			0		other	0
d2006	3	Audio Cue	tu	965878	395175	1			0		other	0
d2006	3	Audio Cue	nu	968377	397675	1			0		other	0
d2006	3	Audio Cue	ga	970878	400175	1			0		other	0
d2006	3	Audio Cue	di	973378	402675	1			0		other	0
d2006	3	Audio Cue	mi	975878	405176	1			0		other	0
d2006	3	Audio Cue	po	978378	407675	1			0		other	0
d2006	3	Response	1	979921	409218	1
d2006	3	Audio Cue	la	980878	410175	1			0		other	0
d2006	3	Audio Cue	ro	983379	412676	1			0		other	0
d2006	3	Audio Cue	ki	985878	415175	1			0		other	0
d2006	3	Audio Cue	se	988378	417675	1			0		other	0
d2006	3	Audio Cue	za	990878	420176	1			0		other	0
d2006	3	Audio Cue	be	993379	422676	1			0		other	0
d2006	3	Audio Cue	tu	995879	425176	1			0		other	0
d2006	3	Audio Cue	mi	998379	427676	1			0		other	0
d2006	3	Audio Cue	po	1000878	430176	1			0		other	0
d2006	3	Audio Cue	la	1003379	432676	1			0		other	0
d2006	3	Response	1	1003441	432738	1
d2006	3	Audio Cue	nu	1005878	435176	1			0		other	0
d2006	3	Audio Cue	ga	1008379	437676	1			0		other	0
d2006	3	Audio Cue	di	1010879	440177	1			0		other	0
d2006	3	Audio Cue	mi	1013380	442677	1			0		other	0
d2006	3	Audio Cue	po	1015879	445176	1			0		other	0
d2006	3	Audio Cue	la	1018379	447676	1			0		other	0
d2006	3	Audio Cue	ro	1020879	450177	1			0		other	0
d2006	3	Audio Cue	ki	1023379	452677	1			0		other	0
d2006	3	Audio Cue	se	1025880	455177	1			0		other	0
d2006	3	Audio Cue	nu	1028381	457678	1			0		other	0
d2006	3	Audio Cue	ga	1030880	460177	1			0		other	0
d2006	3	Audio Cue	di	1033380	462677	1			0		other	0
d2006	3	Audio Cue	mi	1035880	465177	1			0		other	0
d2006	3	Audio Cue	po	1038380	467678	1			0		other	0
d2006	3	Response	1	1040481	469778	1
d2006	3	Audio Cue	la	1040880	470178	1			0		other	0
d2006	3	Audio Cue	za	1043380	472677	1			0		other	0
d2006	3	Audio Cue	be	1045880	475178	1			0		other	0
d2006	3	Audio Cue	tu	1048380	477678	1			0		other	0
d2006	3	Audio Cue	mi	1050880	480178	1			0		other	0
d2006	3	Audio Cue	po	1053381	482678	1			0		other	0
d2006	3	Response	1	1055361	484658	1
d2006	3	Audio Cue	la	1055881	485178	1			0		other	0
d2006	3	Audio Cue	za	1058381	487678	1			0		other	0
d2006	3	Audio Cue	be	1060880	490178	1			0		other	0
d2006	3	Audio Cue	tu	1063381	492678	1			0		other	0
d2006	3	Audio Cue	nu	1065881	495178	1			0		other	0
d2006	3	Audio Cue	ga	1068381	497679	1			0		other	0
d2006	3	Audio Cue	di	1070882	500179	1			0		other	0
d2006	3	Audio Cue	mi	1073380	502678	1			0		other	0
d2006	3	Audio Cue	po	1075882	505179	1			0		other	0
d2006	3	Response	1	1077601	506899	1
d2006	3	Audio Cue	la	1078381	507678	1			0		other	0
d2006	3	Audio Cue	nu	1080882	510179	1			0		other	0
d2006	3	Audio Cue	ga	1083381	512679	1			0		other	0
d2006	3	Audio Cue	di	1085882	515179	1			0		other	0
d2006	3	Audio Cue	ro	1088381	517679	1			0		other	0
d2006	3	Audio Cue	ki	1090882	520179	1			0		other	0
d2006	3	Audio Cue	se	1093382	522679	1			0		other	0
d2006	3	Audio Cue	mi	1095882	525179	1			0		other	0
d2006	3	Audio Cue	po	1098381	527679	1			0		other	0
d2006	3	Response	1	1100081	529378	1
d2006	3	Audio Cue	la	1100881	530179	1			0		other	0
d2006	3	Audio Cue	ro	1103382	532679	1			0		other	0
d2006	3	Audio Cue	ki	1105883	535180	1			0		other	0
d2006	3	Audio Cue	se	1108383	537680	1			0		other	0
d2006	4	Picture	break	1111070	0	1	42003	1	0	next	other	0
d2006	4	Response	1	1152001	40931	1
d2006	5	Sound	se	1188072	34999	1			35000		other	0
d2006	6	Audio Cue	za	1190885	143	1			0		other	0
d2006	6	Sound	cue_linfade_exp_seq_A_08.wav	1190885	143	1			0		hit	260
d2006	6	Audio Cue	be	1193385	2643	1			0		other	0
d2006	6	Audio Cue	tu	1195885	5143	1			0		other	0
d2006	6	Audio Cue	mi	1198385	7644	1			0		other	0
d2006	6	Audio Cue	po	1200885	10144	1			0		other	0
d2006	6	Audio Cue	la	1203385	12643	1			0		other	0
d2006	6	Audio Cue	za	1205885	15143	1			0		other	0
d2006	6	Audio Cue	be	1208385	17643	1			0		other	0
d2006	6	Audio Cue	tu	1210885	20143	1			0		other	0
d2006	6	Audio Cue	mi	1213386	22644	1			0		other	0
d2006	6	Audio Cue	po	1215886	25144	1			0		other	0
d2006	6	Audio Cue	la	1218385	27643	1			0		other	0
d2006	6	Audio Cue	za	1220885	30143	1			0		other	0
d2006	6	Audio Cue	be	1223386	32644	1			0		other	0
d2006	6	Audio Cue	tu	1225885	35143	1			0		other	0
d2006	6	Audio Cue	ro	1228385	37643	1			0		other	0
d2006	6	Audio Cue	ki	1230886	40144	1			0		other	0
d2006	6	Audio Cue	se	1233386	42644	1			0		other	0
d2006	6	Audio Cue	nu	1235886	45144	1			0		other	0
d2006	6	Response	1	1237121	46379	1
d2006	6	Audio Cue	ga	1238386	47644	1			0		other	0
d2006	6	Audio Cue	di	1240886	50144	1			0		other	0
d2006	6	Audio Cue	mi	1243386	52644	1			0		other	0
d2006	6	Audio Cue	po	1245886	55144	1			0		other	0
d2006	6	Audio Cue	la	1248387	57645	1			0		other	0
d2006	6	Audio Cue	ro	1250886	60144	1			0		other	0
d2006	6	Audio Cue	ki	1253386	62645	1			0		other	0
d2006	6	Audio Cue	se	1255887	65145	1			0		other	0
d2006	6	Audio Cue	mi	1258387	67645	1			0		other	0
d2006	6	Response	1	1259361	68619	1
d2006	6	Audio Cue	po	1260886	70145	1			0		other	0
d2006	6	Audio Cue	la	1263387	72645	1			0		other	0
d2006	6	Audio Cue	nu	1265888	75146	1			0		other	0
d2006	6	Audio Cue	ga	1268388	77646	1			0		other	0
d2006	6	Audio Cue	di	1270889	80147	1			0		other	0
d2006	6	Audio Cue	ro	1273388	82646	1			0		other	0
d2006	6	Audio Cue	ki	1275888	85146	1			0		other	0
d2006	6	Audio Cue	se	1278388	87646	1			0		other	0
d2006	6	Audio Cue	nu	1280889	90147	1			0		other	0
d2006	6	Response	1	1281282	90540	1
d2006	6	Audio Cue	ga	1283388	92646	1			0		other	0
d2006	6	Audio Cue	di	1285887	95146	1			0		other	0
d2006	6	Audio Cue	ro	1288387	97646	1			0		other	0
d2006	6	Audio Cue	ki	1290888	100146	1			0		other	0
d2006	6	Audio Cue	se	1293389	102647	1			0		other	0
d2006	6	Audio Cue	za	1295888	105146	1			0		other	0
d2006	6	Response	1	1296721	105979	1
d2006	6	Audio Cue	be	1298388	107646	1			0		other	0
d2006	6	Audio Cue	tu	1300888	110146	1			0		other	0
d2006	6	Audio Cue	mi	1303388	112646	1			0		other	0
d2006	6	Audio Cue	po	1305888	115146	1			0		other	0
d2006	6	Audio Cue	la	1308389	117647	1			0		other	0
d2006	6	Audio Cue	ro	1310889	120147	1			0		other	0
d2006	6	Audio Cue	ki	1313388	122646	1			0		other	0
d2006	6	Audio Cue	se	1315888	125146	1			0		other	0
d2006	6	Audio Cue	za	1318389	127647	1			0		other	0
