Scenario - _RPSL_incidental
Logfile written - 10/03/2019 13:47:51

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

d2006	1	Picture	instruct	333	0	1	28002	1	0	next	other	0
d2006	1	Response	1	28114	27781	1
d2006	2	Sound	po	63338	35003	1			35000		other	0
d2006	3	Audio Cue	za	66150	147	1			0		other	0
d2006	3	Sound	cue_linfade_exp_seq_A_04.wav	66150	147	1			0		hit	11
d2006	3	Audio Cue	be	68650	2646	1			0		other	0
d2006	3	Audio Cue	tu	71149	5145	1			0		other	0
d2006	3	Audio Cue	ro	73650	7646	1			0		other	0
d2006	3	Audio Cue	ki	76150	10147	1			0		other	0
d2006	3	Audio Cue	se	78650	12647	1			0		other	0
d2006	3	Response	1	80354	14350	1
d2006	3	Audio Cue	mi	81150	15147	1			0		other	0
d2006	3	Audio Cue	po	83650	17646	1			0		other	0
d2006	3	Audio Cue	la	86150	20147	1			0		other	0
d2006	3	Response	1	88193	22190	1
d2006	3	Audio Cue	ro	88651	22647	1			0		other	0
d2006	3	Audio Cue	ki	91151	25148	1			0		other	0
d2006	3	Audio Cue	se	93651	27648	1			0		other	0
d2006	3	Audio Cue	nu	96150	30147	1			0		other	0
d2006	3	Audio Cue	ga	98651	32647	1			0		other	0
d2006	3	Audio Cue	di	101151	35147	1			0		other	0
d2006	3	Audio Cue	ro	103652	37648	1			0		other	0
d2006	3	Audio Cue	ki	106151	40148	1			0		other	0
d2006	3	Response	1	107634	41630	1
d2006	3	Audio Cue	se	108651	42647	1			0		other	0
d2006	3	Audio Cue	za	111151	45147	1			0		other	0
d2006	3	Audio Cue	be	113651	47647	1			0		other	0
d2006	3	Audio Cue	tu	116151	50148	1			0		other	0
d2006	3	Audio Cue	mi	118651	52647	1			0		other	0
d2006	3	Audio Cue	po	121151	55148	1			0		other	0
d2006	3	Audio Cue	la	123652	57648	1			0		other	0
d2006	3	Response	1	124354	58350	1
d2006	3	Audio Cue	nu	126151	60148	1			0		other	0
d2006	3	Audio Cue	ga	128651	62648	1			0		other	0
d2006	3	Audio Cue	di	131152	65148	1			0		other	0
d2006	3	Audio Cue	mi	133652	67648	1			0		other	0
d2006	3	Audio Cue	po	136152	70148	1			0		other	0
d2006	3	Audio Cue	la	138651	72648	1			0		other	0
d2006	3	Response	1	139073	73069	1
d2006	3	Audio Cue	ro	141152	75148	1			0		other	0
d2006	3	Audio Cue	ki	143652	77648	1			0		other	0
d2006	3	Audio Cue	se	146152	80148	1			0		other	0
d2006	3	Audio Cue	nu	148652	82648	1			0		other	0
d2006	3	Audio Cue	ga	151152	85149	1			0		other	0
d2006	3	Audio Cue	di	153653	87649	1			0		other	0
