Scenario - _RPSL_incidental
Logfile written - 09/26/2019 15:33:25

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

f1001	1	Picture	instruct	166	0	1	649208	2	0	next	other	0
f1001	1	Response	1	647664	647498	0
f1001	2	Sound	ga	684355	34981	1			35000		other	0
f1001	3	Audio Cue	nu	688760	1717	1			0		other	0
f1001	3	Sound	cue_linfade_exp_seq_A_23.wav	688760	1717	1			0		hit	20
f1001	3	Audio Cue	ga	691260	4217	1			0		other	0
f1001	3	Audio Cue	di	693761	6718	1			0		other	0
f1001	3	Audio Cue	za	696261	9217	1			0		other	0
f1001	3	Audio Cue	be	698761	11718	1			0		other	0
f1001	3	Audio Cue	tu	701261	14218	1			0		other	0
f1001	3	Audio Cue	ro	703761	16717	1			0		other	0
f1001	3	Audio Cue	ki	706260	19217	1			0		other	0
f1001	3	Audio Cue	se	708761	21718	1			0		other	0
f1001	3	Audio Cue	za	711261	24218	1			0		other	0
f1001	3	Audio Cue	be	713761	26718	1			0		other	0
f1001	3	Audio Cue	tu	716261	29218	1			0		other	0
f1001	3	Audio Cue	nu	718761	31718	1			0		other	0
f1001	3	Audio Cue	ga	721261	34218	1			0		other	0
f1001	3	Audio Cue	di	723761	36718	1			0		other	0
f1001	3	Response	1	725183	38140	0
f1001	3	Audio Cue	ro	726261	39218	1			0		other	0
f1001	3	Audio Cue	ki	728762	41718	1			0		other	0
f1001	3	Audio Cue	se	731262	44218	1			0		other	0
f1001	3	Audio Cue	nu	733761	46718	1			0		other	0
f1001	3	Audio Cue	ga	736261	49218	1			0		other	0
f1001	3	Audio Cue	di	738761	51718	1			0		other	0
f1001	3	Response	1	740543	53500	0
f1001	3	Audio Cue	ro	741262	54219	1			0		other	0
f1001	3	Audio Cue	ki	743762	56719	1			0		other	0
f1001	3	Audio Cue	se	746261	59218	1			0		other	0
f1001	3	Audio Cue	nu	748762	61718	1			0		other	0
f1001	3	Audio Cue	ga	751262	64219	1			0		other	0
f1001	3	Audio Cue	di	753762	66719	1			0		other	0
f1001	3	Response	1	754863	67820	0
f1001	3	Audio Cue	za	756262	69219	1			0		other	0
f1001	3	Audio Cue	be	758762	71719	1			0		other	0
f1001	3	Audio Cue	tu	761262	74219	1			0		other	0
f1001	3	Audio Cue	mi	763763	76720	1			0		other	0
f1001	3	Audio Cue	po	766262	79219	1			0		other	0
f1001	3	Audio Cue	la	768762	81719	1			0		other	0
f1001	3	Audio Cue	za	771263	84220	1			0		other	0
f1001	3	Audio Cue	be	773763	86720	1			0		other	0
f1001	3	Audio Cue	tu	776263	89219	1			0		other	0
f1001	3	Audio Cue	mi	778763	91720	1			0		other	0
f1001	3	Audio Cue	po	781264	94220	1			0		other	0
f1001	3	Audio Cue	la	783763	96719	1			0		other	0
f1001	3	Audio Cue	ro	786263	99220	1			0		other	0
f1001	3	Response	1	788383	101340	0
f1001	3	Audio Cue	ki	788763	101720	1			0		other	0
f1001	3	Audio Cue	se	791263	104220	1			0		other	0
f1001	3	Audio Cue	mi	793764	106720	1			0		other	0
f1001	3	Audio Cue	po	796263	109220	1			0		other	0
f1001	3	Audio Cue	la	798763	111720	1			0		other	0
f1001	3	Audio Cue	nu	801263	114220	1			0		other	0
f1001	3	Audio Cue	ga	803763	116720	1			0		other	0
f1001	3	Audio Cue	di	806263	119220	1			0		other	0
f1001	3	Audio Cue	mi	808763	121720	1			0		other	0
f1001	3	Response	1	809423	122380	0
f1001	3	Audio Cue	po	811264	124221	1			0		other	0
f1001	3	Audio Cue	la	813764	126720	1			0		other	0
f1001	3	Audio Cue	ro	816264	129220	1			0		other	0
f1001	3	Audio Cue	ki	818764	131721	1			0		other	0
f1001	3	Audio Cue	se	821264	134221	1			0		other	0
f1001	3	Audio Cue	za	823764	136721	1			0		other	0
f1001	3	Audio Cue	be	826265	139221	1			0		other	0
f1001	3	Audio Cue	tu	828765	141721	1			0		other	0
f1001	3	Audio Cue	mi	831264	144221	1			0		other	0
f1001	3	Audio Cue	po	833764	146721	1			0		other	0
f1001	3	Audio Cue	la	836265	149221	1			0		other	0
f1001	3	Audio Cue	za	838765	151721	1			0		other	0
f1001	3	Audio Cue	be	841265	154221	1			0		other	0
f1001	3	Audio Cue	tu	843765	156722	1			0		other	0
f1001	3	Audio Cue	ro	846265	159222	1			0		other	0
f1001	3	Audio Cue	ki	848764	161721	1			0		other	0
f1001	3	Audio Cue	se	851265	164221	1			0		other	0
f1001	3	Audio Cue	nu	853765	166722	1			0		other	0
f1001	3	Audio Cue	ga	856265	169222	1			0		other	0
f1001	3	Audio Cue	di	858765	171722	1			0		other	0
f1001	3	Response	1	860623	173580	0
f1001	3	Audio Cue	mi	861265	174222	1			0		other	0
f1001	3	Audio Cue	po	863765	176722	1			0		other	0
f1001	3	Audio Cue	la	866265	179222	1			0		other	0
f1001	3	Audio Cue	za	868765	181722	1			0		other	0
f1001	3	Audio Cue	be	871265	184222	1			0		other	0
f1001	3	Audio Cue	tu	873766	186723	1			0		other	0
f1001	3	Audio Cue	ro	876266	189223	1			0		other	0
f1001	3	Audio Cue	ki	878765	191722	1			0		other	0
f1001	3	Audio Cue	se	881266	194222	1			0		other	0
f1001	3	Audio Cue	mi	883765	196722	1			0		other	0
f1001	3	Audio Cue	po	886266	199222	1			0		other	0
f1001	3	Audio Cue	la	888766	201723	1			0		other	0
f1001	3	Audio Cue	za	891266	204223	1			0		other	0
f1001	3	Audio Cue	be	893766	206723	1			0		other	0
f1001	3	Audio Cue	tu	896266	209223	1			0		other	0
f1001	3	Audio Cue	nu	898765	211722	1			0		other	0
f1001	3	Audio Cue	ga	901265	214222	1			0		other	0
f1001	3	Audio Cue	di	903766	216723	1			0		other	0
f1001	3	Response	1	906143	219100	0
f1001	3	Audio Cue	za	906266	219223	1			0		other	0
f1001	3	Audio Cue	be	908767	221724	1			0		other	0
f1001	3	Audio Cue	tu	911267	224224	1			0		other	0
f1001	3	Audio Cue	nu	913766	226723	1			0		other	0
f1001	3	Audio Cue	ga	916266	229223	1			0		other	0
f1001	3	Audio Cue	di	918767	231724	1			0		other	0
f1001	3	Audio Cue	mi	921267	234224	1			0		other	0
f1001	3	Audio Cue	po	923767	236724	1			0		other	0
f1001	3	Response	1	924623	237580	0
f1001	3	Audio Cue	la	926267	239224	1			0		other	0
f1001	3	Audio Cue	ro	928767	241723	1			0		other	0
f1001	3	Audio Cue	ki	931266	244223	1			0		other	0
f1001	3	Audio Cue	se	933767	246724	1			0		other	0
f1001	3	Audio Cue	mi	936267	249224	1			0		other	0
f1001	3	Audio Cue	po	938768	251724	1			0		other	0
f1001	3	Audio Cue	la	941268	254224	1			0		other	0
f1001	3	Audio Cue	ro	943768	256725	1			0		other	0
f1001	3	Audio Cue	ki	946267	259224	1			0		other	0
f1001	3	Audio Cue	se	948766	261723	1			0		other	0
f1001	3	Audio Cue	nu	951267	264224	1			0		other	0
f1001	3	Audio Cue	ga	953768	266725	1			0		other	0
f1001	3	Audio Cue	di	956268	269225	1			0		other	0
f1001	3	Response	1	957583	270540	0
f1001	3	Audio Cue	ro	958768	271725	1			0		other	0
f1001	3	Audio Cue	ki	961268	274225	1			0		other	0
f1001	3	Audio Cue	se	963768	276725	1			0		other	0
f1001	3	Audio Cue	mi	966268	279224	1			0		other	0
f1001	3	Audio Cue	po	968768	281725	1			0		other	0
f1001	3	Audio Cue	la	971269	284225	1			0		other	0
f1001	3	Audio Cue	nu	973769	286726	1			0		other	0
f1001	3	Audio Cue	ga	976268	289225	1			0		other	0
f1001	3	Audio Cue	di	978768	291724	1			0		other	0
f1001	3	Audio Cue	za	981268	294225	1			0		other	0
f1001	3	Response	1	982383	295340	0
f1001	3	Audio Cue	be	983769	296726	1			0		other	0
f1001	3	Audio Cue	tu	986269	299226	1			0		other	0
f1001	3	Audio Cue	nu	988768	301725	1			0		other	0
f1001	3	Audio Cue	ga	991268	304225	1			0		other	0
f1001	3	Audio Cue	di	993768	306725	1			0		other	0
f1001	3	Audio Cue	mi	996269	309226	1			0		other	0
f1001	3	Response	1	997583	310540	0
f1001	3	Audio Cue	po	998769	311726	1			0		other	0
f1001	3	Audio Cue	la	1001269	314226	1			0		other	0
f1001	3	Audio Cue	za	1003769	316726	1			0		other	0
f1001	3	Audio Cue	be	1006269	319226	1			0		other	0
f1001	3	Audio Cue	tu	1008769	321726	1			0		other	0
f1001	3	Audio Cue	ro	1011270	324227	1			0		other	0
f1001	3	Audio Cue	ki	1013770	326726	1			0		other	0
f1001	3	Audio Cue	se	1016269	329226	1			0		other	0
f1001	3	Audio Cue	nu	1018769	331726	1			0		other	0
f1001	3	Audio Cue	ga	1021269	334226	1			0		other	0
f1001	3	Audio Cue	di	1023769	336726	1			0		other	0
f1001	3	Audio Cue	mi	1026270	339226	1			0		other	0
f1001	3	Response	1	1027344	340301	0
f1001	3	Audio Cue	po	1028770	341727	1			0		other	0
f1001	3	Audio Cue	la	1031270	344226	1			0		other	0
f1001	3	Audio Cue	ro	1033770	346727	1			0		other	0
f1001	3	Audio Cue	ki	1036270	349227	1			0		other	0
f1001	3	Audio Cue	se	1038771	351727	1			0		other	0
f1001	3	Audio Cue	mi	1041270	354227	1			0		other	0
f1001	3	Audio Cue	po	1043769	356726	1			0		other	0
f1001	3	Audio Cue	la	1046270	359227	1			0		other	0
f1001	3	Audio Cue	za	1048770	361727	1			0		other	0
f1001	3	Audio Cue	be	1051271	364228	1			0		other	0
f1001	3	Audio Cue	tu	1053771	366728	1			0		other	0
f1001	3	Audio Cue	nu	1056270	369227	1			0		other	0
f1001	3	Audio Cue	ga	1058771	371728	1			0		other	0
f1001	3	Audio Cue	di	1061271	374228	1			0		other	0
f1001	3	Audio Cue	za	1063771	376727	1			0		other	0
f1001	3	Response	1	1064704	377661	0
f1001	3	Audio Cue	be	1066270	379227	1			0		other	0
f1001	3	Audio Cue	tu	1068771	381728	1			0		other	0
