#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/26/2019 15:33:51
#Subject: f1001
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_17.wav	tempo_seq_rand_17.wav	1200	400	3	328.525000000001
1	2	2	tempo_seq_rand_35.wav	tempo_seq_A_22.wav	1200	400	3	255.962
1	3	2	tempo_seq_rand_41.wav	tempo_seq_A_12.wav	1200	400	2	263.381000000001
1	4	1	tempo_seq_A_06.wav	tempo_seq_rand_42.wav	1200	400	2	294.788
1	5	1	tempo_seq_A_11.wav	tempo_seq_rand_32.wav	1200	400	3	262.226999999999
1	6	2	tempo_seq_rand_01.wav	tempo_seq_A_16.wav	1200	400	2	325.006000000009
1	7	1	tempo_seq_A_05.wav	tempo_seq_rand_24.wav	1200	400	2	261.111999999994
1	8	1	tempo_seq_A_09.wav	tempo_seq_rand_21.wav	1200	400	2	316.554999999993
1	9	1	tempo_seq_A_01.wav	tempo_seq_rand_06.wav	1200	400	2	259.995999999999
1	10	2	tempo_seq_rand_14.wav	tempo_seq_A_01.wav	1200	400	3	387.375
1	11	2	tempo_seq_rand_25.wav	tempo_seq_A_03.wav	1200	400	2	278.797999999995
1	12	2	tempo_seq_rand_28.wav	tempo_seq_A_19.wav	1200	400	3	278.330000000002
2	13	1	tempo_seq_A_12.wav	tempo_seq_rand_04.wav	1200	400	2	261.555999999982
2	14	2	tempo_seq_rand_15.wav	tempo_seq_A_10.wav	1200	400	2	453.006000000023
2	15	1	tempo_seq_A_03.wav	tempo_seq_rand_02.wav	1200	400	2	356.410000000003
2	16	1	tempo_seq_A_22.wav	tempo_seq_rand_48.wav	1200	400	3	311.822999999975
2	17	2	tempo_seq_rand_13.wav	tempo_seq_A_09.wav	1200	400	3	311.277999999991
2	18	2	tempo_seq_rand_45.wav	tempo_seq_A_05.wav	1200	400	3	366.749000000011
2	19	1	tempo_seq_A_07.wav	tempo_seq_rand_19.wav	1200	400	3	258.125
2	20	2	tempo_seq_rand_38.wav	tempo_seq_A_24.wav	1200	400	3	297.573000000004
2	21	2	tempo_seq_rand_36.wav	tempo_seq_A_08.wav	1200	400	3	289.035000000003
2	22	2	tempo_seq_rand_43.wav	tempo_seq_A_23.wav	1200	400	3	304.460000000021
2	23	1	tempo_seq_A_13.wav	tempo_seq_rand_31.wav	1200	400	2	231.885999999999
2	24	1	tempo_seq_A_20.wav	tempo_seq_rand_08.wav	1200	400	2	307.312000000005
3	25	1	tempo_seq_A_15.wav	tempo_seq_rand_27.wav	1200	400	2	246.663
3	26	2	tempo_seq_rand_20.wav	tempo_seq_A_07.wav	1200	400	3	302.073000000033
3	27	1	tempo_seq_A_08.wav	tempo_seq_rand_12.wav	1200	400	2	261.495999999985
3	28	2	tempo_seq_rand_26.wav	tempo_seq_A_20.wav	1200	400	3	253.621999999974
3	29	1	tempo_seq_A_10.wav	tempo_seq_rand_23.wav	1200	400	2	297.092999999993
3	30	2	tempo_seq_rand_34.wav	tempo_seq_A_02.wav	1200	400	3	336.481000000029
3	31	1	tempo_seq_A_16.wav	tempo_seq_rand_16.wav	1200	400	3	295.916000000027
3	32	1	tempo_seq_A_23.wav	tempo_seq_rand_39.wav	1200	400	2	391.390000000014
3	33	2	tempo_seq_rand_07.wav	tempo_seq_A_15.wav	1200	400	3	538.782999999996
3	34	1	tempo_seq_A_24.wav	tempo_seq_rand_37.wav	1200	400	2	282.206000000006
3	35	2	tempo_seq_rand_47.wav	tempo_seq_A_18.wav	1200	400	3	249.628999999957
3	36	2	tempo_seq_rand_29.wav	tempo_seq_A_13.wav	1200	400	3	289.070999999996
4	37	2	tempo_seq_rand_11.wav	tempo_seq_A_04.wav	1200	400	2	348.434999999998
4	38	1	tempo_seq_A_14.wav	tempo_seq_rand_44.wav	1200	400	3	247.826000000001
4	39	1	tempo_seq_A_21.wav	tempo_seq_rand_22.wav	1200	400	2	327.264000000025
4	40	1	tempo_seq_A_02.wav	tempo_seq_rand_33.wav	1200	400	3	486.718999999983
4	41	1	tempo_seq_A_04.wav	tempo_seq_rand_30.wav	1200	400	3	254.159000000043
4	42	2	tempo_seq_rand_05.wav	tempo_seq_A_06.wav	1200	400	2	925.582999999984
4	43	1	tempo_seq_A_18.wav	tempo_seq_rand_09.wav	1200	400	2	364.983999999997
4	44	2	tempo_seq_rand_03.wav	tempo_seq_A_21.wav	1200	400	3	304.426999999967
4	45	2	tempo_seq_rand_40.wav	tempo_seq_A_11.wav	1200	400	2	271.814000000013
4	46	2	tempo_seq_rand_18.wav	tempo_seq_A_17.wav	1200	400	2	231.282000000007
4	47	1	tempo_seq_A_19.wav	tempo_seq_rand_10.wav	1200	400	3	290.679999999993
4	48	2	tempo_seq_rand_46.wav	tempo_seq_A_14.wav	1200	400	3	306.111000000034
