Scenario - _RPSL_incidental
Logfile written - 10/11/2019 12:44:53
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

f1903	1	Picture	instruct	333	0	1	787883	1	0	next	other	0
f1903	1	Response	1	787094	786761	0
f1903	2	Sound	ro	823215	34999	1			35000		other	0
f1903	3	Audio Cue	be	826073	188	1			0		other	0
f1903	3	Sound	cue_linfade_exp_seq_A_01.wav	826073	188	1			0		hit	22
f1903	3	Audio Cue	tu	828572	2688	1			0		other	0
f1903	3	Audio Cue	nu	831072	5188	1			0		other	0
f1903	3	Audio Cue	ga	833572	7687	1			0		other	0
f1903	3	Audio Cue	di	836072	10188	1			0		other	0
f1903	3	Audio Cue	mi	838573	12689	1			0		other	0
f1903	3	Audio Cue	po	841072	15188	1			0		other	0
f1903	3	Audio Cue	la	843572	17688	1			0		other	0
f1903	3	Audio Cue	nu	846072	20188	1			0		other	0
f1903	3	Audio Cue	ga	848572	22688	1			0		other	0
f1903	3	Audio Cue	di	851073	25188	1			0		other	0
f1903	3	Audio Cue	za	853573	27688	1			0		other	0
f1903	3	Audio Cue	be	856073	30188	1			0		other	0
f1903	3	Audio Cue	tu	858573	32689	1			0		other	0
f1903	3	Audio Cue	ro	861073	35188	1			0		other	0
f1903	3	Audio Cue	ki	863573	37688	1			0		other	0
f1903	3	Audio Cue	se	866073	40188	1			0		other	0
f1903	3	Response	1	866214	40330	1
f1903	3	Audio Cue	za	868573	42689	1			0		other	0
f1903	3	Audio Cue	be	871074	45189	1			0		other	0
f1903	3	Audio Cue	tu	873574	47689	1			0		other	0
f1903	3	Audio Cue	mi	876074	50189	1			0		other	0
f1903	3	Audio Cue	po	878574	52689	1			0		other	0
f1903	3	Audio Cue	la	881073	55189	1			0		other	0
f1903	3	Audio Cue	nu	883573	57689	1			0		other	0
f1903	3	Audio Cue	ga	886074	60189	1			0		other	0
f1903	3	Audio Cue	di	888574	62689	1			0		other	0
f1903	3	Audio Cue	mi	891075	65191	1			0		other	0
f1903	3	Audio Cue	po	893574	67689	1			0		other	0
f1903	3	Audio Cue	la	896074	70190	1			0		other	0
f1903	3	Audio Cue	nu	898574	72690	1			0		other	0
f1903	3	Audio Cue	ga	901074	75189	1			0		other	0
f1903	3	Audio Cue	di	903574	77690	1			0		other	0
f1903	3	Audio Cue	za	906074	80190	1			0		other	0
f1903	3	Audio Cue	be	908575	82690	1			0		other	0
f1903	3	Audio Cue	tu	911074	85189	1			0		other	0
f1903	3	Audio Cue	mi	913575	87690	1			0		other	0
f1903	3	Audio Cue	po	916075	90190	1			0		other	0
f1903	3	Audio Cue	la	918575	92691	1			0		other	0
f1903	3	Audio Cue	nu	921075	95191	1			0		other	0
f1903	3	Audio Cue	ga	923575	97691	1			0		other	0
f1903	3	Audio Cue	di	926075	100191	1			0		other	0
f1903	3	Audio Cue	ro	928576	102692	1			0		other	0
f1903	3	Audio Cue	ki	931074	105190	1			0		other	0
f1903	3	Audio Cue	se	933575	107690	1			0		other	0
f1903	3	Response	1	934134	108250	0
f1903	3	Audio Cue	nu	936076	110192	1			0		other	0
f1903	3	Audio Cue	ga	938577	112692	1			0		other	0
f1903	3	Audio Cue	di	941075	115190	1			0		other	0
f1903	3	Audio Cue	ro	943575	117691	1			0		other	0
f1903	3	Audio Cue	ki	946076	120191	1			0		other	0
f1903	3	Response	1	948454	122570	0
f1903	3	Audio Cue	se	948576	122691	1			0		other	0
f1903	3	Audio Cue	nu	951076	125192	1			0		other	0
f1903	3	Audio Cue	ga	953575	127691	1			0		other	0
f1903	3	Audio Cue	di	956076	130191	1			0		other	0
f1903	3	Audio Cue	za	958575	132691	1			0		other	0
f1903	3	Audio Cue	be	961075	135191	1			0		other	0
f1903	3	Audio Cue	tu	963575	137691	1			0		other	0
f1903	3	Audio Cue	nu	966076	140192	1			0		other	0
f1903	3	Audio Cue	ga	968577	142692	1			0		other	0
f1903	3	Audio Cue	di	971076	145192	1			0		other	0
f1903	3	Audio Cue	mi	973576	147692	1			0		other	0
f1903	3	Audio Cue	po	976076	150191	1			0		other	0
f1903	3	Audio Cue	la	978576	152692	1			0		other	0
f1903	3	Audio Cue	ro	981077	155193	1			0		other	0
f1903	3	Audio Cue	ki	983577	157692	1			0		other	0
f1903	3	Response	1	984854	158970	0
f1903	3	Audio Cue	se	986077	160192	1			0		other	0
f1903	3	Audio Cue	mi	988577	162693	1			0		other	0
f1903	3	Audio Cue	po	991076	165192	1			0		other	0
f1903	3	Audio Cue	la	993577	167692	1			0		other	0
f1903	3	Audio Cue	ro	996077	170193	1			0		other	0
f1903	3	Audio Cue	ki	998577	172693	1			0		other	0
f1903	3	Response	1	1000934	175050	0
f1903	3	Audio Cue	se	1001077	175192	1			0		other	0
f1903	3	Audio Cue	za	1003577	177693	1			0		other	0
f1903	3	Audio Cue	be	1006077	180193	1			0		other	0
f1903	3	Audio Cue	tu	1008577	182693	1			0		other	0
f1903	3	Audio Cue	mi	1011077	185193	1			0		other	0
f1903	3	Audio Cue	po	1013578	187694	1			0		other	0
f1903	3	Audio Cue	la	1016079	190194	1			0		other	0
f1903	3	Audio Cue	za	1018577	192693	1			0		other	0
f1903	3	Response	1	1020374	194490	0
f1903	3	Audio Cue	be	1021078	195193	1			0		other	0
f1903	3	Audio Cue	tu	1023578	197694	1			0		other	0
f1903	3	Audio Cue	nu	1026078	200194	1			0		other	0
f1903	3	Audio Cue	ga	1028578	202694	1			0		other	0
f1903	3	Audio Cue	di	1031078	205194	1			0		other	0
f1903	3	Audio Cue	ro	1033578	207694	1			0		other	0
f1903	3	Audio Cue	ki	1036078	210193	1			0		other	0
f1903	3	Audio Cue	se	1038578	212694	1			0		other	0
f1903	3	Response	1	1039574	213690	0
f1903	3	Audio Cue	mi	1041079	215194	1			0		other	0
f1903	3	Audio Cue	po	1043579	217695	1			0		other	0
f1903	3	Audio Cue	la	1046078	220194	1			0		other	0
f1903	3	Audio Cue	za	1048578	222693	1			0		other	0
f1903	3	Audio Cue	be	1051078	225194	1			0		other	0
f1903	3	Audio Cue	tu	1053579	227694	1			0		other	0
f1903	3	Audio Cue	ro	1056079	230195	1			0		other	0
f1903	3	Audio Cue	ki	1058578	232694	1			0		other	0
f1903	3	Audio Cue	se	1061079	235195	1			0		other	0
f1903	3	Response	1	1061495	235610	0
f1903	3	Audio Cue	mi	1063579	237695	1			0		other	0
f1903	3	Audio Cue	po	1066079	240194	1			0		other	0
f1903	3	Audio Cue	la	1068579	242695	1			0		other	0
f1903	3	Audio Cue	ro	1071079	245195	1			0		other	0
f1903	3	Audio Cue	ki	1073579	247695	1			0		other	0
f1903	3	Response	1	1075414	249530	0
f1903	3	Audio Cue	se	1076079	250194	1			0		other	0
f1903	3	Audio Cue	za	1078580	252695	1			0		other	0
f1903	3	Audio Cue	be	1081080	255195	1			0		other	0
f1903	3	Audio Cue	tu	1083580	257696	1			0		other	0
f1903	3	Audio Cue	ro	1086080	260195	1			0		other	0
f1903	3	Audio Cue	ki	1088579	262694	1			0		other	0
f1903	3	Response	1	1090694	264810	0
f1903	3	Audio Cue	se	1091079	265195	1			0		other	0
f1903	3	Audio Cue	mi	1093580	267695	1			0		other	0
f1903	3	Audio Cue	po	1096080	270196	1			0		other	0
f1903	3	Audio Cue	la	1098582	272697	1			0		other	0
