#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/11/2019 12:10:31
#Subject: f1903
#Sex: F
#Age: 31
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_03.wav	tempo_seq_A_06.wav	1200	400	2	705.260999999999
1	2	2	tempo_seq_rand_48.wav	tempo_seq_A_01.wav	1200	400	3	387.244000000006
1	3	1	tempo_seq_A_01.wav	tempo_seq_rand_22.wav	1200	400	3	292.061000000002
1	4	2	tempo_seq_rand_05.wav	tempo_seq_A_19.wav	1200	400	3	527.524000000005
1	5	1	tempo_seq_A_17.wav	tempo_seq_rand_38.wav	1200	400	3	282.269
1	6	1	tempo_seq_A_22.wav	tempo_seq_rand_06.wav	1200	400	2	686.396999999997
1	7	1	tempo_seq_A_07.wav	tempo_seq_rand_46.wav	1200	400	3	497.843999999997
1	8	2	tempo_seq_rand_36.wav	tempo_seq_A_23.wav	1200	400	3	581.274000000005
1	9	1	tempo_seq_A_15.wav	tempo_seq_rand_45.wav	1200	400	2	190.051999999996
1	10	2	tempo_seq_rand_13.wav	tempo_seq_A_11.wav	1200	400	2	229.486999999994
1	11	2	tempo_seq_rand_12.wav	tempo_seq_A_24.wav	1200	400	2	123.579999999987
1	12	1	tempo_seq_A_18.wav	tempo_seq_rand_40.wav	1200	400	2	270.372999999992
2	13	1	tempo_seq_A_21.wav	tempo_seq_rand_18.wav	1200	400	2	259.467999999993
2	14	2	tempo_seq_rand_02.wav	tempo_seq_A_13.wav	1200	400	2	376.964000000007
2	15	1	tempo_seq_A_10.wav	tempo_seq_rand_33.wav	1200	400	3	602.387000000017
2	16	1	tempo_seq_A_16.wav	tempo_seq_rand_09.wav	1200	400	2	465.847999999998
2	17	1	tempo_seq_A_03.wav	tempo_seq_rand_20.wav	1200	400	2	639.222000000009
2	18	2	tempo_seq_rand_28.wav	tempo_seq_A_02.wav	1200	400	2	476.643000000011
2	19	1	tempo_seq_A_14.wav	tempo_seq_rand_19.wav	1200	400	3	553.468000000023
2	20	2	tempo_seq_rand_43.wav	tempo_seq_A_12.wav	1200	400	3	554.881000000023
2	21	1	tempo_seq_A_12.wav	tempo_seq_rand_24.wav	1200	400	2	572.357000000018
2	22	2	tempo_seq_rand_47.wav	tempo_seq_A_03.wav	1200	400	3	469.773999999976
2	23	2	tempo_seq_rand_31.wav	tempo_seq_A_08.wav	1200	400	3	459.20199999999
2	24	2	tempo_seq_rand_25.wav	tempo_seq_A_09.wav	1200	400	2	384.679999999993
3	25	2	tempo_seq_rand_21.wav	tempo_seq_A_04.wav	1200	400	2	343.233000000007
3	26	1	tempo_seq_A_06.wav	tempo_seq_rand_29.wav	1200	400	3	297.29800000001
3	27	1	tempo_seq_A_13.wav	tempo_seq_rand_27.wav	1200	400	3	454.133000000031
3	28	2	tempo_seq_rand_42.wav	tempo_seq_A_05.wav	1200	400	2	459.521000000008
3	29	1	tempo_seq_A_24.wav	tempo_seq_rand_04.wav	1200	400	3	425.642999999982
3	30	2	tempo_seq_rand_35.wav	tempo_seq_A_22.wav	1200	400	2	248.465999999957
3	31	1	tempo_seq_A_20.wav	tempo_seq_rand_41.wav	1200	400	3	942.554999999993
3	32	2	tempo_seq_rand_14.wav	tempo_seq_A_17.wav	1200	400	2	241.375
3	33	1	tempo_seq_A_11.wav	tempo_seq_rand_44.wav	1200	400	2	232.828999999969
3	34	2	tempo_seq_rand_23.wav	tempo_seq_A_14.wav	1200	400	2	1144.22599999997
3	35	1	tempo_seq_A_05.wav	tempo_seq_rand_08.wav	1200	400	3	242.299000000057
3	36	2	tempo_seq_rand_16.wav	tempo_seq_A_10.wav	1200	400	3	265.106000000029
4	37	1	tempo_seq_A_04.wav	tempo_seq_rand_17.wav	1200	400	2	370.409000000043
4	38	1	tempo_seq_A_19.wav	tempo_seq_rand_39.wav	1200	400	2	123.844000000041
4	39	1	tempo_seq_A_08.wav	tempo_seq_rand_15.wav	1200	400	2	471.337
4	40	2	tempo_seq_rand_34.wav	tempo_seq_A_07.wav	1200	400	3	292.782000000007
4	41	1	tempo_seq_A_09.wav	tempo_seq_rand_37.wav	1200	400	2	226.20299999998
4	42	1	tempo_seq_A_23.wav	tempo_seq_rand_10.wav	1200	400	2	313.678999999946
4	43	2	tempo_seq_rand_32.wav	tempo_seq_A_21.wav	1200	400	3	221.163
4	44	2	tempo_seq_rand_30.wav	tempo_seq_A_16.wav	1200	400	3	276.613999999943
4	45	2	tempo_seq_rand_01.wav	tempo_seq_A_18.wav	1200	400	2	841.392000000051
4	46	2	tempo_seq_rand_11.wav	tempo_seq_A_15.wav	1200	400	2	271.462999999989
4	47	1	tempo_seq_A_02.wav	tempo_seq_rand_26.wav	1200	400	3	316.301000000036
4	48	2	tempo_seq_rand_07.wav	tempo_seq_A_20.wav	1200	400	2	319.697999999975
