Scenario - _RPSL_incidental
Logfile written - 10/16/2019 11:39:17
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

G1905	1	Picture	instruct	333	0	1	252182	2	0	next	other	0
G1905	1	Response	1	252014	251682	0
G1905	2	Sound	ro	287514	34999	1			35000		other	0
G1905	3	Audio Cue	be	290357	173	1			0		other	0
G1905	3	Sound	cue_linfade_exp_seq_A_01.wav	290357	173	1			0		hit	8
G1905	3	Audio Cue	tu	292857	2673	1			0		other	0
G1905	3	Audio Cue	nu	295357	5173	1			0		other	0
G1905	3	Response	1	297054	6870	0
G1905	3	Audio Cue	ga	297857	7673	1			0		other	0
G1905	3	Audio Cue	di	300358	10174	1			0		other	0
G1905	3	Audio Cue	mi	302857	12673	1			0		other	0
G1905	3	Audio Cue	po	305357	15173	1			0		other	0
G1905	3	Audio Cue	la	307857	17673	1			0		other	0
G1905	3	Audio Cue	nu	310357	20173	1			0		other	0
G1905	3	Audio Cue	ga	312857	22673	1			0		other	0
G1905	3	Audio Cue	di	315357	25173	1			0		other	0
G1905	3	Audio Cue	za	317857	27673	1			0		other	0
G1905	3	Audio Cue	be	320358	30174	1			0		other	0
G1905	3	Audio Cue	tu	322858	32674	1			0		other	0
G1905	3	Audio Cue	ro	325358	35174	1			0		other	0
G1905	3	Audio Cue	ki	327858	37674	1			0		other	0
G1905	3	Audio Cue	se	330358	40174	1			0		other	0
G1905	3	Audio Cue	za	332858	42674	1			0		other	0
G1905	3	Audio Cue	be	335358	45174	1			0		other	0
G1905	3	Audio Cue	tu	337858	47674	1			0		other	0
G1905	3	Audio Cue	mi	340358	50174	1			0		other	0
G1905	3	Audio Cue	po	342859	52675	1			0		other	0
G1905	3	Audio Cue	la	345358	55174	1			0		other	0
G1905	3	Audio Cue	nu	347859	57675	1			0		other	0
G1905	3	Audio Cue	ga	350359	60175	1			0		other	0
G1905	3	Audio Cue	di	352859	62675	1			0		other	0
G1905	3	Audio Cue	mi	355359	65175	1			0		other	0
G1905	3	Audio Cue	po	357859	67675	1			0		other	0
G1905	3	Audio Cue	la	360359	70175	1			0		other	0
G1905	3	Audio Cue	nu	362859	72675	1			0		other	0
G1905	3	Audio Cue	ga	365359	75175	1			0		other	0
G1905	3	Audio Cue	di	367859	77675	1			0		other	0
G1905	3	Audio Cue	za	370359	80175	1			0		other	0
G1905	3	Audio Cue	be	372859	82675	1			0		other	0
G1905	3	Audio Cue	tu	375359	85175	1			0		other	0
G1905	3	Audio Cue	mi	377859	87675	1			0		other	0
G1905	3	Audio Cue	po	380359	90175	1			0		other	0
G1905	3	Audio Cue	la	382860	92676	1			0		other	0
G1905	3	Audio Cue	nu	385359	95175	1			0		other	0
G1905	3	Audio Cue	ga	387860	97676	1			0		other	0
G1905	3	Audio Cue	di	390359	100175	1			0		other	0
G1905	3	Audio Cue	ro	392859	102675	1			0		other	0
G1905	3	Audio Cue	ki	395360	105176	1			0		other	0
G1905	3	Audio Cue	se	397860	107676	1			0		other	0
G1905	3	Response	1	398095	107911	0
G1905	3	Audio Cue	nu	400360	110176	1			0		other	0
G1905	3	Audio Cue	ga	402860	112676	1			0		other	0
G1905	3	Audio Cue	di	405360	115176	1			0		other	0
G1905	3	Audio Cue	ro	407860	117676	1			0		other	0
G1905	3	Audio Cue	ki	410360	120176	1			0		other	0
G1905	3	Audio Cue	se	412860	122676	1			0		other	0
G1905	3	Audio Cue	nu	415360	125176	1			0		other	0
G1905	3	Audio Cue	ga	417860	127676	1			0		other	0
G1905	3	Audio Cue	di	420361	130177	1			0		other	0
G1905	3	Audio Cue	za	422860	132676	1			0		other	0
G1905	3	Audio Cue	be	425361	135177	1			0		other	0
G1905	3	Audio Cue	tu	427861	137677	1			0		other	0
G1905	3	Audio Cue	nu	430361	140177	1			0		other	0
G1905	3	Audio Cue	ga	432861	142677	1			0		other	0
G1905	3	Audio Cue	di	435361	145177	1			0		other	0
G1905	3	Audio Cue	mi	437861	147677	1			0		other	0
G1905	3	Audio Cue	po	440361	150177	1			0		other	0
G1905	3	Audio Cue	la	442861	152678	1			0		other	0
G1905	3	Audio Cue	ro	445361	155177	1			0		other	0
G1905	3	Audio Cue	ki	447861	157677	1			0		other	0
G1905	3	Response	1	449055	158871	0
G1905	3	Audio Cue	se	450361	160177	1			0		other	0
G1905	3	Audio Cue	mi	452861	162677	1			0		other	0
G1905	3	Audio Cue	po	455361	165177	1			0		other	0
G1905	3	Audio Cue	la	457861	167677	1			0		other	0
G1905	3	Audio Cue	ro	460362	170178	1			0		other	0
G1905	3	Audio Cue	ki	462861	172677	1			0		other	0
G1905	3	Response	1	464015	173831	0
G1905	3	Audio Cue	se	465362	175178	1			0		other	0
G1905	3	Audio Cue	za	467862	177678	1			0		other	0
G1905	3	Audio Cue	be	470362	180178	1			0		other	0
G1905	3	Audio Cue	tu	472863	182679	1			0		other	0
G1905	3	Audio Cue	mi	475362	185178	1			0		other	0
G1905	3	Audio Cue	po	477862	187678	1			0		other	0
G1905	3	Audio Cue	la	480362	190178	1			0		other	0
G1905	3	Audio Cue	za	482862	192678	1			0		other	0
G1905	3	Audio Cue	be	485363	195179	1			0		other	0
G1905	3	Audio Cue	tu	487862	197678	1			0		other	0
G1905	3	Audio Cue	nu	490363	200179	1			0		other	0
G1905	3	Audio Cue	ga	492862	202678	1			0		other	0
G1905	3	Audio Cue	di	495362	205178	1			0		other	0
G1905	3	Audio Cue	ro	497862	207678	1			0		other	0
G1905	3	Audio Cue	ki	500363	210179	1			0		other	0
G1905	3	Response	1	502334	212150	0
G1905	3	Audio Cue	se	502863	212679	1			0		other	0
G1905	3	Audio Cue	mi	505362	215178	1			0		other	0
G1905	3	Audio Cue	po	507862	217678	1			0		other	0
G1905	3	Audio Cue	la	510363	220179	1			0		other	0
G1905	3	Audio Cue	za	512862	222678	1			0		other	0
G1905	3	Audio Cue	be	515364	225180	1			0		other	0
G1905	3	Audio Cue	tu	517863	227679	1			0		other	0
G1905	3	Audio Cue	ro	520364	230180	1			0		other	0
G1905	3	Audio Cue	ki	522863	232679	1			0		other	0
G1905	3	Response	1	523854	233670	0
G1905	3	Audio Cue	se	525364	235180	1			0		other	0
G1905	3	Audio Cue	mi	527864	237680	1			0		other	0
G1905	3	Audio Cue	po	530364	240180	1			0		other	0
G1905	3	Audio Cue	la	532864	242680	1			0		other	0
G1905	3	Audio Cue	ro	535363	245180	1			0		other	0
G1905	3	Audio Cue	ki	537863	247680	1			0		other	0
G1905	3	Response	1	538975	248791	0
G1905	3	Audio Cue	se	540363	250179	1			0		other	0
G1905	3	Audio Cue	za	542863	252679	1			0		other	0
G1905	3	Audio Cue	be	545364	255180	1			0		other	0
G1905	3	Audio Cue	tu	547864	257680	1			0		other	0
G1905	3	Audio Cue	ro	550365	260181	1			0		other	0
G1905	3	Audio Cue	ki	552864	262680	1			0		other	0
