#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/16/2019 11:04:38
#Subject: G1905
#Sex: f
#Age: 27
#Handedness: r


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_05.wav	tempo_seq_rand_35.wav	1200	400	2	284.637000000002
1	2	1	tempo_seq_A_23.wav	tempo_seq_rand_33.wav	1200	400	3	282.098999999995
1	3	1	tempo_seq_A_02.wav	tempo_seq_rand_44.wav	1200	400	3	391.536999999997
1	4	2	tempo_seq_rand_16.wav	tempo_seq_A_21.wav	1200	400	2	408.309999999998
1	5	1	tempo_seq_A_10.wav	tempo_seq_rand_11.wav	1200	400	3	288.476999999999
1	6	2	tempo_seq_rand_30.wav	tempo_seq_A_13.wav	1200	400	2	925.185999999987
1	7	2	tempo_seq_rand_04.wav	tempo_seq_A_10.wav	1200	400	3	432.653999999995
1	8	1	tempo_seq_A_03.wav	tempo_seq_rand_08.wav	1200	400	2	768.059999999998
1	9	2	tempo_seq_rand_07.wav	tempo_seq_A_24.wav	1200	400	2	249.483000000007
1	10	1	tempo_seq_A_15.wav	tempo_seq_rand_46.wav	1200	400	3	576.315000000002
1	11	2	tempo_seq_rand_15.wav	tempo_seq_A_17.wav	1200	400	2	674.386999999988
1	12	2	tempo_seq_rand_32.wav	tempo_seq_A_03.wav	1200	400	2	855.852999999974
2	13	1	tempo_seq_A_16.wav	tempo_seq_rand_02.wav	1200	400	2	572.809000000008
2	14	2	tempo_seq_rand_18.wav	tempo_seq_A_01.wav	1200	400	2	502.217000000004
2	15	2	tempo_seq_rand_31.wav	tempo_seq_A_14.wav	1200	400	3	594.987999999983
2	16	1	tempo_seq_A_19.wav	tempo_seq_rand_06.wav	1200	400	2	667.078999999998
2	17	1	tempo_seq_A_14.wav	tempo_seq_rand_24.wav	1200	400	2	768.539000000019
2	18	1	tempo_seq_A_06.wav	tempo_seq_rand_42.wav	1200	400	3	1169.981
2	19	2	tempo_seq_rand_45.wav	tempo_seq_A_15.wav	1200	400	3	316
2	20	2	tempo_seq_rand_03.wav	tempo_seq_A_20.wav	1200	400	2	376.149000000005
2	21	2	tempo_seq_rand_14.wav	tempo_seq_A_16.wav	1200	400	2	1169.601
2	22	1	tempo_seq_A_22.wav	tempo_seq_rand_10.wav	1200	400	3	363.021000000008
2	23	2	tempo_seq_rand_23.wav	tempo_seq_A_18.wav	1200	400	2	1100.49399999998
2	24	1	tempo_seq_A_18.wav	tempo_seq_rand_36.wav	1200	400	3	425.198999999964
3	25	2	tempo_seq_rand_25.wav	tempo_seq_A_06.wav	1200	400	2	430.089000000036
3	26	1	tempo_seq_A_21.wav	tempo_seq_rand_43.wav	1200	400	3	1013.46499999997
3	27	2	tempo_seq_rand_05.wav	tempo_seq_A_22.wav	1200	400	3	188.940999999992
3	28	1	tempo_seq_A_01.wav	tempo_seq_rand_26.wav	1200	400	2	238.443999999959
3	29	1	tempo_seq_A_07.wav	tempo_seq_rand_22.wav	1200	400	2	669.869999999995
3	30	2	tempo_seq_rand_20.wav	tempo_seq_A_12.wav	1200	400	3	363.305999999982
3	31	2	tempo_seq_rand_28.wav	tempo_seq_A_19.wav	1200	400	3	404.712
3	32	1	tempo_seq_A_09.wav	tempo_seq_rand_34.wav	1200	400	3	293.574000000022
3	33	2	tempo_seq_rand_21.wav	tempo_seq_A_05.wav	1200	400	2	410.979999999981
3	34	1	tempo_seq_A_04.wav	tempo_seq_rand_39.wav	1200	400	2	587.07699999999
3	35	2	tempo_seq_rand_40.wav	tempo_seq_A_09.wav	1200	400	2	643.829000000027
3	36	1	tempo_seq_A_20.wav	tempo_seq_rand_19.wav	1200	400	2	857.959000000032
4	37	2	tempo_seq_rand_13.wav	tempo_seq_A_08.wav	1200	400	2	632.459000000032
4	38	1	tempo_seq_A_17.wav	tempo_seq_rand_37.wav	1200	400	2	615.897000000055
4	39	2	tempo_seq_rand_47.wav	tempo_seq_A_11.wav	1200	400	2	1455.33600000001
4	40	2	tempo_seq_rand_12.wav	tempo_seq_A_23.wav	1200	400	3	1901.43199999997
4	41	1	tempo_seq_A_11.wav	tempo_seq_rand_29.wav	1200	400	3	586.101999999955
4	42	1	tempo_seq_A_12.wav	tempo_seq_rand_09.wav	1200	400	2	491.514999999956
4	43	1	tempo_seq_A_08.wav	tempo_seq_rand_38.wav	1200	400	3	369.632999999973
4	44	2	tempo_seq_rand_01.wav	tempo_seq_A_02.wav	1200	400	3	314.478999999992
4	45	1	tempo_seq_A_13.wav	tempo_seq_rand_41.wav	1200	400	2	701.879000000015
4	46	2	tempo_seq_rand_27.wav	tempo_seq_A_04.wav	1200	400	2	338.635999999999
4	47	2	tempo_seq_rand_17.wav	tempo_seq_A_07.wav	1200	400	2	758.161999999953
4	48	1	tempo_seq_A_24.wav	tempo_seq_rand_48.wav	1200	400	3	288.226000000024
