Scenario - _RPSL_incidental
Logfile written - 09/25/2019 12:44:57

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

g2501	1	Picture	instruct	166	0	1	636374	1	0	next	other	0
g2501	1	Response	1	635738	635572	0
g2501	2	Sound	be	671493	34953	1			35000		other	0
g2501	3	Audio Cue	be	675286	1243	1			0		other	0
g2501	3	Sound	cue_linfade_exp_seq_A_03.wav	675286	1243	1			0		hit	13
g2501	3	Audio Cue	tu	677785	3742	1			0		other	0
g2501	3	Audio Cue	nu	680284	6242	1			0		other	0
g2501	3	Audio Cue	ga	682785	8742	1			0		other	0
g2501	3	Audio Cue	di	685285	11243	1			0		other	0
g2501	3	Audio Cue	ro	687785	13743	1			0		other	0
g2501	3	Audio Cue	ki	690286	16243	1			0		other	0
g2501	3	Audio Cue	se	692785	18743	1			0		other	0
g2501	3	Response	1	694699	20656	0
g2501	3	Audio Cue	mi	695285	21243	1			0		other	0
g2501	3	Audio Cue	po	697785	23743	1			0		other	0
g2501	3	Audio Cue	la	700286	26243	1			0		other	0
g2501	3	Audio Cue	za	702786	28743	1			0		other	0
g2501	3	Audio Cue	be	705286	31244	1			0		other	0
g2501	3	Audio Cue	tu	707786	33744	1			0		other	0
g2501	3	Audio Cue	ro	710286	36244	1			0		other	0
g2501	3	Audio Cue	ki	712786	38743	1			0		other	0
g2501	3	Audio Cue	se	715286	41243	1			0		other	0
g2501	3	Audio Cue	nu	717786	43744	1			0		other	0
g2501	3	Audio Cue	ga	720286	46244	1			0		other	0
g2501	3	Audio Cue	di	722785	48743	1			0		other	0
g2501	3	Audio Cue	mi	725286	51244	1			0		other	0
g2501	3	Audio Cue	po	727787	53745	1			0		other	0
g2501	3	Audio Cue	la	730287	56245	1			0		other	0
g2501	3	Audio Cue	za	732786	58743	1			0		other	0
g2501	3	Audio Cue	be	735287	61244	1			0		other	0
g2501	3	Audio Cue	tu	737787	63744	1			0		other	0
g2501	3	Audio Cue	ro	740287	66245	1			0		other	0
g2501	3	Audio Cue	ki	742787	68745	1			0		other	0
g2501	3	Response	1	742859	68816	0
g2501	3	Audio Cue	se	745287	71245	1			0		other	0
g2501	3	Audio Cue	nu	747787	73744	1			0		other	0
g2501	3	Audio Cue	ga	750287	76245	1			0		other	0
g2501	3	Audio Cue	di	752786	78744	1			0		other	0
g2501	3	Audio Cue	za	755287	81244	1			0		other	0
g2501	3	Audio Cue	be	757788	83745	1			0		other	0
g2501	3	Audio Cue	tu	760288	86245	1			0		other	0
g2501	3	Response	1	762539	88496	0
g2501	3	Audio Cue	mi	762787	88744	1			0		other	0
g2501	3	Audio Cue	po	765287	91245	1			0		other	0
g2501	3	Audio Cue	la	767788	93745	1			0		other	0
g2501	3	Audio Cue	ro	770288	96245	1			0		other	0
g2501	3	Audio Cue	ki	772788	98745	1			0		other	0
g2501	3	Audio Cue	se	775288	101245	1			0		other	0
g2501	3	Audio Cue	za	777788	103745	1			0		other	0
g2501	3	Audio Cue	be	780288	106245	1			0		other	0
g2501	3	Audio Cue	tu	782788	108745	1			0		other	0
g2501	3	Audio Cue	ro	785288	111246	1			0		other	0
g2501	3	Audio Cue	ki	787788	113746	1			0		other	0
g2501	3	Audio Cue	se	790288	116245	1			0		other	0
g2501	3	Audio Cue	mi	792788	118746	1			0		other	0
g2501	3	Audio Cue	po	795289	121246	1			0		other	0
g2501	3	Audio Cue	la	797789	123747	1			0		other	0
g2501	3	Audio Cue	ro	800289	126247	1			0		other	0
g2501	3	Audio Cue	ki	802789	128746	1			0		other	0
g2501	3	Audio Cue	se	805288	131246	1			0		other	0
g2501	3	Audio Cue	nu	807789	133747	1			0		other	0
g2501	3	Audio Cue	ga	810289	136247	1			0		other	0
g2501	3	Audio Cue	di	812789	138746	1			0		other	0
g2501	3	Audio Cue	za	815289	141247	1			0		other	0
g2501	3	Audio Cue	be	817789	143747	1			0		other	0
g2501	3	Audio Cue	tu	820290	146247	1			0		other	0
g2501	3	Audio Cue	ro	822790	148748	1			0		other	0
g2501	3	Audio Cue	ki	825289	151247	1			0		other	0
g2501	3	Audio Cue	se	827789	153747	1			0		other	0
g2501	3	Audio Cue	mi	830290	156247	1			0		other	0
g2501	3	Audio Cue	po	832790	158747	1			0		other	0
g2501	3	Audio Cue	la	835290	161247	1			0		other	0
g2501	3	Audio Cue	za	837790	163747	1			0		other	0
g2501	3	Audio Cue	be	840290	166248	1			0		other	0
g2501	3	Audio Cue	tu	842790	168748	1			0		other	0
g2501	3	Audio Cue	nu	845290	171248	1			0		other	0
g2501	3	Audio Cue	ga	847790	173748	1			0		other	0
g2501	3	Audio Cue	di	850290	176247	1			0		other	0
g2501	3	Audio Cue	mi	852790	178748	1			0		other	0
g2501	3	Audio Cue	po	855290	181248	1			0		other	0
g2501	3	Audio Cue	la	857791	183748	1			0		other	0
g2501	3	Audio Cue	za	860290	186248	1			0		other	0
g2501	3	Audio Cue	be	862791	188748	1			0		other	0
g2501	3	Audio Cue	tu	865291	191249	1			0		other	0
g2501	3	Audio Cue	nu	867791	193748	1			0		other	0
g2501	3	Audio Cue	ga	870291	196249	1			0		other	0
g2501	3	Audio Cue	di	872791	198749	1			0		other	0
g2501	3	Audio Cue	ro	875291	201249	1			0		other	0
g2501	3	Audio Cue	ki	877791	203748	1			0		other	0
g2501	3	Audio Cue	se	880291	206248	1			0		other	0
g2501	3	Audio Cue	nu	882791	208749	1			0		other	0
g2501	3	Audio Cue	ga	885291	211249	1			0		other	0
g2501	3	Audio Cue	di	887790	213748	1			0		other	0
g2501	3	Audio Cue	mi	890291	216249	1			0		other	0
g2501	3	Audio Cue	po	892792	218749	1			0		other	0
g2501	3	Audio Cue	la	895292	221249	1			0		other	0
g2501	3	Audio Cue	za	897792	223750	1			0		other	0
g2501	3	Audio Cue	be	900292	226250	1			0		other	0
g2501	3	Audio Cue	tu	902792	228750	1			0		other	0
g2501	3	Audio Cue	mi	905293	231250	1			0		other	0
g2501	3	Audio Cue	po	907793	233750	1			0		other	0
g2501	3	Audio Cue	la	910293	236250	1			0		other	0
g2501	3	Audio Cue	nu	912793	238751	1			0		other	0
g2501	3	Audio Cue	ga	915293	241251	1			0		other	0
g2501	3	Audio Cue	di	917793	243750	1			0		other	0
g2501	3	Audio Cue	ro	920292	246250	1			0		other	0
g2501	3	Audio Cue	ki	922793	248750	1			0		other	0
g2501	3	Audio Cue	se	925292	251250	1			0		other	0
g2501	3	Audio Cue	nu	927792	253750	1			0		other	0
g2501	3	Audio Cue	ga	930293	256250	1			0		other	0
g2501	3	Audio Cue	di	932793	258751	1			0		other	0
g2501	3	Audio Cue	mi	935293	261251	1			0		other	0
g2501	3	Audio Cue	po	937794	263751	1			0		other	0
g2501	3	Audio Cue	la	940292	266250	1			0		other	0
g2501	3	Audio Cue	za	942793	268750	1			0		other	0
g2501	3	Audio Cue	be	945293	271250	1			0		other	0
g2501	3	Audio Cue	tu	947793	273751	1			0		other	0
g2501	3	Response	1	949739	275697	0
g2501	3	Audio Cue	ro	950293	276251	1			0		other	0
g2501	3	Audio Cue	ki	952794	278751	1			0		other	0
g2501	3	Audio Cue	se	955294	281252	1			0		other	0
g2501	3	Audio Cue	za	957794	283751	1			0		other	0
g2501	3	Audio Cue	be	960293	286251	1			0		other	0
g2501	3	Audio Cue	tu	962794	288751	1			0		other	0
g2501	3	Audio Cue	ro	965295	291252	1			0		other	0
g2501	3	Audio Cue	ki	967794	293751	1			0		other	0
g2501	3	Audio Cue	se	970293	296251	1			0		other	0
g2501	3	Audio Cue	mi	972794	298751	1			0		other	0
g2501	3	Audio Cue	po	975294	301251	1			0		other	0
g2501	3	Audio Cue	la	977793	303751	1			0		other	0
g2501	3	Audio Cue	za	980294	306252	1			0		other	0
g2501	3	Audio Cue	be	982794	308751	1			0		other	0
g2501	3	Audio Cue	tu	985294	311251	1			0		other	0
g2501	3	Audio Cue	mi	987795	313752	1			0		other	0
g2501	3	Audio Cue	po	990295	316252	1			0		other	0
g2501	3	Audio Cue	la	992795	318752	1			0		other	0
g2501	3	Audio Cue	nu	995294	321252	1			0		other	0
g2501	3	Audio Cue	ga	997794	323752	1			0		other	0
g2501	3	Audio Cue	di	1000295	326252	1			0		other	0
g2501	3	Audio Cue	za	1002795	328753	1			0		other	0
g2501	3	Audio Cue	be	1005295	331253	1			0		other	0
g2501	3	Audio Cue	tu	1007796	333753	1			0		other	0
g2501	3	Response	1	1009019	334977	0
g2501	3	Audio Cue	mi	1010296	336253	1			0		other	0
g2501	3	Audio Cue	po	1012796	338753	1			0		other	0
g2501	3	Audio Cue	la	1015296	341254	1			0		other	0
g2501	3	Audio Cue	ro	1017796	343754	1			0		other	0
g2501	3	Audio Cue	ki	1020296	346253	1			0		other	0
g2501	3	Audio Cue	se	1022797	348754	1			0		other	0
g2501	3	Audio Cue	nu	1025296	351254	1			0		other	0
g2501	3	Audio Cue	ga	1027796	353754	1			0		other	0
g2501	3	Audio Cue	di	1030296	356253	1			0		other	0
g2501	3	Audio Cue	mi	1032796	358754	1			0		other	0
g2501	3	Audio Cue	po	1035296	361253	1			0		other	0
g2501	3	Audio Cue	la	1037796	363753	1			0		other	0
g2501	3	Audio Cue	za	1040296	366253	1			0		other	0
g2501	3	Audio Cue	be	1042796	368753	1			0		other	0
g2501	3	Audio Cue	tu	1045297	371254	1			0		other	0
g2501	3	Audio Cue	nu	1047797	373754	1			0		other	0
g2501	3	Audio Cue	ga	1050296	376253	1			0		other	0
g2501	3	Audio Cue	di	1052797	378754	1			0		other	0
g2501	3	Audio Cue	mi	1055297	381255	1			0		other	0
g2501	3	Audio Cue	po	1057797	383755	1			0		other	0
g2501	3	Audio Cue	la	1060296	386254	1			0		other	0
g2501	3	Audio Cue	za	1062797	388754	1			0		other	0
g2501	3	Audio Cue	be	1065297	391255	1			0		other	0
