#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/25/2019 12:45:37
#Subject: g2501
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_29.wav	tempo_seq_A_14.wav	1200	400	2	440.331999999995
1	2	2	tempo_seq_rand_01.wav	tempo_seq_A_11.wav	1200	400	2	419.752999999997
1	3	2	tempo_seq_rand_28.wav	tempo_seq_A_19.wav	1200	400	3	543.205000000002
1	4	1	tempo_seq_A_21.wav	tempo_seq_rand_16.wav	1200	400	3	1166.571
1	5	2	tempo_seq_rand_10.wav	tempo_seq_A_24.wav	1200	400	2	433.970000000001
1	6	1	tempo_seq_A_01.wav	tempo_seq_rand_11.wav	1200	400	3	493.392999999996
1	7	2	tempo_seq_rand_23.wav	tempo_seq_A_04.wav	1200	400	2	580.921000000002
1	8	1	tempo_seq_A_03.wav	tempo_seq_rand_39.wav	1200	400	2	352.266000000003
1	9	1	tempo_seq_A_14.wav	tempo_seq_rand_21.wav	1200	400	2	475.680999999997
1	10	1	tempo_seq_A_18.wav	tempo_seq_rand_34.wav	1200	400	3	1267.073
1	11	2	tempo_seq_rand_22.wav	tempo_seq_A_05.wav	1200	400	3	378.527999999991
1	12	1	tempo_seq_A_06.wav	tempo_seq_rand_14.wav	1200	400	2	477.962
2	13	1	tempo_seq_A_23.wav	tempo_seq_rand_13.wav	1200	400	3	588.79700000002
2	14	2	tempo_seq_rand_32.wav	tempo_seq_A_07.wav	1200	400	2	488.160000000003
2	15	2	tempo_seq_rand_31.wav	tempo_seq_A_17.wav	1200	400	2	583.614999999991
2	16	1	tempo_seq_A_13.wav	tempo_seq_rand_40.wav	1200	400	3	387.042999999976
2	17	2	tempo_seq_rand_36.wav	tempo_seq_A_10.wav	1200	400	2	238.429000000004
2	18	2	tempo_seq_rand_24.wav	tempo_seq_A_23.wav	1200	400	3	193.921999999991
2	19	1	tempo_seq_A_05.wav	tempo_seq_rand_33.wav	1200	400	2	493.367999999988
2	20	2	tempo_seq_rand_15.wav	tempo_seq_A_12.wav	1200	400	3	548.739000000001
2	21	1	tempo_seq_A_17.wav	tempo_seq_rand_08.wav	1200	400	3	432.168000000005
2	22	1	tempo_seq_A_20.wav	tempo_seq_rand_04.wav	1200	400	2	171.608999999997
2	23	1	tempo_seq_A_24.wav	tempo_seq_rand_05.wav	1200	400	2	775.040000000008
2	24	2	tempo_seq_rand_19.wav	tempo_seq_A_21.wav	1200	400	3	210.482000000018
3	25	1	tempo_seq_A_11.wav	tempo_seq_rand_45.wav	1200	400	3	1028.77000000002
3	26	1	tempo_seq_A_22.wav	tempo_seq_rand_47.wav	1200	400	2	752.186000000045
3	27	2	tempo_seq_rand_38.wav	tempo_seq_A_18.wav	1200	400	2	523.576000000001
3	28	2	tempo_seq_rand_03.wav	tempo_seq_A_02.wav	1200	400	2	922.948000000033
3	29	1	tempo_seq_A_15.wav	tempo_seq_rand_27.wav	1200	400	2	1794.402
3	30	2	tempo_seq_rand_37.wav	tempo_seq_A_13.wav	1200	400	2	1597.76800000004
3	31	2	tempo_seq_rand_30.wav	tempo_seq_A_03.wav	1200	400	3	2553.065
3	32	2	tempo_seq_rand_18.wav	tempo_seq_A_22.wav	1200	400	3	148.401000000013
3	33	1	tempo_seq_A_02.wav	tempo_seq_rand_17.wav	1200	400	3	231.829000000027
3	34	1	tempo_seq_A_10.wav	tempo_seq_rand_09.wav	1200	400	3	563.266000000003
3	35	1	tempo_seq_A_04.wav	tempo_seq_rand_26.wav	1200	400	2	518.771000000008
3	36	2	tempo_seq_rand_25.wav	tempo_seq_A_06.wav	1200	400	2	1238.86900000001
4	37	2	tempo_seq_rand_06.wav	tempo_seq_A_08.wav	1200	400	3	285.960000000021
4	38	2	tempo_seq_rand_48.wav	tempo_seq_A_16.wav	1200	400	2	421.420999999973
4	39	1	tempo_seq_A_09.wav	tempo_seq_rand_07.wav	1200	400	2	280.835999999952
4	40	2	tempo_seq_rand_42.wav	tempo_seq_A_01.wav	1200	400	2	1520.342
4	41	1	tempo_seq_A_12.wav	tempo_seq_rand_20.wav	1200	400	3	1711.66599999997
4	42	2	tempo_seq_rand_02.wav	tempo_seq_A_20.wav	1200	400	3	767.003000000026
4	43	1	tempo_seq_A_16.wav	tempo_seq_rand_41.wav	1200	400	3	274.409999999974
4	44	1	tempo_seq_A_07.wav	tempo_seq_rand_44.wav	1200	400	2	281.865000000049
4	45	2	tempo_seq_rand_12.wav	tempo_seq_A_15.wav	1200	400	2	841.310000000056
4	46	1	tempo_seq_A_08.wav	tempo_seq_rand_35.wav	1200	400	2	764.719999999972
4	47	2	tempo_seq_rand_46.wav	tempo_seq_A_09.wav	1200	400	2	368.075000000012
4	48	1	tempo_seq_A_19.wav	tempo_seq_rand_43.wav	1200	400	2	507.544999999984
