#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/25/2019 12:09:35
#Subject: g2501
#Sex: M
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_23.wav	tempo_seq_A_18.wav	1200	400	2	2259.322
1	2	1	tempo_seq_A_18.wav	tempo_seq_rand_32.wav	1200	400	2	1042.571
1	3	2	tempo_seq_rand_17.wav	tempo_seq_A_02.wav	1200	400	3	813.914999999994
1	4	2	tempo_seq_rand_19.wav	tempo_seq_A_06.wav	1200	400	2	785.330999999991
1	5	2	tempo_seq_rand_12.wav	tempo_seq_A_23.wav	1200	400	2	1548.738
1	6	2	tempo_seq_rand_25.wav	tempo_seq_A_07.wav	1200	400	2	952.125
1	7	1	tempo_seq_A_23.wav	tempo_seq_rand_38.wav	1200	400	2	547.493000000002
1	8	1	tempo_seq_A_01.wav	tempo_seq_rand_20.wav	1200	400	2	558.837
1	9	1	tempo_seq_A_09.wav	tempo_seq_rand_40.wav	1200	400	2	754.254000000001
1	10	1	tempo_seq_A_02.wav	tempo_seq_rand_41.wav	1200	400	3	902.340000000011
1	11	2	tempo_seq_rand_30.wav	tempo_seq_A_12.wav	1200	400	3	589.059000000008
1	12	1	tempo_seq_A_06.wav	tempo_seq_rand_42.wav	1200	400	2	1169.18799999999
2	13	2	tempo_seq_rand_37.wav	tempo_seq_A_09.wav	1200	400	2	664.170000000013
2	14	1	tempo_seq_A_21.wav	tempo_seq_rand_48.wav	1200	400	3	719.546000000002
2	15	2	tempo_seq_rand_29.wav	tempo_seq_A_13.wav	1200	400	2	566.97100000002
2	16	2	tempo_seq_rand_13.wav	tempo_seq_A_16.wav	1200	400	3	1994.329
2	17	1	tempo_seq_A_08.wav	tempo_seq_rand_27.wav	1200	400	2	1029.71900000001
2	18	1	tempo_seq_A_10.wav	tempo_seq_rand_16.wav	1200	400	2	1809.073
2	19	1	tempo_seq_A_15.wav	tempo_seq_rand_28.wav	1200	400	2	788.423999999999
2	20	2	tempo_seq_rand_43.wav	tempo_seq_A_03.wav	1200	400	2	1223.82700000002
2	21	2	tempo_seq_rand_01.wav	tempo_seq_A_24.wav	1200	400	2	1875.16
2	22	2	tempo_seq_rand_31.wav	tempo_seq_A_10.wav	1200	400	3	1490.58599999998
2	23	1	tempo_seq_A_04.wav	tempo_seq_rand_45.wav	1200	400	3	642.338999999978
2	24	1	tempo_seq_A_13.wav	tempo_seq_rand_24.wav	1200	400	3	2093.29800000001
3	25	1	tempo_seq_A_11.wav	tempo_seq_rand_22.wav	1200	400	2	1544.15299999999
3	26	1	tempo_seq_A_17.wav	tempo_seq_rand_21.wav	1200	400	2	983.483000000007
3	27	2	tempo_seq_rand_10.wav	tempo_seq_A_21.wav	1200	400	3	1626.85599999997
3	28	2	tempo_seq_rand_02.wav	tempo_seq_A_22.wav	1200	400	2	486.158999999985
3	29	1	tempo_seq_A_24.wav	tempo_seq_rand_35.wav	1200	400	3	1853.58100000001
3	30	2	tempo_seq_rand_05.wav	tempo_seq_A_17.wav	1200	400	2	3956.89899999998
3	31	1	tempo_seq_A_05.wav	tempo_seq_rand_34.wav	1200	400	2	1328.18099999998
3	32	1	tempo_seq_A_03.wav	tempo_seq_rand_39.wav	1200	400	3	1175.50300000003
3	33	2	tempo_seq_rand_03.wav	tempo_seq_A_08.wav	1200	400	2	658.877999999968
3	34	1	tempo_seq_A_16.wav	tempo_seq_rand_07.wav	1200	400	2	890.25900000002
3	35	2	tempo_seq_rand_44.wav	tempo_seq_A_19.wav	1200	400	3	857.703999999969
3	36	2	tempo_seq_rand_04.wav	tempo_seq_A_11.wav	1200	400	2	577.084000000032
4	37	1	tempo_seq_A_22.wav	tempo_seq_rand_09.wav	1200	400	3	327.195999999996
4	38	1	tempo_seq_A_20.wav	tempo_seq_rand_36.wav	1200	400	2	710.621999999974
4	39	1	tempo_seq_A_07.wav	tempo_seq_rand_11.wav	1200	400	2	566.007000000041
4	40	2	tempo_seq_rand_26.wav	tempo_seq_A_20.wav	1200	400	2	1161.40999999997
4	41	2	tempo_seq_rand_47.wav	tempo_seq_A_15.wav	1200	400	3	692.834999999963
4	42	2	tempo_seq_rand_33.wav	tempo_seq_A_14.wav	1200	400	2	548.250999999989
4	43	1	tempo_seq_A_19.wav	tempo_seq_rand_06.wav	1200	400	2	823.641000000003
4	44	1	tempo_seq_A_12.wav	tempo_seq_rand_18.wav	1200	400	3	707.081999999995
4	45	2	tempo_seq_rand_08.wav	tempo_seq_A_04.wav	1200	400	3	362.456000000006
4	46	2	tempo_seq_rand_14.wav	tempo_seq_A_05.wav	1200	400	3	533.939000000013
4	47	2	tempo_seq_rand_46.wav	tempo_seq_A_01.wav	1200	400	3	773.361999999965
4	48	1	tempo_seq_A_14.wav	tempo_seq_rand_15.wav	1200	400	2	496.752000000095
