Scenario - _RPSL_incidental
Logfile written - 09/26/2019 12:36:56

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h0905	1	Picture	instruct	166	0	1	594870	2	0	next	other	0
h0905	1	Response	1	593688	593522	0
h0905	2	Sound	ki	630045	35008	1			35000		other	0
h0905	3	Audio Cue	nu	633819	1113	1			0		other	0
h0905	3	Sound	cue_linfade_exp_seq_A_05.wav	633819	1113	1			0		hit	24
h0905	3	Audio Cue	ga	636317	3611	1			0		other	0
h0905	3	Audio Cue	di	638817	6111	1			0		other	0
h0905	3	Audio Cue	za	641318	8612	1			0		other	0
h0905	3	Audio Cue	be	643818	11112	1			0		other	0
h0905	3	Audio Cue	tu	646317	13611	1			0		other	0
h0905	3	Audio Cue	mi	648818	16112	1			0		other	0
h0905	3	Audio Cue	po	651318	18612	1			0		other	0
h0905	3	Audio Cue	la	653818	21112	1			0		other	0
h0905	3	Audio Cue	za	656319	23613	1			0		other	0
h0905	3	Audio Cue	be	658818	26112	1			0		other	0
h0905	3	Audio Cue	tu	661319	28613	1			0		other	0
h0905	3	Audio Cue	mi	663818	31112	1			0		other	0
h0905	3	Audio Cue	po	666318	33613	1			0		other	0
h0905	3	Audio Cue	la	668819	36113	1			0		other	0
h0905	3	Audio Cue	ro	671319	38613	1			0		other	0
h0905	3	Audio Cue	ki	673819	41113	1			0		other	0
h0905	3	Audio Cue	se	676319	43614	1			0		other	0
h0905	3	Audio Cue	mi	678819	46113	1			0		other	0
h0905	3	Response	1	679368	46662	0
h0905	3	Audio Cue	po	681319	48613	1			0		other	0
h0905	3	Audio Cue	la	683818	51113	1			0		other	0
h0905	3	Audio Cue	za	686319	53613	1			0		other	0
h0905	3	Audio Cue	be	688820	56114	1			0		other	0
h0905	3	Audio Cue	tu	691319	58613	1			0		other	0
h0905	3	Audio Cue	nu	693819	61113	1			0		other	0
h0905	3	Audio Cue	ga	696319	63613	1			0		other	0
h0905	3	Audio Cue	di	698819	66113	1			0		other	0
h0905	3	Audio Cue	mi	701320	68614	1			0		other	0
h0905	3	Audio Cue	po	703820	71114	1			0		other	0
h0905	3	Audio Cue	la	706320	73614	1			0		other	0
h0905	3	Audio Cue	za	708819	76113	1			0		other	0
h0905	3	Audio Cue	be	711320	78614	1			0		other	0
h0905	3	Audio Cue	tu	713821	81115	1			0		other	0
h0905	3	Audio Cue	ro	716320	83614	1			0		other	0
h0905	3	Audio Cue	ki	718820	86114	1			0		other	0
h0905	3	Audio Cue	se	721320	88614	1			0		other	0
h0905	3	Response	1	723528	90822	0
h0905	3	Audio Cue	nu	723821	91115	1			0		other	0
h0905	3	Audio Cue	ga	726321	93615	1			0		other	0
h0905	3	Audio Cue	di	728821	96115	1			0		other	0
