#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/26/2019 12:37:23
#Subject: h0905
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_11.wav	tempo_seq_A_23.wav	1200	400	2	268.510000000002
1	2	1	tempo_seq_A_23.wav	tempo_seq_rand_36.wav	1200	400	3	243.986000000004
1	3	1	tempo_seq_A_14.wav	tempo_seq_rand_27.wav	1200	400	3	335.447
1	4	1	tempo_seq_A_24.wav	tempo_seq_rand_42.wav	1200	400	2	198.807000000001
1	5	2	tempo_seq_rand_17.wav	tempo_seq_A_14.wav	1200	400	2	306.307000000001
1	6	2	tempo_seq_rand_02.wav	tempo_seq_A_22.wav	1200	400	3	193.717999999993
1	7	2	tempo_seq_rand_25.wav	tempo_seq_A_09.wav	1200	400	2	333.159
1	8	2	tempo_seq_rand_03.wav	tempo_seq_A_13.wav	1200	400	2	172.614000000001
1	9	1	tempo_seq_A_13.wav	tempo_seq_rand_15.wav	1200	400	3	112.059999999998
1	10	2	tempo_seq_rand_05.wav	tempo_seq_A_01.wav	1200	400	2	71.4829999999929
1	11	1	tempo_seq_A_22.wav	tempo_seq_rand_13.wav	1200	400	3	86.9809999999998
1	12	1	tempo_seq_A_21.wav	tempo_seq_rand_41.wav	1200	400	2	230.383999999991
2	13	2	tempo_seq_rand_34.wav	tempo_seq_A_03.wav	1200	400	2	377.731999999989
2	14	1	tempo_seq_A_03.wav	tempo_seq_rand_22.wav	1200	400	2	333.138000000006
2	15	2	tempo_seq_rand_01.wav	tempo_seq_A_21.wav	1200	400	2	256.571999999986
2	16	1	tempo_seq_A_05.wav	tempo_seq_rand_35.wav	1200	400	2	152.738000000012
2	17	1	tempo_seq_A_10.wav	tempo_seq_rand_45.wav	1200	400	3	320.225000000006
2	18	2	tempo_seq_rand_37.wav	tempo_seq_A_15.wav	1200	400	2	279.576000000001
2	19	2	tempo_seq_rand_32.wav	tempo_seq_A_06.wav	1200	400	3	591.007000000012
2	20	1	tempo_seq_A_15.wav	tempo_seq_rand_47.wav	1200	400	2	482.450000000012
2	21	2	tempo_seq_rand_06.wav	tempo_seq_A_04.wav	1200	400	2	353.919999999984
2	22	2	tempo_seq_rand_31.wav	tempo_seq_A_19.wav	1200	400	3	245.315000000002
2	23	1	tempo_seq_A_01.wav	tempo_seq_rand_23.wav	1200	400	3	372.808999999979
2	24	1	tempo_seq_A_08.wav	tempo_seq_rand_16.wav	1200	400	2	320.190999999992
3	25	1	tempo_seq_A_16.wav	tempo_seq_rand_33.wav	1200	400	2	335.652000000002
3	26	1	tempo_seq_A_11.wav	tempo_seq_rand_24.wav	1200	400	2	191.017000000051
3	27	1	tempo_seq_A_09.wav	tempo_seq_rand_46.wav	1200	400	3	338.45199999999
3	28	2	tempo_seq_rand_44.wav	tempo_seq_A_11.wav	1200	400	2	177.883000000031
3	29	1	tempo_seq_A_12.wav	tempo_seq_rand_12.wav	1200	400	3	13.4729999999981
3	30	2	tempo_seq_rand_09.wav	tempo_seq_A_20.wav	1200	400	3	897.434000000008
3	31	2	tempo_seq_rand_39.wav	tempo_seq_A_05.wav	1200	400	2	520.868000000017
3	32	2	tempo_seq_rand_07.wav	tempo_seq_A_07.wav	1200	400	2	224.717000000004
3	33	1	tempo_seq_A_02.wav	tempo_seq_rand_29.wav	1200	400	3	379.063999999955
3	34	1	tempo_seq_A_04.wav	tempo_seq_rand_30.wav	1200	400	2	238.496999999974
3	35	2	tempo_seq_rand_20.wav	tempo_seq_A_17.wav	1200	400	2	257.972999999998
3	36	2	tempo_seq_rand_19.wav	tempo_seq_A_08.wav	1200	400	2	65.4010000000126
4	37	1	tempo_seq_A_19.wav	tempo_seq_rand_40.wav	1200	400	2	368.660000000033
4	38	1	tempo_seq_A_20.wav	tempo_seq_rand_14.wav	1200	400	2	316.039000000048
4	39	2	tempo_seq_rand_21.wav	tempo_seq_A_16.wav	1200	400	3	667.548999999999
4	40	1	tempo_seq_A_18.wav	tempo_seq_rand_43.wav	1200	400	2	338.95199999999
4	41	2	tempo_seq_rand_48.wav	tempo_seq_A_02.wav	1200	400	3	426.361000000034
4	42	2	tempo_seq_rand_38.wav	tempo_seq_A_24.wav	1200	400	2	333.839999999967
4	43	1	tempo_seq_A_17.wav	tempo_seq_rand_04.wav	1200	400	2	341.27099999995
4	44	1	tempo_seq_A_06.wav	tempo_seq_rand_10.wav	1200	400	2	388.676000000036
4	45	2	tempo_seq_rand_08.wav	tempo_seq_A_18.wav	1200	400	2	440.170000000042
4	46	2	tempo_seq_rand_26.wav	tempo_seq_A_10.wav	1200	400	2	947.611000000034
4	47	2	tempo_seq_rand_28.wav	tempo_seq_A_12.wav	1200	400	3	302.968999999983
4	48	1	tempo_seq_A_07.wav	tempo_seq_rand_18.wav	1200	400	2	278.421000000031
