#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/26/2019 12:02:50
#Subject: h0905
#Sex: F
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_26.wav	tempo_seq_A_22.wav	1200	400	2	562.625
1	2	1	tempo_seq_A_09.wav	tempo_seq_rand_12.wav	1200	400	3	462.074000000001
1	3	1	tempo_seq_A_18.wav	tempo_seq_rand_24.wav	1200	400	3	270.105000000003
1	4	2	tempo_seq_rand_36.wav	tempo_seq_A_12.wav	1200	400	3	469.574999999997
1	5	1	tempo_seq_A_05.wav	tempo_seq_rand_28.wav	1200	400	2	301.047999999995
1	6	1	tempo_seq_A_12.wav	tempo_seq_rand_08.wav	1200	400	2	308.411999999997
1	7	2	tempo_seq_rand_33.wav	tempo_seq_A_04.wav	1200	400	2	259.861999999994
1	8	1	tempo_seq_A_13.wav	tempo_seq_rand_34.wav	1200	400	3	395.267000000007
1	9	2	tempo_seq_rand_39.wav	tempo_seq_A_10.wav	1200	400	2	230.690999999992
1	10	2	tempo_seq_rand_30.wav	tempo_seq_A_03.wav	1200	400	2	250.123999999996
1	11	2	tempo_seq_rand_35.wav	tempo_seq_A_21.wav	1200	400	3	137.602000000014
1	12	1	tempo_seq_A_24.wav	tempo_seq_rand_05.wav	1200	400	3	221.032999999996
2	13	1	tempo_seq_A_16.wav	tempo_seq_rand_32.wav	1200	400	2	408.040000000008
2	14	2	tempo_seq_rand_31.wav	tempo_seq_A_18.wav	1200	400	2	283.417000000016
2	15	2	tempo_seq_rand_04.wav	tempo_seq_A_13.wav	1200	400	2	298.904999999999
2	16	2	tempo_seq_rand_06.wav	tempo_seq_A_02.wav	1200	400	3	266.616000000009
2	17	1	tempo_seq_A_15.wav	tempo_seq_rand_41.wav	1200	400	2	362.212
2	18	1	tempo_seq_A_01.wav	tempo_seq_rand_37.wav	1200	400	2	1142.11199999999
2	19	2	tempo_seq_rand_07.wav	tempo_seq_A_17.wav	1200	400	2	322.04700000002
2	20	1	tempo_seq_A_11.wav	tempo_seq_rand_09.wav	1200	400	2	575.970000000001
2	21	1	tempo_seq_A_23.wav	tempo_seq_rand_46.wav	1200	400	3	267.354999999981
2	22	1	tempo_seq_A_14.wav	tempo_seq_rand_11.wav	1200	400	3	322.834000000003
2	23	2	tempo_seq_rand_48.wav	tempo_seq_A_23.wav	1200	400	2	386.289999999979
2	24	2	tempo_seq_rand_13.wav	tempo_seq_A_09.wav	1200	400	2	397.706999999995
3	25	1	tempo_seq_A_02.wav	tempo_seq_rand_22.wav	1200	400	2	137.038
3	26	2	tempo_seq_rand_29.wav	tempo_seq_A_07.wav	1200	400	3	332.456999999995
3	27	2	tempo_seq_rand_19.wav	tempo_seq_A_01.wav	1200	400	2	507.913
3	28	1	tempo_seq_A_08.wav	tempo_seq_rand_18.wav	1200	400	2	291.283999999985
3	29	1	tempo_seq_A_19.wav	tempo_seq_rand_47.wav	1200	400	2	394.669999999984
3	30	2	tempo_seq_rand_23.wav	tempo_seq_A_06.wav	1200	400	3	238.139000000025
3	31	2	tempo_seq_rand_27.wav	tempo_seq_A_16.wav	1200	400	2	305.592000000004
3	32	2	tempo_seq_rand_17.wav	tempo_seq_A_11.wav	1200	400	2	289.016999999993
3	33	2	tempo_seq_rand_44.wav	tempo_seq_A_20.wav	1200	400	2	472.457999999984
3	34	1	tempo_seq_A_03.wav	tempo_seq_rand_16.wav	1200	400	3	279.875
3	35	1	tempo_seq_A_20.wav	tempo_seq_rand_02.wav	1200	400	2	343.316999999981
3	36	1	tempo_seq_A_06.wav	tempo_seq_rand_40.wav	1200	400	3	390.722000000009
4	37	1	tempo_seq_A_22.wav	tempo_seq_rand_03.wav	1200	400	2	250.07799999998
4	38	1	tempo_seq_A_07.wav	tempo_seq_rand_01.wav	1200	400	2	305.554000000004
4	39	2	tempo_seq_rand_21.wav	tempo_seq_A_08.wav	1200	400	3	448.929000000004
4	40	1	tempo_seq_A_10.wav	tempo_seq_rand_20.wav	1200	400	3	312.392999999982
4	41	2	tempo_seq_rand_38.wav	tempo_seq_A_14.wav	1200	400	2	439.809000000008
4	42	2	tempo_seq_rand_15.wav	tempo_seq_A_15.wav	1200	400	2	355.233999999997
4	43	2	tempo_seq_rand_14.wav	tempo_seq_A_24.wav	1200	400	2	430.657000000007
4	44	2	tempo_seq_rand_43.wav	tempo_seq_A_19.wav	1200	400	3	266.041999999958
4	45	1	tempo_seq_A_17.wav	tempo_seq_rand_10.wav	1200	400	2	233.525000000023
4	46	1	tempo_seq_A_21.wav	tempo_seq_rand_25.wav	1200	400	3	428.976000000024
4	47	2	tempo_seq_rand_45.wav	tempo_seq_A_05.wav	1200	400	3	288.439000000013
4	48	1	tempo_seq_A_04.wav	tempo_seq_rand_42.wav	1200	400	2	295.875999999989
