Scenario - _RPSL_incidental
Logfile written - 09/26/2019 15:36:18
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

h2802	1	Picture	instruct	333	0	1	737544	2	0	next	other	0
h2802	1	Response	1	736470	736137	0
h2802	2	Sound	se	772867	34990	1			35000		other	0
h2802	3	Audio Cue	za	777170	1625	1			0		other	0
h2802	3	Sound	cue_linfade_exp_seq_A_08.wav	777170	1625	1			0		hit	24
h2802	3	Audio Cue	be	779670	4124	1			0		other	0
h2802	3	Audio Cue	tu	782170	6625	1			0		other	0
h2802	3	Audio Cue	mi	784670	9125	1			0		other	0
h2802	3	Audio Cue	po	787170	11625	1			0		other	0
h2802	3	Audio Cue	la	789670	14125	1			0		other	0
h2802	3	Audio Cue	za	792170	16625	1			0		other	0
h2802	3	Audio Cue	be	794670	19125	1			0		other	0
h2802	3	Audio Cue	tu	797170	21625	1			0		other	0
h2802	3	Audio Cue	mi	799670	24124	1			0		other	0
h2802	3	Audio Cue	po	802171	26625	1			0		other	0
h2802	3	Audio Cue	la	804671	29125	1			0		other	0
h2802	3	Audio Cue	za	807171	31625	1			0		other	0
h2802	3	Audio Cue	be	809670	34125	1			0		other	0
h2802	3	Audio Cue	tu	812170	36625	1			0		other	0
h2802	3	Audio Cue	ro	814671	39125	1			0		other	0
h2802	3	Audio Cue	ki	817171	41626	1			0		other	0
h2802	3	Audio Cue	se	819671	44126	1			0		other	0
h2802	3	Audio Cue	nu	822171	46625	1			0		other	0
h2802	3	Response	1	823989	48444	0
h2802	3	Audio Cue	ga	824671	49126	1			0		other	0
h2802	3	Audio Cue	di	827171	51626	1			0		other	0
h2802	3	Audio Cue	mi	829671	54125	1			0		other	0
h2802	3	Audio Cue	po	832172	56626	1			0		other	0
h2802	3	Audio Cue	la	834672	59126	1			0		other	0
h2802	3	Audio Cue	ro	837172	61626	1			0		other	0
h2802	3	Audio Cue	ki	839670	64125	1			0		other	0
h2802	3	Audio Cue	se	842172	66627	1			0		other	0
h2802	3	Audio Cue	mi	844672	69126	1			0		other	0
h2802	3	Response	1	845749	70203	0
h2802	3	Audio Cue	po	847171	71626	1			0		other	0
h2802	3	Audio Cue	la	849671	74126	1			0		other	0
h2802	3	Audio Cue	nu	852171	76626	1			0		other	0
h2802	3	Audio Cue	ga	854672	79126	1			0		other	0
h2802	3	Audio Cue	di	857173	81627	1			0		other	0
h2802	3	Audio Cue	ro	859672	84126	1			0		other	0
h2802	3	Audio Cue	ki	862172	86626	1			0		other	0
h2802	3	Audio Cue	se	864672	89127	1			0		other	0
h2802	3	Audio Cue	nu	867173	91627	1			0		other	0
h2802	3	Response	1	868949	93404	0
h2802	3	Audio Cue	ga	869673	94127	1			0		other	0
h2802	3	Audio Cue	di	872173	96627	1			0		other	0
h2802	3	Audio Cue	ro	874672	99126	1			0		other	0
h2802	3	Audio Cue	ki	877173	101627	1			0		other	0
h2802	3	Audio Cue	se	879673	104127	1			0		other	0
h2802	3	Audio Cue	za	882173	106628	1			0		other	0
h2802	3	Response	1	883909	108364	0
h2802	3	Audio Cue	be	884673	109128	1			0		other	0
h2802	3	Audio Cue	tu	887173	111628	1			0		other	0
h2802	3	Audio Cue	mi	889673	114128	1			0		other	0
h2802	3	Audio Cue	po	892173	116628	1			0		other	0
h2802	3	Audio Cue	la	894672	119127	1			0		other	0
h2802	3	Audio Cue	ro	897173	121628	1			0		other	0
h2802	3	Audio Cue	ki	899673	124128	1			0		other	0
h2802	3	Audio Cue	se	902173	126628	1			0		other	0
h2802	3	Audio Cue	za	904674	129128	1			0		other	0
h2802	3	Response	1	905189	129644	0
h2802	3	Audio Cue	be	907174	131628	1			0		other	0
h2802	3	Audio Cue	tu	909673	134128	1			0		other	0
h2802	3	Audio Cue	nu	912173	136627	1			0		other	0
h2802	3	Audio Cue	ga	914674	139129	1			0		other	0
h2802	3	Audio Cue	di	917173	141628	1			0		other	0
h2802	3	Audio Cue	mi	919674	144128	1			0		other	0
h2802	3	Audio Cue	po	922175	146630	1			0		other	0
h2802	3	Audio Cue	la	924675	149129	1			0		other	0
h2802	3	Audio Cue	nu	927175	151629	1			0		other	0
h2802	3	Audio Cue	ga	929675	154129	1			0		other	0
h2802	3	Audio Cue	di	932175	156629	1			0		other	0
h2802	3	Audio Cue	mi	934675	159129	1			0		other	0
h2802	3	Audio Cue	po	937174	161629	1			0		other	0
h2802	3	Audio Cue	la	939675	164130	1			0		other	0
h2802	3	Audio Cue	ro	942176	166630	1			0		other	0
h2802	3	Audio Cue	ki	944675	169130	1			0		other	0
h2802	3	Audio Cue	se	947174	171629	1			0		other	0
h2802	3	Audio Cue	za	949676	174130	1			0		other	0
h2802	3	Response	1	950950	175404	0
h2802	3	Audio Cue	be	952176	176630	1			0		other	0
h2802	3	Audio Cue	tu	954675	179129	1			0		other	0
h2802	3	Audio Cue	nu	957176	181630	1			0		other	0
h2802	3	Audio Cue	ga	959675	184130	1			0		other	0
h2802	3	Audio Cue	di	962175	186630	1			0		other	0
h2802	3	Audio Cue	za	964675	189130	1			0		other	0
h2802	3	Audio Cue	be	967175	191629	1			0		other	0
h2802	3	Audio Cue	tu	969675	194130	1			0		other	0
h2802	3	Audio Cue	ro	972176	196630	1			0		other	0
h2802	3	Audio Cue	ki	974676	199130	1			0		other	0
h2802	3	Audio Cue	se	977175	201630	1			0		other	0
h2802	3	Audio Cue	nu	979675	204130	1			0		other	0
h2802	3	Response	1	981269	205724	0
h2802	3	Audio Cue	ga	982176	206630	1			0		other	0
h2802	3	Audio Cue	di	984676	209130	1			0		other	0
h2802	3	Audio Cue	ro	987175	211630	1			0		other	0
h2802	3	Audio Cue	ki	989675	214130	1			0		other	0
h2802	3	Audio Cue	se	992175	216630	1			0		other	0
h2802	3	Audio Cue	nu	994676	219130	1			0		other	0
h2802	3	Response	1	997029	221484	0
h2802	3	Audio Cue	ga	997176	221631	1			0		other	0
h2802	3	Audio Cue	di	999677	224131	1			0		other	0
h2802	3	Audio Cue	za	1002176	226631	1			0		other	0
h2802	3	Audio Cue	be	1004675	229130	1			0		other	0
h2802	3	Audio Cue	tu	1007177	231631	1			0		other	0
h2802	3	Audio Cue	mi	1009677	234131	1			0		other	0
h2802	3	Audio Cue	po	1012176	236631	1			0		other	0
h2802	3	Audio Cue	la	1014676	239131	1			0		other	0
h2802	3	Audio Cue	nu	1017176	241631	1			0		other	0
h2802	3	Audio Cue	ga	1019677	244131	1			0		other	0
h2802	3	Audio Cue	di	1022177	246631	1			0		other	0
h2802	3	Audio Cue	ro	1024677	249131	1			0		other	0
h2802	3	Audio Cue	ki	1027176	251631	1			0		other	0
h2802	3	Audio Cue	se	1029677	254131	1			0		other	0
h2802	3	Audio Cue	mi	1032177	256631	1			0		other	0
h2802	3	Response	1	1033189	257644	0
h2802	3	Audio Cue	po	1034677	259132	1			0		other	0
h2802	3	Audio Cue	la	1037177	261632	1			0		other	0
h2802	3	Audio Cue	za	1039677	264131	1			0		other	0
h2802	3	Audio Cue	be	1042178	266632	1			0		other	0
h2802	3	Audio Cue	tu	1044678	269132	1			0		other	0
h2802	3	Audio Cue	ro	1047177	271632	1			0		other	0
h2802	3	Audio Cue	ki	1049677	274132	1			0		other	0
h2802	3	Audio Cue	se	1052177	276632	1			0		other	0
h2802	3	Audio Cue	za	1054677	279132	1			0		other	0
h2802	3	Audio Cue	be	1057178	281632	1			0		other	0
h2802	3	Response	1	1057669	282124	0
h2802	3	Audio Cue	tu	1059677	284132	1			0		other	0
h2802	3	Audio Cue	nu	1062178	286633	1			0		other	0
h2802	3	Audio Cue	ga	1064678	289132	1			0		other	0
h2802	3	Audio Cue	di	1067178	291633	1			0		other	0
h2802	3	Audio Cue	mi	1069678	294133	1			0		other	0
h2802	3	Audio Cue	po	1072178	296632	1			0		other	0
h2802	3	Audio Cue	la	1074678	299132	1			0		other	0
h2802	3	Audio Cue	nu	1077178	301632	1			0		other	0
h2802	3	Audio Cue	ga	1079679	304133	1			0		other	0
h2802	3	Audio Cue	di	1082180	306634	1			0		other	0
h2802	3	Audio Cue	za	1084679	309133	1			0		other	0
h2802	3	Audio Cue	be	1087178	311633	1			0		other	0
h2802	3	Audio Cue	tu	1089679	314133	1			0		other	0
h2802	3	Audio Cue	ro	1092179	316634	1			0		other	0
h2802	3	Audio Cue	ki	1094679	319133	1			0		other	0
h2802	3	Audio Cue	se	1097180	321634	1			0		other	0
h2802	3	Audio Cue	mi	1099680	324134	1			0		other	0
h2802	3	Response	1	1100710	325164	0
h2802	3	Audio Cue	po	1102179	326633	1			0		other	0
h2802	3	Audio Cue	la	1104679	329134	1			0		other	0
h2802	3	Audio Cue	ro	1107180	331634	1			0		other	0
h2802	3	Audio Cue	ki	1109679	334133	1			0		other	0
h2802	3	Audio Cue	se	1112179	336634	1			0		other	0
h2802	3	Audio Cue	za	1114680	339134	1			0		other	0
h2802	3	Response	1	1116630	341084	0
h2802	3	Audio Cue	be	1117180	341635	1			0		other	0
h2802	3	Audio Cue	tu	1119680	344135	1			0		other	0
h2802	3	Audio Cue	mi	1122180	346635	1			0		other	0
h2802	3	Audio Cue	po	1124679	349134	1			0		other	0
h2802	3	Audio Cue	la	1127180	351634	1			0		other	0
h2802	3	Audio Cue	nu	1129680	354135	1			0		other	0
h2802	3	Audio Cue	ga	1132181	356635	1			0		other	0
h2802	3	Audio Cue	di	1134680	359135	1			0		other	0
h2802	3	Audio Cue	mi	1137180	361634	1			0		other	0
h2802	3	Audio Cue	po	1139679	364133	1			0		other	0
h2802	3	Audio Cue	la	1142180	366634	1			0		other	0
h2802	3	Audio Cue	za	1144681	369135	1			0		other	0
