Scenario - _RPSL_incidental
Logfile written - 10/03/2019 13:32:48
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

i0902	1	Picture	instruct	333	0	1	276017	1	0	next	other	0
i0902	1	Response	1	275315	274982	0
i0902	2	Sound	ki	311348	34998	1			35000		other	0
i0902	3	Audio Cue	nu	314160	142	1			0		other	0
i0902	3	Sound	cue_linfade_exp_seq_A_05.wav	314160	142	1			0		hit	23
i0902	3	Audio Cue	ga	316659	2641	1			0		other	0
i0902	3	Audio Cue	di	319160	5141	1			0		other	0
i0902	3	Audio Cue	za	321660	7641	1			0		other	0
i0902	3	Audio Cue	be	324160	10141	1			0		other	0
i0902	3	Audio Cue	tu	326661	12642	1			0		other	0
i0902	3	Audio Cue	mi	329159	15141	1			0		other	0
i0902	3	Audio Cue	po	331660	17642	1			0		other	0
i0902	3	Audio Cue	la	334159	20141	1			0		other	0
i0902	3	Audio Cue	za	336660	22642	1			0		other	0
i0902	3	Audio Cue	be	339160	25142	1			0		other	0
i0902	3	Audio Cue	tu	341660	27642	1			0		other	0
i0902	3	Audio Cue	mi	344161	30143	1			0		other	0
i0902	3	Audio Cue	po	346660	32641	1			0		other	0
i0902	3	Audio Cue	la	349161	35142	1			0		other	0
i0902	3	Audio Cue	ro	351660	37642	1			0		other	0
i0902	3	Audio Cue	ki	354161	40142	1			0		other	0
i0902	3	Audio Cue	se	356661	42642	1			0		other	0
i0902	3	Response	1	358276	44257	0
i0902	3	Audio Cue	mi	359160	45142	1			0		other	0
i0902	3	Audio Cue	po	361661	47643	1			0		other	0
i0902	3	Audio Cue	la	364161	50143	1			0		other	0
i0902	3	Audio Cue	za	366661	52643	1			0		other	0
i0902	3	Audio Cue	be	369161	55143	1			0		other	0
i0902	3	Audio Cue	tu	371661	57643	1			0		other	0
i0902	3	Audio Cue	nu	374161	60142	1			0		other	0
i0902	3	Audio Cue	ga	376661	62642	1			0		other	0
i0902	3	Audio Cue	di	379161	65143	1			0		other	0
i0902	3	Audio Cue	mi	381661	67642	1			0		other	0
i0902	3	Audio Cue	po	384161	70143	1			0		other	0
i0902	3	Response	1	386275	72257	0
i0902	3	Audio Cue	la	386662	72643	1			0		other	0
i0902	3	Audio Cue	za	389161	75143	1			0		other	0
i0902	3	Audio Cue	be	391662	77644	1			0		other	0
i0902	3	Audio Cue	tu	394162	80144	1			0		other	0
i0902	3	Audio Cue	ro	396662	82644	1			0		other	0
i0902	3	Audio Cue	ki	399162	85144	1			0		other	0
i0902	3	Audio Cue	se	401661	87643	1			0		other	0
i0902	3	Audio Cue	nu	404162	90144	1			0		other	0
i0902	3	Audio Cue	ga	406662	92644	1			0		other	0
i0902	3	Response	1	406915	92897	0
i0902	3	Audio Cue	di	409162	95144	1			0		other	0
i0902	3	Audio Cue	za	411662	97644	1			0		other	0
