#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/03/2019 13:47:04
#Subject: i0902
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_44.wav	tempo_seq_A_07.wav	1200	400	3	297.308000000001
1	2	2	tempo_seq_rand_03.wav	tempo_seq_A_13.wav	1200	400	2	422.045999999995
1	3	2	tempo_seq_rand_02.wav	tempo_seq_A_24.wav	1200	400	3	470.192000000003
1	4	1	tempo_seq_A_05.wav	tempo_seq_rand_11.wav	1200	400	2	651.610000000001
1	5	1	tempo_seq_A_06.wav	tempo_seq_rand_15.wav	1200	400	3	770.387999999999
1	6	2	tempo_seq_rand_48.wav	tempo_seq_A_10.wav	1200	400	2	275.843000000008
1	7	2	tempo_seq_rand_37.wav	tempo_seq_A_05.wav	1200	400	3	257.289999999994
1	8	1	tempo_seq_A_09.wav	tempo_seq_rand_31.wav	1200	400	2	647.405999999988
1	9	1	tempo_seq_A_01.wav	tempo_seq_rand_08.wav	1200	400	3	262.228999999992
1	10	2	tempo_seq_rand_10.wav	tempo_seq_A_03.wav	1200	400	2	891.672999999995
1	11	1	tempo_seq_A_04.wav	tempo_seq_rand_38.wav	1200	400	2	1249.09800000001
1	12	1	tempo_seq_A_18.wav	tempo_seq_rand_46.wav	1200	400	2	439.183000000005
2	13	1	tempo_seq_A_15.wav	tempo_seq_rand_36.wav	1200	400	2	1131.54399999999
2	14	2	tempo_seq_rand_45.wav	tempo_seq_A_12.wav	1200	400	3	294.917000000016
2	15	2	tempo_seq_rand_35.wav	tempo_seq_A_20.wav	1200	400	2	627.69200000001
2	16	2	tempo_seq_rand_07.wav	tempo_seq_A_17.wav	1200	400	3	347.14499999999
2	17	1	tempo_seq_A_16.wav	tempo_seq_rand_01.wav	1200	400	3	389.328000000009
2	18	1	tempo_seq_A_17.wav	tempo_seq_rand_43.wav	1200	400	3	366.046999999991
2	19	1	tempo_seq_A_19.wav	tempo_seq_rand_25.wav	1200	400	3	415.498999999982
2	20	2	tempo_seq_rand_41.wav	tempo_seq_A_18.wav	1200	400	2	558.960999999981
2	21	1	tempo_seq_A_03.wav	tempo_seq_rand_42.wav	1200	400	2	425.063999999984
2	22	1	tempo_seq_A_10.wav	tempo_seq_rand_28.wav	1200	400	3	288.587
2	23	2	tempo_seq_rand_40.wav	tempo_seq_A_21.wav	1200	400	3	365.396999999997
2	24	2	tempo_seq_rand_21.wav	tempo_seq_A_15.wav	1200	400	2	622.810999999987
3	25	2	tempo_seq_rand_19.wav	tempo_seq_A_11.wav	1200	400	2	431.90400000001
3	26	2	tempo_seq_rand_20.wav	tempo_seq_A_22.wav	1200	400	2	895.353999999992
3	27	1	tempo_seq_A_22.wav	tempo_seq_rand_30.wav	1200	400	3	1348.04600000003
3	28	1	tempo_seq_A_20.wav	tempo_seq_rand_24.wav	1200	400	3	390.175000000047
3	29	1	tempo_seq_A_13.wav	tempo_seq_rand_32.wav	1200	400	2	1038.95400000003
3	30	2	tempo_seq_rand_23.wav	tempo_seq_A_01.wav	1200	400	3	1374.38700000005
3	31	2	tempo_seq_rand_17.wav	tempo_seq_A_06.wav	1200	400	2	1535.81800000003
3	32	2	tempo_seq_rand_47.wav	tempo_seq_A_19.wav	1200	400	3	835.167000000016
3	33	1	tempo_seq_A_14.wav	tempo_seq_rand_16.wav	1200	400	2	1978.652
3	34	1	tempo_seq_A_24.wav	tempo_seq_rand_22.wav	1200	400	3	667.930999999982
3	35	2	tempo_seq_rand_18.wav	tempo_seq_A_14.wav	1200	400	2	449.380999999994
3	36	1	tempo_seq_A_08.wav	tempo_seq_rand_06.wav	1200	400	3	864.169999999984
4	37	1	tempo_seq_A_12.wav	tempo_seq_rand_26.wav	1200	400	2	347.802000000025
4	38	1	tempo_seq_A_07.wav	tempo_seq_rand_27.wav	1200	400	2	1142.57000000001
4	39	2	tempo_seq_rand_05.wav	tempo_seq_A_09.wav	1200	400	3	946.027000000002
4	40	2	tempo_seq_rand_39.wav	tempo_seq_A_08.wav	1200	400	3	380.092000000004
4	41	1	tempo_seq_A_11.wav	tempo_seq_rand_14.wav	1200	400	2	884.840999999957
4	42	2	tempo_seq_rand_29.wav	tempo_seq_A_16.wav	1200	400	3	906.299999999988
4	43	2	tempo_seq_rand_13.wav	tempo_seq_A_02.wav	1200	400	3	1350.37900000002
4	44	1	tempo_seq_A_23.wav	tempo_seq_rand_34.wav	1200	400	2	945.161999999953
4	45	1	tempo_seq_A_21.wav	tempo_seq_rand_09.wav	1200	400	3	443.88400000002
4	46	1	tempo_seq_A_02.wav	tempo_seq_rand_12.wav	1200	400	2	1515.33100000001
4	47	2	tempo_seq_rand_04.wav	tempo_seq_A_23.wav	1200	400	2	902.698000000033
4	48	2	tempo_seq_rand_33.wav	tempo_seq_A_04.wav	1200	400	2	818.806999999972
