#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/03/2019 13:10:58
#Subject: i0902
#Sex: M
#Age: 28
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_07.wav	tempo_seq_rand_43.wav	1200	400	2	849.392
1	2	2	tempo_seq_rand_42.wav	tempo_seq_A_12.wav	1200	400	3	703.054000000004
1	3	1	tempo_seq_A_20.wav	tempo_seq_rand_18.wav	1200	400	2	577.652999999998
1	4	2	tempo_seq_rand_12.wav	tempo_seq_A_11.wav	1200	400	3	273.795000000013
1	5	1	tempo_seq_A_13.wav	tempo_seq_rand_25.wav	1200	400	3	270.567999999999
1	6	2	tempo_seq_rand_10.wav	tempo_seq_A_13.wav	1200	400	3	324.021999999997
1	7	2	tempo_seq_rand_39.wav	tempo_seq_A_16.wav	1200	400	2	638.169999999998
1	8	1	tempo_seq_A_01.wav	tempo_seq_rand_13.wav	1200	400	3	1828.855
1	9	2	tempo_seq_rand_38.wav	tempo_seq_A_08.wav	1200	400	3	1067.01300000001
1	10	2	tempo_seq_rand_09.wav	tempo_seq_A_19.wav	1200	400	2	727.725999999995
1	11	1	tempo_seq_A_14.wav	tempo_seq_rand_31.wav	1200	400	3	1113.80799999999
1	12	1	tempo_seq_A_23.wav	tempo_seq_rand_48.wav	1200	400	2	652.489000000001
2	13	2	tempo_seq_rand_28.wav	tempo_seq_A_09.wav	1200	400	2	1164.943
2	14	1	tempo_seq_A_10.wav	tempo_seq_rand_45.wav	1200	400	3	399.032000000007
2	15	2	tempo_seq_rand_22.wav	tempo_seq_A_07.wav	1200	400	2	695.842000000004
2	16	2	tempo_seq_rand_08.wav	tempo_seq_A_03.wav	1200	400	3	803.872000000003
2	17	1	tempo_seq_A_15.wav	tempo_seq_rand_41.wav	1200	400	3	380.698999999993
2	18	1	tempo_seq_A_19.wav	tempo_seq_rand_30.wav	1200	400	2	750.087
2	19	2	tempo_seq_rand_15.wav	tempo_seq_A_22.wav	1200	400	3	592.217999999993
2	20	2	tempo_seq_rand_47.wav	tempo_seq_A_23.wav	1200	400	2	473.007000000012
2	21	1	tempo_seq_A_11.wav	tempo_seq_rand_20.wav	1200	400	3	350.478000000003
2	22	1	tempo_seq_A_02.wav	tempo_seq_rand_17.wav	1200	400	2	800.531000000017
2	23	2	tempo_seq_rand_26.wav	tempo_seq_A_21.wav	1200	400	3	641.405999999988
2	24	1	tempo_seq_A_24.wav	tempo_seq_rand_14.wav	1200	400	2	784.06600000005
3	25	1	tempo_seq_A_18.wav	tempo_seq_rand_33.wav	1200	400	2	1394.93699999998
3	26	1	tempo_seq_A_16.wav	tempo_seq_rand_05.wav	1200	400	3	651.005000000005
3	27	1	tempo_seq_A_04.wav	tempo_seq_rand_24.wav	1200	400	2	656.449000000022
3	28	2	tempo_seq_rand_16.wav	tempo_seq_A_24.wav	1200	400	3	941.879000000015
3	29	1	tempo_seq_A_12.wav	tempo_seq_rand_37.wav	1200	400	2	392.638000000035
3	30	1	tempo_seq_A_08.wav	tempo_seq_rand_35.wav	1200	400	3	920.802000000025
3	31	2	tempo_seq_rand_01.wav	tempo_seq_A_18.wav	1200	400	2	1091.511
3	32	2	tempo_seq_rand_04.wav	tempo_seq_A_17.wav	1200	400	3	606.95299999998
3	33	2	tempo_seq_rand_46.wav	tempo_seq_A_04.wav	1200	400	3	870.433000000019
3	34	2	tempo_seq_rand_40.wav	tempo_seq_A_10.wav	1200	400	2	1059.85000000003
3	35	1	tempo_seq_A_22.wav	tempo_seq_rand_34.wav	1200	400	3	313.178000000014
3	36	2	tempo_seq_rand_21.wav	tempo_seq_A_20.wav	1200	400	2	380.64300000004
4	37	2	tempo_seq_rand_44.wav	tempo_seq_A_15.wav	1200	400	2	378.555999999982
4	38	1	tempo_seq_A_05.wav	tempo_seq_rand_11.wav	1200	400	3	268.074999999953
4	39	1	tempo_seq_A_03.wav	tempo_seq_rand_36.wav	1200	400	2	1841.49699999997
4	40	2	tempo_seq_rand_23.wav	tempo_seq_A_05.wav	1200	400	2	695.495999999985
4	41	1	tempo_seq_A_21.wav	tempo_seq_rand_27.wav	1200	400	3	890.964999999967
4	42	1	tempo_seq_A_17.wav	tempo_seq_rand_29.wav	1200	400	3	1655.76299999998
4	43	2	tempo_seq_rand_03.wav	tempo_seq_A_06.wav	1200	400	2	373.763999999966
4	44	1	tempo_seq_A_06.wav	tempo_seq_rand_06.wav	1200	400	3	247.863999999943
4	45	2	tempo_seq_rand_02.wav	tempo_seq_A_02.wav	1200	400	3	446.048999999999
4	46	1	tempo_seq_A_09.wav	tempo_seq_rand_19.wav	1200	400	2	884.798999999999
4	47	2	tempo_seq_rand_07.wav	tempo_seq_A_01.wav	1200	400	2	1114.239
4	48	2	tempo_seq_rand_32.wav	tempo_seq_A_14.wav	1200	400	2	462.837999999989
