Scenario - _RPSL_incidental
Logfile written - 10/03/2019 13:46:42
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

i0902	1	Picture	instruct	333	0	1	147009	1	0	next	other	0
i0902	1	Response	1	146861	146528	0
i0902	2	Sound	ki	182342	35000	1			35000		other	0
i0902	3	Audio Cue	nu	185155	143	1			0		other	0
i0902	3	Sound	cue_linfade_exp_seq_A_05.wav	185155	143	1			0		hit	23
i0902	3	Audio Cue	ga	187655	2644	1			0		other	0
i0902	3	Audio Cue	di	190155	5144	1			0		other	0
i0902	3	Audio Cue	za	192655	7644	1			0		other	0
i0902	3	Audio Cue	be	195155	10144	1			0		other	0
i0902	3	Audio Cue	tu	197657	12645	1			0		other	0
i0902	3	Audio Cue	mi	200157	15146	1			0		other	0
i0902	3	Audio Cue	po	202656	17645	1			0		other	0
i0902	3	Audio Cue	la	205156	20145	1			0		other	0
i0902	3	Audio Cue	za	207656	22645	1			0		other	0
i0902	3	Audio Cue	be	210157	25146	1			0		other	0
i0902	3	Audio Cue	tu	212655	27644	1			0		other	0
i0902	3	Audio Cue	mi	215156	30145	1			0		other	0
i0902	3	Audio Cue	po	217656	32645	1			0		other	0
i0902	3	Audio Cue	la	220156	35145	1			0		other	0
i0902	3	Audio Cue	ro	222656	37645	1			0		other	0
i0902	3	Audio Cue	ki	225157	40145	1			0		other	0
i0902	3	Audio Cue	se	227656	42645	1			0		other	0
i0902	3	Response	1	229581	44570	0
i0902	3	Audio Cue	mi	230156	45145	1			0		other	0
i0902	3	Audio Cue	po	232657	47646	1			0		other	0
i0902	3	Audio Cue	la	235156	50145	1			0		other	0
i0902	3	Audio Cue	za	237656	52645	1			0		other	0
i0902	3	Audio Cue	be	240156	55145	1			0		other	0
i0902	3	Audio Cue	tu	242657	57646	1			0		other	0
i0902	3	Audio Cue	nu	245156	60145	1			0		other	0
i0902	3	Audio Cue	ga	247657	62645	1			0		other	0
i0902	3	Audio Cue	di	250157	65146	1			0		other	0
i0902	3	Audio Cue	mi	252657	67646	1			0		other	0
i0902	3	Audio Cue	po	255158	70146	1			0		other	0
i0902	3	Audio Cue	la	257657	72646	1			0		other	0
i0902	3	Audio Cue	za	260157	75146	1			0		other	0
i0902	3	Audio Cue	be	262657	77646	1			0		other	0
i0902	3	Audio Cue	tu	265158	80147	1			0		other	0
i0902	3	Audio Cue	ro	267658	82646	1			0		other	0
i0902	3	Audio Cue	ki	270158	85147	1			0		other	0
i0902	3	Audio Cue	se	272658	87646	1			0		other	0
i0902	3	Response	1	274381	89370	0
