#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/08/2019 13:03:20
#Subject: j2010
#Sex: M
#Age: 24
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_25.wav	tempo_seq_A_20.wav	1200	400	2	1385.43
1	2	2	tempo_seq_rand_35.wav	tempo_seq_A_09.wav	1200	400	2	232.155999999999
1	3	1	tempo_seq_A_14.wav	tempo_seq_rand_19.wav	1200	400	2	374.309000000001
1	4	1	tempo_seq_A_15.wav	tempo_seq_rand_24.wav	1200	400	3	127.714
1	5	1	tempo_seq_A_07.wav	tempo_seq_rand_10.wav	1200	400	2	161.146999999997
1	6	2	tempo_seq_rand_08.wav	tempo_seq_A_22.wav	1200	400	2	25.9799999999959
1	7	2	tempo_seq_rand_44.wav	tempo_seq_A_15.wav	1200	400	3	73.4130000000005
1	8	1	tempo_seq_A_23.wav	tempo_seq_rand_39.wav	1200	400	3	390.847999999998
1	9	2	tempo_seq_rand_28.wav	tempo_seq_A_05.wav	1200	400	3	79.0109999999986
1	10	1	tempo_seq_A_12.wav	tempo_seq_rand_02.wav	1200	400	2	347.805999999997
1	11	2	tempo_seq_rand_27.wav	tempo_seq_A_16.wav	1200	400	2	165.24500000001
1	12	1	tempo_seq_A_13.wav	tempo_seq_rand_31.wav	1200	400	3	278.661999999997
2	13	2	tempo_seq_rand_41.wav	tempo_seq_A_14.wav	1200	400	3	363.697000000015
2	14	2	tempo_seq_rand_04.wav	tempo_seq_A_11.wav	1200	400	2	93.1479999999865
2	15	2	tempo_seq_rand_43.wav	tempo_seq_A_17.wav	1200	400	2	145.945000000007
2	16	2	tempo_seq_rand_38.wav	tempo_seq_A_08.wav	1200	400	2	116.007000000012
2	17	1	tempo_seq_A_03.wav	tempo_seq_rand_13.wav	1200	400	3	-1.10999999998603
2	18	1	tempo_seq_A_08.wav	tempo_seq_rand_45.wav	1200	400	3	110.356
2	19	2	tempo_seq_rand_05.wav	tempo_seq_A_04.wav	1200	400	2	33.8369999999995
2	20	1	tempo_seq_A_19.wav	tempo_seq_rand_23.wav	1200	400	2	241.285999999993
2	21	1	tempo_seq_A_06.wav	tempo_seq_rand_48.wav	1200	400	2	94.8429999999935
2	22	1	tempo_seq_A_05.wav	tempo_seq_rand_16.wav	1200	400	3	458.839000000007
2	23	1	tempo_seq_A_04.wav	tempo_seq_rand_18.wav	1200	400	3	48.3609999999753
2	24	2	tempo_seq_rand_42.wav	tempo_seq_A_03.wav	1200	400	2	15.0939999999828
3	25	1	tempo_seq_A_18.wav	tempo_seq_rand_09.wav	1200	400	2	111.508000000002
3	26	2	tempo_seq_rand_32.wav	tempo_seq_A_10.wav	1200	400	3	2.98699999996461
3	27	1	tempo_seq_A_17.wav	tempo_seq_rand_01.wav	1200	400	2	42.5329999999958
3	28	2	tempo_seq_rand_22.wav	tempo_seq_A_23.wav	1200	400	2	257.306999999972
3	29	1	tempo_seq_A_22.wav	tempo_seq_rand_34.wav	1200	400	2	248.554000000004
3	30	1	tempo_seq_A_09.wav	tempo_seq_rand_29.wav	1200	400	2	468.852000000014
3	31	1	tempo_seq_A_20.wav	tempo_seq_rand_06.wav	1200	400	2	266.391999999993
3	32	2	tempo_seq_rand_26.wav	tempo_seq_A_02.wav	1200	400	2	191.121000000043
3	33	2	tempo_seq_rand_17.wav	tempo_seq_A_01.wav	1200	400	2	126.582999999984
3	34	2	tempo_seq_rand_21.wav	tempo_seq_A_13.wav	1200	400	2	850.022000000055
3	35	2	tempo_seq_rand_37.wav	tempo_seq_A_07.wav	1200	400	2	199.523999999976
3	36	1	tempo_seq_A_11.wav	tempo_seq_rand_33.wav	1200	400	2	166.864999999991
4	37	1	tempo_seq_A_10.wav	tempo_seq_rand_12.wav	1200	400	2	153.430999999982
4	38	1	tempo_seq_A_24.wav	tempo_seq_rand_46.wav	1200	400	2	226.190999999992
4	39	1	tempo_seq_A_16.wav	tempo_seq_rand_47.wav	1200	400	2	257.671999999962
4	40	1	tempo_seq_A_21.wav	tempo_seq_rand_07.wav	1200	400	2	487.108000000007
4	41	2	tempo_seq_rand_30.wav	tempo_seq_A_21.wav	1200	400	2	435.237000000023
4	42	1	tempo_seq_A_02.wav	tempo_seq_rand_15.wav	1200	400	2	642.089999999967
4	43	2	tempo_seq_rand_14.wav	tempo_seq_A_06.wav	1200	400	2	216.027999999991
4	44	1	tempo_seq_A_01.wav	tempo_seq_rand_36.wav	1200	400	2	1215.63400000002
4	45	2	tempo_seq_rand_11.wav	tempo_seq_A_19.wav	1200	400	2	663.695999999996
4	46	2	tempo_seq_rand_03.wav	tempo_seq_A_24.wav	1200	400	2	621.722999999998
4	47	2	tempo_seq_rand_20.wav	tempo_seq_A_18.wav	1200	400	2	381.158999999985
4	48	2	tempo_seq_rand_40.wav	tempo_seq_A_12.wav	1200	400	2	293.967000000004
