#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/15/2019 15:20:48
#Subject: k0503
#Sex: M
#Age: 22
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_23.wav	tempo_seq_A_03.wav	1200	400	2	346.396000000001
1	2	2	tempo_seq_rand_33.wav	tempo_seq_A_05.wav	1200	400	2	307.966
1	3	1	tempo_seq_A_16.wav	tempo_seq_rand_13.wav	1200	400	3	263.317000000003
1	4	2	tempo_seq_rand_17.wav	tempo_seq_A_20.wav	1200	400	3	252.760000000009
1	5	1	tempo_seq_A_18.wav	tempo_seq_rand_25.wav	1200	400	2	458.278999999995
1	6	1	tempo_seq_A_23.wav	tempo_seq_rand_40.wav	1200	400	3	311.073999999993
1	7	2	tempo_seq_rand_38.wav	tempo_seq_A_02.wav	1200	400	2	282.436000000002
1	8	2	tempo_seq_rand_09.wav	tempo_seq_A_13.wav	1200	400	2	453.922000000006
1	9	1	tempo_seq_A_07.wav	tempo_seq_rand_15.wav	1200	400	2	363.410000000003
1	10	1	tempo_seq_A_12.wav	tempo_seq_rand_03.wav	1200	400	3	348.184999999998
1	11	2	tempo_seq_rand_02.wav	tempo_seq_A_12.wav	1200	400	3	1382.26899999999
1	12	1	tempo_seq_A_22.wav	tempo_seq_rand_30.wav	1200	400	2	421.656000000017
2	13	2	tempo_seq_rand_11.wav	tempo_seq_A_11.wav	1200	400	2	431.551999999996
2	14	1	tempo_seq_A_08.wav	tempo_seq_rand_05.wav	1200	400	3	269.606999999989
2	15	2	tempo_seq_rand_12.wav	tempo_seq_A_16.wav	1200	400	3	539.085999999981
2	16	1	tempo_seq_A_19.wav	tempo_seq_rand_24.wav	1200	400	3	268.543999999994
2	17	1	tempo_seq_A_01.wav	tempo_seq_rand_21.wav	1200	400	2	417.989000000001
2	18	2	tempo_seq_rand_42.wav	tempo_seq_A_24.wav	1200	400	2	320.814000000013
2	19	1	tempo_seq_A_03.wav	tempo_seq_rand_31.wav	1200	400	3	1556.28400000001
2	20	2	tempo_seq_rand_45.wav	tempo_seq_A_04.wav	1200	400	3	1725.647
2	21	1	tempo_seq_A_21.wav	tempo_seq_rand_16.wav	1200	400	3	1593.02500000002
2	22	1	tempo_seq_A_20.wav	tempo_seq_rand_04.wav	1200	400	2	905.062999999995
2	23	2	tempo_seq_rand_10.wav	tempo_seq_A_10.wav	1200	400	3	949.13499999998
2	24	2	tempo_seq_rand_20.wav	tempo_seq_A_15.wav	1200	400	3	815.245999999985
3	25	2	tempo_seq_rand_34.wav	tempo_seq_A_17.wav	1200	400	2	2751.97000000003
3	26	1	tempo_seq_A_15.wav	tempo_seq_rand_26.wav	1200	400	3	138.592999999993
3	27	2	tempo_seq_rand_19.wav	tempo_seq_A_07.wav	1200	400	3	606.063999999955
3	28	1	tempo_seq_A_24.wav	tempo_seq_rand_27.wav	1200	400	3	485.553000000014
3	29	1	tempo_seq_A_14.wav	tempo_seq_rand_47.wav	1200	400	3	298.299999999988
3	30	1	tempo_seq_A_06.wav	tempo_seq_rand_18.wav	1200	400	2	1782.48200000002
3	31	2	tempo_seq_rand_46.wav	tempo_seq_A_01.wav	1200	400	2	1599.15499999997
3	32	1	tempo_seq_A_11.wav	tempo_seq_rand_06.wav	1200	400	2	3447.22700000001
3	33	1	tempo_seq_A_05.wav	tempo_seq_rand_07.wav	1200	400	3	973.834000000032
3	34	2	tempo_seq_rand_37.wav	tempo_seq_A_18.wav	1200	400	3	4031.27799999999
3	35	2	tempo_seq_rand_41.wav	tempo_seq_A_19.wav	1200	400	2	1206.52100000001
3	36	2	tempo_seq_rand_44.wav	tempo_seq_A_14.wav	1200	400	3	630.515000000014
4	37	1	tempo_seq_A_17.wav	tempo_seq_rand_35.wav	1200	400	2	873.385000000009
4	38	1	tempo_seq_A_04.wav	tempo_seq_rand_08.wav	1200	400	2	351.501999999979
4	39	2	tempo_seq_rand_14.wav	tempo_seq_A_08.wav	1200	400	3	410.328000000038
4	40	1	tempo_seq_A_09.wav	tempo_seq_rand_32.wav	1200	400	3	969.803000000014
4	41	2	tempo_seq_rand_39.wav	tempo_seq_A_06.wav	1200	400	2	635.214999999967
4	42	2	tempo_seq_rand_43.wav	tempo_seq_A_09.wav	1200	400	2	170.664999999979
4	43	1	tempo_seq_A_10.wav	tempo_seq_rand_28.wav	1200	400	2	540.084999999963
4	44	2	tempo_seq_rand_36.wav	tempo_seq_A_22.wav	1200	400	2	439.580000000016
4	45	2	tempo_seq_rand_22.wav	tempo_seq_A_21.wav	1200	400	2	1525.71600000001
4	46	1	tempo_seq_A_02.wav	tempo_seq_rand_48.wav	1200	400	2	1952.43300000002
4	47	2	tempo_seq_rand_01.wav	tempo_seq_A_23.wav	1200	400	3	1009.77800000005
4	48	1	tempo_seq_A_13.wav	tempo_seq_rand_29.wav	1200	400	3	329.182999999961
