#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/27/2019 10:46:15
#Subject: k0511
#Sex: F
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_11.wav	tempo_seq_rand_44.wav	1200	400	2	395.870999999999
1	2	1	tempo_seq_A_13.wav	tempo_seq_rand_04.wav	1200	400	2	479.322999999997
1	3	2	tempo_seq_rand_36.wav	tempo_seq_A_10.wav	1200	400	2	1398.79
1	4	2	tempo_seq_rand_42.wav	tempo_seq_A_17.wav	1200	400	3	418.197
1	5	2	tempo_seq_rand_47.wav	tempo_seq_A_18.wav	1200	400	2	813.649000000005
1	6	1	tempo_seq_A_16.wav	tempo_seq_rand_25.wav	1200	400	2	465.097000000009
1	7	2	tempo_seq_rand_07.wav	tempo_seq_A_15.wav	1200	400	3	592.498999999996
1	8	2	tempo_seq_rand_48.wav	tempo_seq_A_22.wav	1200	400	2	379.930999999997
1	9	2	tempo_seq_rand_32.wav	tempo_seq_A_11.wav	1200	400	2	591.40400000001
1	10	1	tempo_seq_A_09.wav	tempo_seq_rand_40.wav	1200	400	2	290.816999999995
1	11	1	tempo_seq_A_03.wav	tempo_seq_rand_16.wav	1200	400	2	314.308999999994
1	12	1	tempo_seq_A_20.wav	tempo_seq_rand_05.wav	1200	400	2	585.748999999982
2	13	1	tempo_seq_A_07.wav	tempo_seq_rand_15.wav	1200	400	2	512.807000000001
2	14	2	tempo_seq_rand_26.wav	tempo_seq_A_16.wav	1200	400	2	344.23000000001
2	15	2	tempo_seq_rand_17.wav	tempo_seq_A_24.wav	1200	400	2	719.657000000007
2	16	2	tempo_seq_rand_18.wav	tempo_seq_A_04.wav	1200	400	2	543.107000000018
2	17	1	tempo_seq_A_23.wav	tempo_seq_rand_33.wav	1200	400	2	366.561999999976
2	18	2	tempo_seq_rand_06.wav	tempo_seq_A_06.wav	1200	400	2	474.003999999986
2	19	1	tempo_seq_A_21.wav	tempo_seq_rand_21.wav	1200	400	3	777.456000000006
2	20	2	tempo_seq_rand_01.wav	tempo_seq_A_20.wav	1200	400	2	1652.94200000001
2	21	2	tempo_seq_rand_31.wav	tempo_seq_A_14.wav	1200	400	2	1020.29799999998
2	22	1	tempo_seq_A_17.wav	tempo_seq_rand_35.wav	1200	400	2	351.703999999998
2	23	1	tempo_seq_A_01.wav	tempo_seq_rand_08.wav	1200	400	2	579.157000000007
2	24	1	tempo_seq_A_04.wav	tempo_seq_rand_37.wav	1200	400	3	670.553000000014
3	25	2	tempo_seq_rand_13.wav	tempo_seq_A_07.wav	1200	400	3	373.700000000012
3	26	1	tempo_seq_A_05.wav	tempo_seq_rand_03.wav	1200	400	2	545.119000000006
3	27	2	tempo_seq_rand_28.wav	tempo_seq_A_12.wav	1200	400	2	444.602000000014
3	28	1	tempo_seq_A_19.wav	tempo_seq_rand_10.wav	1200	400	3	1468.04200000002
3	29	2	tempo_seq_rand_19.wav	tempo_seq_A_23.wav	1200	400	2	1523.42999999999
3	30	1	tempo_seq_A_10.wav	tempo_seq_rand_23.wav	1200	400	2	2026.88999999996
3	31	1	tempo_seq_A_15.wav	tempo_seq_rand_29.wav	1200	400	2	1390.13499999995
3	32	1	tempo_seq_A_08.wav	tempo_seq_rand_27.wav	1200	400	2	537.601999999955
3	33	1	tempo_seq_A_24.wav	tempo_seq_rand_22.wav	1200	400	3	792.978000000003
3	34	2	tempo_seq_rand_46.wav	tempo_seq_A_19.wav	1200	400	2	364.45299999998
3	35	2	tempo_seq_rand_38.wav	tempo_seq_A_13.wav	1200	400	2	639.898999999976
3	36	2	tempo_seq_rand_34.wav	tempo_seq_A_21.wav	1200	400	2	547.331999999995
4	37	1	tempo_seq_A_02.wav	tempo_seq_rand_09.wav	1200	400	2	338.290000000037
4	38	1	tempo_seq_A_06.wav	tempo_seq_rand_14.wav	1200	400	3	1137.80900000001
4	39	2	tempo_seq_rand_12.wav	tempo_seq_A_09.wav	1200	400	2	529.226000000024
4	40	2	tempo_seq_rand_45.wav	tempo_seq_A_02.wav	1200	400	2	552.657000000007
4	41	1	tempo_seq_A_22.wav	tempo_seq_rand_02.wav	1200	400	2	324.089000000036
4	42	2	tempo_seq_rand_30.wav	tempo_seq_A_03.wav	1200	400	3	403.540000000037
4	43	2	tempo_seq_rand_11.wav	tempo_seq_A_08.wav	1200	400	2	591.019000000029
4	44	1	tempo_seq_A_14.wav	tempo_seq_rand_20.wav	1200	400	3	450.405999999959
4	45	1	tempo_seq_A_12.wav	tempo_seq_rand_39.wav	1200	400	2	369.879000000015
4	46	2	tempo_seq_rand_43.wav	tempo_seq_A_05.wav	1200	400	2	341.315000000002
4	47	2	tempo_seq_rand_41.wav	tempo_seq_A_01.wav	1200	400	2	3580.76199999999
4	48	1	tempo_seq_A_18.wav	tempo_seq_rand_24.wav	1200	400	2	328.148999999976
