Scenario - _RPSL_incidental
Logfile written - 09/26/2019 10:42:51

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

k1234	1	Picture	instruct	166	0	1	374023	2	0	next	other	0
k1234	1	Response	1	372845	372679	0
k1234	2	Response	1	393004	18815	0
k1234	2	Sound	be	409116	34926	1			35000		other	0
k1234	3	Audio Cue	di	413218	1526	1			0		other	0
k1234	3	Sound	cue_linfade_exp_seq_A_24.wav	413218	1526	1			0		hit	7
k1234	3	Response	1	413404	1712	0
k1234	3	Audio Cue	za	415718	4026	1			0		other	0
k1234	3	Audio Cue	la	418219	6527	1			0		other	0
k1234	3	Audio Cue	nu	420719	9027	1			0		other	0
k1234	3	Audio Cue	po	423218	11526	1			0		other	0
k1234	3	Audio Cue	tu	425718	14026	1			0		other	0
k1234	3	Audio Cue	ro	428219	16527	1			0		other	0
k1234	3	Response	1	429165	17473	0
k1234	3	Audio Cue	mi	430719	19027	1			0		other	0
k1234	3	Audio Cue	ki	433218	21526	1			0		other	0
k1234	3	Audio Cue	ga	435718	24026	1			0		other	0
k1234	3	Audio Cue	be	438219	26527	1			0		other	0
k1234	3	Audio Cue	se	440719	29027	1			0		other	0
k1234	3	Audio Cue	di	443219	31527	1			0		other	0
k1234	3	Audio Cue	za	445720	34028	1			0		other	0
k1234	3	Audio Cue	tu	448219	36527	1			0		other	0
k1234	3	Response	1	450604	38912	0
k1234	3	Audio Cue	ro	450719	39027	1			0		other	0
k1234	3	Audio Cue	mi	453219	41528	1			0		other	0
k1234	3	Audio Cue	ki	455719	44028	1			0		other	0
k1234	3	Audio Cue	ga	458220	46528	1			0		other	0
k1234	3	Audio Cue	be	460720	49028	1			0		other	0
k1234	3	Audio Cue	la	463220	51528	1			0		other	0
k1234	3	Audio Cue	nu	465720	54028	1			0		other	0
k1234	3	Audio Cue	po	468220	56528	1			0		other	0
k1234	3	Audio Cue	ki	470721	59029	1			0		other	0
k1234	3	Audio Cue	ga	473220	61528	1			0		other	0
k1234	3	Audio Cue	be	475720	64028	1			0		other	0
k1234	3	Audio Cue	se	478220	66528	1			0		other	0
k1234	3	Audio Cue	di	480721	69029	1			0		other	0
k1234	3	Audio Cue	za	483220	71528	1			0		other	0
k1234	3	Audio Cue	la	485720	74028	1			0		other	0
k1234	3	Audio Cue	nu	488221	76529	1			0		other	0
k1234	3	Audio Cue	po	490721	79029	1			0		other	0
k1234	3	Audio Cue	ki	493221	81529	1			0		other	0
k1234	3	Audio Cue	ga	495721	84029	1			0		other	0
k1234	3	Response	1	496684	84992	0
k1234	3	Audio Cue	be	498221	86529	1			0		other	0
k1234	3	Audio Cue	se	500721	89029	1			0		other	0
k1234	3	Audio Cue	di	503221	91529	1			0		other	0
k1234	3	Audio Cue	za	505721	94029	1			0		other	0
k1234	3	Audio Cue	la	508221	96529	1			0		other	0
k1234	3	Audio Cue	nu	510721	99029	1			0		other	0
k1234	3	Audio Cue	po	513221	101529	1			0		other	0
k1234	3	Audio Cue	se	515722	104030	1			0		other	0
k1234	3	Audio Cue	di	518222	106530	1			0		other	0
k1234	3	Audio Cue	za	520722	109030	1			0		other	0
k1234	3	Audio Cue	tu	523222	111530	1			0		other	0
k1234	3	Audio Cue	ro	525722	114030	1			0		other	0
k1234	3	Audio Cue	mi	528222	116530	1			0		other	0
k1234	3	Audio Cue	se	530721	119029	1			0		other	0
k1234	3	Audio Cue	di	533222	121530	1			0		other	0
k1234	3	Response	1	533725	122033	0
k1234	3	Audio Cue	za	535722	124030	1			0		other	0
k1234	3	Audio Cue	la	538222	126530	1			0		other	0
k1234	3	Audio Cue	nu	540722	129030	1			0		other	0
k1234	3	Audio Cue	po	543222	131530	1			0		other	0
k1234	3	Audio Cue	tu	545723	134031	1			0		other	0
k1234	3	Audio Cue	ro	548222	136530	1			0		other	0
k1234	3	Audio Cue	mi	550722	139030	1			0		other	0
k1234	3	Audio Cue	la	553222	141530	1			0		other	0
k1234	3	Audio Cue	nu	555723	144031	1			0		other	0
k1234	3	Audio Cue	po	558223	146531	1			0		other	0
k1234	3	Audio Cue	se	560722	149030	1			0		other	0
k1234	3	Response	1	562925	151233	0
k1234	3	Audio Cue	di	563223	151531	1			0		other	0
k1234	3	Audio Cue	za	565723	154031	1			0		other	0
k1234	3	Audio Cue	tu	568223	156531	1			0		other	0
k1234	3	Audio Cue	ro	570723	159031	1			0		other	0
k1234	3	Audio Cue	mi	573223	161531	1			0		other	0
k1234	3	Audio Cue	ki	575723	164031	1			0		other	0
k1234	3	Audio Cue	ga	578223	166531	1			0		other	0
k1234	3	Audio Cue	be	580723	169031	1			0		other	0
k1234	3	Audio Cue	la	583224	171532	1			0		other	0
k1234	3	Audio Cue	nu	585723	174032	1			0		other	0
k1234	3	Audio Cue	po	588223	176531	1			0		other	0
k1234	3	Audio Cue	se	590724	179032	1			0		other	0
k1234	3	Audio Cue	di	593224	181532	1			0		other	0
k1234	3	Audio Cue	za	595723	184031	1			0		other	0
k1234	3	Audio Cue	ki	598223	186531	1			0		other	0
k1234	3	Response	1	600444	188752	0
k1234	3	Audio Cue	ga	600724	189032	1			0		other	0
k1234	3	Audio Cue	be	603224	191532	1			0		other	0
k1234	3	Audio Cue	tu	605724	194032	1			0		other	0
k1234	3	Audio Cue	ro	608224	196532	1			0		other	0
k1234	3	Audio Cue	mi	610725	199033	1			0		other	0
k1234	3	Audio Cue	ki	613224	201532	1			0		other	0
k1234	3	Audio Cue	ga	615724	204032	1			0		other	0
k1234	3	Audio Cue	be	618224	206532	1			0		other	0
k1234	3	Audio Cue	tu	620724	209032	1			0		other	0
k1234	3	Audio Cue	ro	623225	211533	1			0		other	0
k1234	3	Audio Cue	mi	625725	214033	1			0		other	0
k1234	3	Audio Cue	ki	628224	216532	1			0		other	0
k1234	3	Audio Cue	ga	630725	219033	1			0		other	0
k1234	3	Audio Cue	be	633225	221533	1			0		other	0
k1234	3	Audio Cue	la	635725	224033	1			0		other	0
k1234	3	Audio Cue	nu	638225	226533	1			0		other	0
k1234	3	Audio Cue	po	640725	229033	1			0		other	0
k1234	3	Audio Cue	ki	643225	231533	1			0		other	0
k1234	3	Response	1	644204	232513	0
k1234	3	Audio Cue	ga	645725	234033	1			0		other	0
k1234	3	Audio Cue	be	648225	236533	1			0		other	0
k1234	3	Audio Cue	la	650725	239033	1			0		other	0
k1234	3	Audio Cue	nu	653225	241533	1			0		other	0
k1234	3	Audio Cue	po	655726	244034	1			0		other	0
k1234	3	Audio Cue	tu	658226	246534	1			0		other	0
k1234	3	Audio Cue	ro	660726	249034	1			0		other	0
k1234	3	Audio Cue	mi	663226	251534	1			0		other	0
k1234	3	Audio Cue	se	665725	254033	1			0		other	0
k1234	3	Audio Cue	di	668226	256534	1			0		other	0
k1234	3	Audio Cue	za	670726	259034	1			0		other	0
k1234	3	Audio Cue	tu	673227	261535	1			0		other	0
k1234	3	Audio Cue	ro	675726	264034	1			0		other	0
k1234	3	Response	1	677005	265313	0
k1234	3	Audio Cue	mi	678226	266534	1			0		other	0
k1234	3	Audio Cue	se	680726	269034	1			0		other	0
k1234	3	Audio Cue	di	683227	271535	1			0		other	0
k1234	3	Audio Cue	za	685727	274035	1			0		other	0
k1234	3	Audio Cue	tu	688227	276535	1			0		other	0
k1234	3	Audio Cue	ro	690727	279036	1			0		other	0
k1234	3	Audio Cue	mi	693226	281534	1			0		other	0
k1234	3	Audio Cue	ki	695726	284034	1			0		other	0
k1234	3	Audio Cue	ga	698227	286535	1			0		other	0
k1234	3	Audio Cue	be	700727	289035	1			0		other	0
k1234	3	Audio Cue	tu	703227	291536	1			0		other	0
k1234	3	Response	1	703805	292113	0
k1234	3	Audio Cue	ro	705728	294036	1			0		other	0
