Scenario - _RPSL_incidental
Logfile written - 09/27/2019 14:40:42
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

k1408	1	Picture	instruct	166	0	1	775046	1	0	next	other	0
k1408	1	Response	1	774607	774441	0
k1408	2	Sound	ga	810225	35013	1			35000		other	0
k1408	3	Audio Cue	ro	814706	1825	1			0		other	0
k1408	3	Sound	cue_linfade_exp_seq_A_13.wav	814706	1825	1			0		hit	26
k1408	3	Audio Cue	ki	817205	4324	1			0		other	0
k1408	3	Audio Cue	se	819706	6825	1			0		other	0
k1408	3	Audio Cue	nu	822206	9324	1			0		other	0
k1408	3	Audio Cue	ga	824706	11825	1			0		other	0
k1408	3	Audio Cue	di	827206	14325	1			0		other	0
k1408	3	Audio Cue	mi	829707	16825	1			0		other	0
k1408	3	Audio Cue	po	832206	19324	1			0		other	0
k1408	3	Audio Cue	la	834705	21824	1			0		other	0
k1408	3	Audio Cue	za	837206	24325	1			0		other	0
k1408	3	Audio Cue	be	839706	26825	1			0		other	0
k1408	3	Audio Cue	tu	842206	29325	1			0		other	0
k1408	3	Audio Cue	mi	844707	31825	1			0		other	0
k1408	3	Audio Cue	po	847207	34326	1			0		other	0
k1408	3	Audio Cue	la	849707	36826	1			0		other	0
k1408	3	Audio Cue	ro	852206	39325	1			0		other	0
k1408	3	Audio Cue	ki	854706	41825	1			0		other	0
k1408	3	Audio Cue	se	857206	44325	1			0		other	0
k1408	3	Audio Cue	nu	859706	46825	1			0		other	0
k1408	3	Audio Cue	ga	862207	49326	1			0		other	0
k1408	3	Audio Cue	di	864707	51826	1			0		other	0
k1408	3	Response	1	865647	52766	0
k1408	3	Audio Cue	mi	867206	54325	1			0		other	0
k1408	3	Audio Cue	po	869706	56825	1			0		other	0
k1408	3	Audio Cue	la	872207	59326	1			0		other	0
k1408	3	Audio Cue	ro	874707	61826	1			0		other	0
k1408	3	Audio Cue	ki	877207	64326	1			0		other	0
k1408	3	Audio Cue	se	879707	66826	1			0		other	0
k1408	3	Audio Cue	za	882206	69325	1			0		other	0
k1408	3	Audio Cue	be	884707	71826	1			0		other	0
k1408	3	Audio Cue	tu	887207	74326	1			0		other	0
k1408	3	Audio Cue	nu	889708	76826	1			0		other	0
k1408	3	Audio Cue	ga	892208	79327	1			0		other	0
k1408	3	Audio Cue	di	894707	81826	1			0		other	0
k1408	3	Response	1	895087	82205	0
k1408	3	Audio Cue	mi	897207	84326	1			0		other	0
k1408	3	Audio Cue	po	899708	86826	1			0		other	0
k1408	3	Audio Cue	la	902208	89327	1			0		other	0
k1408	3	Audio Cue	ro	904708	91827	1			0		other	0
k1408	3	Audio Cue	ki	907208	94327	1			0		other	0
k1408	3	Audio Cue	se	909708	96827	1			0		other	0
k1408	3	Audio Cue	za	912208	99327	1			0		other	0
k1408	3	Audio Cue	be	914709	101827	1			0		other	0
k1408	3	Audio Cue	tu	917208	104327	1			0		other	0
k1408	3	Audio Cue	ro	919708	106827	1			0		other	0
k1408	3	Audio Cue	ki	922208	109327	1			0		other	0
k1408	3	Audio Cue	se	924708	111827	1			0		other	0
k1408	3	Audio Cue	mi	927208	114327	1			0		other	0
k1408	3	Audio Cue	po	929708	116827	1			0		other	0
k1408	3	Audio Cue	la	932208	119327	1			0		other	0
k1408	3	Audio Cue	za	934709	121828	1			0		other	0
k1408	3	Audio Cue	be	937209	124328	1			0		other	0
k1408	3	Audio Cue	tu	939709	126828	1			0		other	0
k1408	3	Audio Cue	mi	942210	129328	1			0		other	0
k1408	3	Audio Cue	po	944709	131828	1			0		other	0
k1408	3	Audio Cue	la	947209	134328	1			0		other	0
k1408	3	Audio Cue	ro	949709	136828	1			0		other	0
k1408	3	Audio Cue	ki	952209	139328	1			0		other	0
k1408	3	Audio Cue	se	954710	141829	1			0		other	0
k1408	3	Audio Cue	nu	957209	144327	1			0		other	0
k1408	3	Audio Cue	ga	959710	146829	1			0		other	0
k1408	3	Audio Cue	di	962210	149328	1			0		other	0
k1408	3	Response	1	963888	151007	0
k1408	3	Audio Cue	ro	964709	151828	1			0		other	0
k1408	3	Audio Cue	ki	967210	154329	1			0		other	0
k1408	3	Audio Cue	se	969710	156829	1			0		other	0
k1408	3	Audio Cue	mi	972210	159328	1			0		other	0
k1408	3	Audio Cue	po	974710	161829	1			0		other	0
k1408	3	Audio Cue	la	977210	164329	1			0		other	0
k1408	3	Audio Cue	nu	979710	166829	1			0		other	0
k1408	3	Audio Cue	ga	982210	169329	1			0		other	0
k1408	3	Audio Cue	di	984710	171829	1			0		other	0
k1408	3	Response	1	986767	173886	0
k1408	3	Audio Cue	za	987210	174329	1			0		other	0
k1408	3	Audio Cue	be	989710	176829	1			0		other	0
k1408	3	Audio Cue	tu	992210	179329	1			0		other	0
k1408	3	Audio Cue	nu	994710	181829	1			0		other	0
k1408	3	Audio Cue	ga	997210	184329	1			0		other	0
k1408	3	Audio Cue	di	999710	186829	1			0		other	0
k1408	3	Response	1	1001407	188526	0
k1408	3	Audio Cue	ro	1002211	189329	1			0		other	0
k1408	3	Audio Cue	ki	1004711	191830	1			0		other	0
k1408	3	Audio Cue	se	1007210	194329	1			0		other	0
