#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/27/2019 14:41:11
#Subject: k1408
#Sex: Sex
#Age: m
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_16.wav	tempo_seq_A_02.wav	1200	400	3	283.129999999997
1	2	2	tempo_seq_rand_01.wav	tempo_seq_A_14.wav	1200	400	2	266.587999999996
1	3	1	tempo_seq_A_05.wav	tempo_seq_rand_21.wav	1200	400	2	274.020000000004
1	4	1	tempo_seq_A_19.wav	tempo_seq_rand_12.wav	1200	400	3	377.456000000006
1	5	1	tempo_seq_A_15.wav	tempo_seq_rand_47.wav	1200	400	3	420.957999999999
1	6	1	tempo_seq_A_17.wav	tempo_seq_rand_28.wav	1200	400	2	512.400999999998
1	7	1	tempo_seq_A_04.wav	tempo_seq_rand_14.wav	1200	400	2	855.835999999996
1	8	2	tempo_seq_rand_11.wav	tempo_seq_A_15.wav	1200	400	2	679.267999999996
1	9	2	tempo_seq_rand_17.wav	tempo_seq_A_01.wav	1200	400	3	654.762000000002
1	10	2	tempo_seq_rand_06.wav	tempo_seq_A_22.wav	1200	400	2	806.122999999992
1	11	1	tempo_seq_A_10.wav	tempo_seq_rand_20.wav	1200	400	3	425.552000000025
1	12	2	tempo_seq_rand_30.wav	tempo_seq_A_03.wav	1200	400	3	557.032000000007
2	13	1	tempo_seq_A_02.wav	tempo_seq_rand_44.wav	1200	400	3	339.845000000001
2	14	1	tempo_seq_A_21.wav	tempo_seq_rand_08.wav	1200	400	3	1075.36700000003
2	15	1	tempo_seq_A_24.wav	tempo_seq_rand_48.wav	1200	400	2	602.755000000005
2	16	1	tempo_seq_A_20.wav	tempo_seq_rand_31.wav	1200	400	3	910.187999999995
2	17	2	tempo_seq_rand_46.wav	tempo_seq_A_20.wav	1200	400	3	589.565000000002
2	18	2	tempo_seq_rand_13.wav	tempo_seq_A_08.wav	1200	400	2	833.035000000003
2	19	2	tempo_seq_rand_26.wav	tempo_seq_A_18.wav	1200	400	3	932.448999999993
2	20	2	tempo_seq_rand_34.wav	tempo_seq_A_07.wav	1200	400	3	395.915999999997
2	21	2	tempo_seq_rand_15.wav	tempo_seq_A_17.wav	1200	400	2	1039.34099999999
2	22	1	tempo_seq_A_08.wav	tempo_seq_rand_24.wav	1200	400	3	1282.75899999996
2	23	1	tempo_seq_A_09.wav	tempo_seq_rand_22.wav	1200	400	2	1122.19699999999
2	24	2	tempo_seq_rand_43.wav	tempo_seq_A_13.wav	1200	400	3	1529.59900000005
3	25	1	tempo_seq_A_22.wav	tempo_seq_rand_19.wav	1200	400	3	356.431999999972
3	26	2	tempo_seq_rand_09.wav	tempo_seq_A_04.wav	1200	400	2	391.861000000034
3	27	1	tempo_seq_A_16.wav	tempo_seq_rand_39.wav	1200	400	2	595.295000000042
3	28	2	tempo_seq_rand_18.wav	tempo_seq_A_06.wav	1200	400	2	782.725000000035
3	29	1	tempo_seq_A_12.wav	tempo_seq_rand_40.wav	1200	400	2	522.225999999966
3	30	2	tempo_seq_rand_42.wav	tempo_seq_A_09.wav	1200	400	3	537.660999999964
3	31	2	tempo_seq_rand_27.wav	tempo_seq_A_10.wav	1200	400	3	1741.09999999998
3	32	2	tempo_seq_rand_07.wav	tempo_seq_A_19.wav	1200	400	2	433.119000000006
3	33	1	tempo_seq_A_03.wav	tempo_seq_rand_02.wav	1200	400	2	1060.603
3	34	2	tempo_seq_rand_36.wav	tempo_seq_A_23.wav	1200	400	3	499.966000000015
3	35	1	tempo_seq_A_11.wav	tempo_seq_rand_33.wav	1200	400	3	627.434999999998
3	36	1	tempo_seq_A_18.wav	tempo_seq_rand_32.wav	1200	400	3	606.831999999995
4	37	2	tempo_seq_rand_35.wav	tempo_seq_A_11.wav	1200	400	2	305.925999999978
4	38	2	tempo_seq_rand_03.wav	tempo_seq_A_21.wav	1200	400	3	961.323000000033
4	39	2	tempo_seq_rand_04.wav	tempo_seq_A_16.wav	1200	400	2	452.075000000012
4	40	1	tempo_seq_A_07.wav	tempo_seq_rand_10.wav	1200	400	3	3652.16399999999
4	41	2	tempo_seq_rand_05.wav	tempo_seq_A_05.wav	1200	400	3	723.407999999996
4	42	1	tempo_seq_A_23.wav	tempo_seq_rand_23.wav	1200	400	2	642.88400000002
4	43	1	tempo_seq_A_14.wav	tempo_seq_rand_45.wav	1200	400	2	1214.31799999997
4	44	2	tempo_seq_rand_38.wav	tempo_seq_A_12.wav	1200	400	2	529.712
4	45	2	tempo_seq_rand_29.wav	tempo_seq_A_24.wav	1200	400	2	993.165999999968
4	46	1	tempo_seq_A_01.wav	tempo_seq_rand_41.wav	1200	400	3	900.526000000013
4	47	1	tempo_seq_A_13.wav	tempo_seq_rand_37.wav	1200	400	3	1092.01300000004
4	48	1	tempo_seq_A_06.wav	tempo_seq_rand_25.wav	1200	400	2	507.395000000019
