#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/14/2019 17:58:16
#Subject: k1707
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_17.wav	tempo_seq_rand_15.wav	1200	400	3	2355.44100000001
1	2	1	tempo_seq_A_11.wav	tempo_seq_rand_39.wav	1200	400	2	942.144
1	3	2	tempo_seq_rand_37.wav	tempo_seq_A_06.wav	1200	400	2	1376.18299999999
1	4	1	tempo_seq_A_21.wav	tempo_seq_rand_46.wav	1200	400	2	1105.632
1	5	2	tempo_seq_rand_32.wav	tempo_seq_A_23.wav	1200	400	2	3244.99399999999
1	6	2	tempo_seq_rand_07.wav	tempo_seq_A_07.wav	1200	400	3	2411.63100000001
1	7	2	tempo_seq_rand_08.wav	tempo_seq_A_19.wav	1200	400	3	2018.978
1	8	2	tempo_seq_rand_47.wav	tempo_seq_A_24.wav	1200	400	2	1810.321
1	9	1	tempo_seq_A_20.wav	tempo_seq_rand_42.wav	1200	400	2	2315.03100000002
1	10	1	tempo_seq_A_24.wav	tempo_seq_rand_16.wav	1200	400	2	4727.06299999999
1	11	1	tempo_seq_A_12.wav	tempo_seq_rand_25.wav	1200	400	3	3066.193
1	12	2	tempo_seq_rand_18.wav	tempo_seq_A_10.wav	1200	400	3	1823.55600000001
2	13	2	tempo_seq_rand_24.wav	tempo_seq_A_05.wav	1200	400	2	3757.33399999997
2	14	1	tempo_seq_A_16.wav	tempo_seq_rand_22.wav	1200	400	2	10239.286
2	15	1	tempo_seq_A_15.wav	tempo_seq_rand_05.wav	1200	400	2	7725.49900000001
2	16	1	tempo_seq_A_18.wav	tempo_seq_rand_11.wav	1200	400	3	1544.5
2	17	2	tempo_seq_rand_17.wav	tempo_seq_A_13.wav	1200	400	2	2763.20699999999
2	18	1	tempo_seq_A_02.wav	tempo_seq_rand_03.wav	1200	400	2	1373.234
2	19	2	tempo_seq_rand_44.wav	tempo_seq_A_20.wav	1200	400	3	3294.59700000001
2	20	1	tempo_seq_A_03.wav	tempo_seq_rand_41.wav	1200	400	2	2363.23699999996
2	21	1	tempo_seq_A_04.wav	tempo_seq_rand_21.wav	1200	400	2	5876.57200000004
2	22	2	tempo_seq_rand_43.wav	tempo_seq_A_03.wav	1200	400	3	11761.8
2	23	2	tempo_seq_rand_48.wav	tempo_seq_A_22.wav	1200	400	2	1082.49200000003
2	24	2	tempo_seq_rand_09.wav	tempo_seq_A_15.wav	1200	400	2	4383.93099999998
3	25	2	tempo_seq_rand_29.wav	tempo_seq_A_18.wav	1200	400	2	6417.32999999996
3	26	2	tempo_seq_rand_19.wav	tempo_seq_A_04.wav	1200	400	2	5824.424
3	27	1	tempo_seq_A_22.wav	tempo_seq_rand_04.wav	1200	400	2	6535.571
3	28	2	tempo_seq_rand_14.wav	tempo_seq_A_01.wav	1200	400	3	2586.658
3	29	1	tempo_seq_A_13.wav	tempo_seq_rand_36.wav	1200	400	3	4339.98599999998
3	30	1	tempo_seq_A_07.wav	tempo_seq_rand_20.wav	1200	400	2	5782.533
3	31	1	tempo_seq_A_08.wav	tempo_seq_rand_40.wav	1200	400	2	3519.68400000001
3	32	1	tempo_seq_A_14.wav	tempo_seq_rand_02.wav	1200	400	3	5210.91199999995
3	33	2	tempo_seq_rand_01.wav	tempo_seq_A_17.wav	1200	400	2	3906.75099999999
3	34	2	tempo_seq_rand_45.wav	tempo_seq_A_11.wav	1200	400	2	4199.36200000002
3	35	2	tempo_seq_rand_34.wav	tempo_seq_A_08.wav	1200	400	2	7471.22999999998
3	36	1	tempo_seq_A_23.wav	tempo_seq_rand_12.wav	1200	400	2	3692.35799999989
4	37	1	tempo_seq_A_19.wav	tempo_seq_rand_35.wav	1200	400	3	17046.198
4	38	2	tempo_seq_rand_38.wav	tempo_seq_A_12.wav	1200	400	3	3188.10899999994
4	39	1	tempo_seq_A_06.wav	tempo_seq_rand_10.wav	1200	400	3	1661.37
4	40	2	tempo_seq_rand_13.wav	tempo_seq_A_02.wav	1200	400	2	3090.75400000007
4	41	2	tempo_seq_rand_31.wav	tempo_seq_A_09.wav	1200	400	2	4312.06200000003
4	42	1	tempo_seq_A_10.wav	tempo_seq_rand_06.wav	1200	400	3	5067.26399999997
4	43	1	tempo_seq_A_09.wav	tempo_seq_rand_30.wav	1200	400	2	2936.47600000002
4	44	2	tempo_seq_rand_23.wav	tempo_seq_A_21.wav	1200	400	2	3579.73699999996
4	45	1	tempo_seq_A_01.wav	tempo_seq_rand_26.wav	1200	400	3	773.032999999938
4	46	1	tempo_seq_A_05.wav	tempo_seq_rand_33.wav	1200	400	2	3118.43900000001
4	47	2	tempo_seq_rand_28.wav	tempo_seq_A_14.wav	1200	400	2	8473.79399999999
4	48	2	tempo_seq_rand_27.wav	tempo_seq_A_16.wav	1200	400	3	1342.77099999995
