#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/04/2019 09:13:37
#Subject: k2112
#Sex: F
#Age: 28
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_14.wav	tempo_seq_rand_45.wav	1200	400	3	1324.473
1	2	1	tempo_seq_A_21.wav	tempo_seq_rand_36.wav	1200	400	3	677.877
1	3	1	tempo_seq_A_01.wav	tempo_seq_rand_11.wav	1200	400	2	537.261999999995
1	4	1	tempo_seq_A_02.wav	tempo_seq_rand_24.wav	1200	400	3	650.76999999999
1	5	1	tempo_seq_A_09.wav	tempo_seq_rand_35.wav	1200	400	2	832.220000000001
1	6	1	tempo_seq_A_18.wav	tempo_seq_rand_43.wav	1200	400	2	381.578999999998
1	7	2	tempo_seq_rand_18.wav	tempo_seq_A_02.wav	1200	400	2	1054.39199999999
1	8	2	tempo_seq_rand_07.wav	tempo_seq_A_11.wav	1200	400	3	635.754000000001
1	9	2	tempo_seq_rand_31.wav	tempo_seq_A_03.wav	1200	400	2	530.544000000009
1	10	2	tempo_seq_rand_16.wav	tempo_seq_A_21.wav	1200	400	3	293.956999999995
1	11	2	tempo_seq_rand_34.wav	tempo_seq_A_16.wav	1200	400	2	338.087
1	12	2	tempo_seq_rand_08.wav	tempo_seq_A_10.wav	1200	400	3	453.516999999993
2	13	1	tempo_seq_A_03.wav	tempo_seq_rand_01.wav	1200	400	2	380.676999999996
2	14	2	tempo_seq_rand_17.wav	tempo_seq_A_08.wav	1200	400	3	541.438999999984
2	15	1	tempo_seq_A_24.wav	tempo_seq_rand_29.wav	1200	400	3	478.883999999991
2	16	1	tempo_seq_A_15.wav	tempo_seq_rand_32.wav	1200	400	3	290.997999999992
2	17	2	tempo_seq_rand_33.wav	tempo_seq_A_18.wav	1200	400	2	327.741000000009
2	18	2	tempo_seq_rand_05.wav	tempo_seq_A_17.wav	1200	400	2	443.222999999998
2	19	1	tempo_seq_A_04.wav	tempo_seq_rand_27.wav	1200	400	3	376.687000000005
2	20	1	tempo_seq_A_12.wav	tempo_seq_rand_38.wav	1200	400	3	296.094000000012
2	21	2	tempo_seq_rand_28.wav	tempo_seq_A_24.wav	1200	400	3	347.546000000002
2	22	1	tempo_seq_A_16.wav	tempo_seq_rand_44.wav	1200	400	2	357.108000000007
2	23	2	tempo_seq_rand_30.wav	tempo_seq_A_14.wav	1200	400	2	774.466000000015
2	24	2	tempo_seq_rand_26.wav	tempo_seq_A_01.wav	1200	400	3	463.244999999995
3	25	1	tempo_seq_A_06.wav	tempo_seq_rand_02.wav	1200	400	2	1169.09899999999
3	26	2	tempo_seq_rand_14.wav	tempo_seq_A_05.wav	1200	400	3	497.777999999991
3	27	1	tempo_seq_A_23.wav	tempo_seq_rand_39.wav	1200	400	2	421.25
3	28	1	tempo_seq_A_11.wav	tempo_seq_rand_25.wav	1200	400	3	764.744000000006
3	29	2	tempo_seq_rand_09.wav	tempo_seq_A_06.wav	1200	400	3	1238.14400000003
3	30	2	tempo_seq_rand_04.wav	tempo_seq_A_15.wav	1200	400	2	349.512999999977
3	31	1	tempo_seq_A_07.wav	tempo_seq_rand_10.wav	1200	400	2	1560.26400000002
3	32	1	tempo_seq_A_13.wav	tempo_seq_rand_37.wav	1200	400	3	322.362999999954
3	33	2	tempo_seq_rand_22.wav	tempo_seq_A_22.wav	1200	400	3	1229.24600000004
3	34	1	tempo_seq_A_10.wav	tempo_seq_rand_42.wav	1200	400	2	884.520000000019
3	35	2	tempo_seq_rand_41.wav	tempo_seq_A_13.wav	1200	400	2	1529.98500000004
3	36	2	tempo_seq_rand_46.wav	tempo_seq_A_20.wav	1200	400	3	611.349999999977
4	37	1	tempo_seq_A_08.wav	tempo_seq_rand_13.wav	1200	400	3	1335.18099999998
4	38	2	tempo_seq_rand_23.wav	tempo_seq_A_09.wav	1200	400	2	985.929000000004
4	39	1	tempo_seq_A_19.wav	tempo_seq_rand_20.wav	1200	400	2	394.72100000002
4	40	1	tempo_seq_A_22.wav	tempo_seq_rand_19.wav	1200	400	3	578.822999999975
4	41	2	tempo_seq_rand_40.wav	tempo_seq_A_04.wav	1200	400	2	940.215999999957
4	42	1	tempo_seq_A_20.wav	tempo_seq_rand_15.wav	1200	400	3	847.706000000006
4	43	2	tempo_seq_rand_48.wav	tempo_seq_A_23.wav	1200	400	2	661.109999999986
4	44	2	tempo_seq_rand_47.wav	tempo_seq_A_19.wav	1200	400	3	922.504000000015
4	45	1	tempo_seq_A_17.wav	tempo_seq_rand_12.wav	1200	400	2	797.260999999999
4	46	1	tempo_seq_A_05.wav	tempo_seq_rand_03.wav	1200	400	2	580.747999999963
4	47	2	tempo_seq_rand_21.wav	tempo_seq_A_07.wav	1200	400	3	1092.86300000001
4	48	2	tempo_seq_rand_06.wav	tempo_seq_A_12.wav	1200	400	2	1377.52100000001
