Scenario - _RPSL_incidental
Logfile written - 10/11/2019 16:44:27
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

l2805	1	Picture	instruct	333	0	1	1018896	2	0	next	other	0
l2805	1	Response	1	1018745	1018412	0
l2805	2	Sound	ki	1054228	34999	1			35000		other	0
l2805	3	Audio Cue	nu	1057080	181	1			0		other	0
l2805	3	Sound	cue_linfade_exp_seq_A_05.wav	1057080	181	1			0		hit	9
l2805	3	Audio Cue	ga	1059580	2681	1			0		other	0
l2805	3	Audio Cue	di	1062080	5181	1			0		other	0
l2805	3	Audio Cue	za	1064580	7681	1			0		other	0
l2805	3	Response	1	1066184	9285	0
l2805	3	Audio Cue	be	1067081	10182	1			0		other	0
l2805	3	Audio Cue	tu	1069581	12682	1			0		other	0
l2805	3	Audio Cue	mi	1072080	15181	1			0		other	0
l2805	3	Audio Cue	po	1074581	17681	1			0		other	0
l2805	3	Audio Cue	la	1077081	20182	1			0		other	0
l2805	3	Audio Cue	za	1079582	22682	1			0		other	0
l2805	3	Audio Cue	be	1082081	25182	1			0		other	0
l2805	3	Audio Cue	tu	1084581	27682	1			0		other	0
l2805	3	Audio Cue	mi	1087080	30181	1			0		other	0
l2805	3	Audio Cue	po	1089582	32682	1			0		other	0
l2805	3	Audio Cue	la	1092082	35182	1			0		other	0
l2805	3	Audio Cue	ro	1094581	37682	1			0		other	0
l2805	3	Audio Cue	ki	1097082	40183	1			0		other	0
l2805	3	Audio Cue	se	1099581	42682	1			0		other	0
l2805	3	Audio Cue	mi	1102081	45182	1			0		other	0
l2805	3	Response	1	1104024	47125	0
l2805	3	Audio Cue	po	1104582	47682	1			0		other	0
l2805	3	Audio Cue	la	1107082	50183	1			0		other	0
l2805	3	Audio Cue	za	1109582	52683	1			0		other	0
l2805	3	Audio Cue	be	1112082	55182	1			0		other	0
l2805	3	Audio Cue	tu	1114582	57683	1			0		other	0
l2805	3	Audio Cue	nu	1117082	60183	1			0		other	0
l2805	3	Audio Cue	ga	1119582	62683	1			0		other	0
l2805	3	Audio Cue	di	1122082	65183	1			0		other	0
l2805	3	Audio Cue	mi	1124583	67684	1			0		other	0
l2805	3	Audio Cue	po	1127083	70184	1			0		other	0
l2805	3	Audio Cue	la	1129582	72683	1			0		other	0
l2805	3	Audio Cue	za	1132083	75184	1			0		other	0
l2805	3	Audio Cue	be	1134582	77683	1			0		other	0
l2805	3	Audio Cue	tu	1137082	80183	1			0		other	0
l2805	3	Audio Cue	ro	1139583	82684	1			0		other	0
l2805	3	Audio Cue	ki	1142083	85184	1			0		other	0
l2805	3	Audio Cue	se	1144583	87684	1			0		other	0
l2805	3	Audio Cue	nu	1147083	90184	1			0		other	0
l2805	3	Response	1	1147304	90405	0
l2805	3	Audio Cue	ga	1149583	92684	1			0		other	0
l2805	3	Audio Cue	di	1152083	95184	1			0		other	0
l2805	3	Audio Cue	za	1154584	97685	1			0		other	0
l2805	3	Audio Cue	be	1157084	100185	1			0		other	0
l2805	3	Audio Cue	tu	1159583	102684	1			0		other	0
l2805	3	Audio Cue	nu	1162083	105184	1			0		other	0
l2805	3	Audio Cue	ga	1164583	107684	1			0		other	0
l2805	3	Audio Cue	di	1167084	110185	1			0		other	0
l2805	3	Audio Cue	za	1169584	112685	1			0		other	0
l2805	3	Audio Cue	be	1172084	115185	1			0		other	0
l2805	3	Audio Cue	tu	1174585	117686	1			0		other	0
l2805	3	Audio Cue	ro	1177084	120185	1			0		other	0
l2805	3	Audio Cue	ki	1179584	122685	1			0		other	0
l2805	3	Audio Cue	se	1182084	125185	1			0		other	0
l2805	3	Response	1	1183304	126405	0
l2805	3	Audio Cue	nu	1184585	127686	1			0		other	0
l2805	3	Audio Cue	ga	1187084	130185	1			0		other	0
l2805	3	Audio Cue	di	1189584	132685	1			0		other	0
l2805	3	Audio Cue	ro	1192085	135186	1			0		other	0
l2805	3	Audio Cue	ki	1194585	137686	1			0		other	0
l2805	3	Audio Cue	se	1197084	140185	1			0		other	0
l2805	3	Audio Cue	nu	1199584	142685	1			0		other	0
l2805	3	Response	1	1200104	143205	0
l2805	3	Audio Cue	ga	1202084	145185	1			0		other	0
l2805	3	Audio Cue	di	1204585	147686	1			0		other	0
l2805	3	Audio Cue	mi	1207085	150186	1			0		other	0
l2805	3	Audio Cue	po	1209585	152686	1			0		other	0
l2805	3	Audio Cue	la	1212084	155185	1			0		other	0
l2805	3	Audio Cue	za	1214586	157687	1			0		other	0
l2805	3	Audio Cue	be	1217086	160187	1			0		other	0
l2805	3	Audio Cue	tu	1219586	162687	1			0		other	0
l2805	3	Audio Cue	nu	1222087	165188	1			0		other	0
l2805	3	Audio Cue	ga	1224585	167686	1			0		other	0
l2805	3	Audio Cue	di	1227086	170187	1			0		other	0
l2805	3	Audio Cue	mi	1229586	172687	1			0		other	0
l2805	3	Audio Cue	po	1232085	175186	1			0		other	0
l2805	3	Audio Cue	la	1234586	177687	1			0		other	0
l2805	3	Audio Cue	ro	1237086	180187	1			0		other	0
l2805	3	Audio Cue	ki	1239586	182687	1			0		other	0
l2805	3	Audio Cue	se	1242086	185187	1			0		other	0
l2805	3	Response	1	1243544	186645	0
l2805	3	Audio Cue	mi	1244586	187687	1			0		other	0
l2805	3	Audio Cue	po	1247086	190187	1			0		other	0
l2805	3	Audio Cue	la	1249587	192688	1			0		other	0
l2805	3	Audio Cue	nu	1252087	195188	1			0		other	0
l2805	3	Audio Cue	ga	1254586	197687	1			0		other	0
l2805	3	Audio Cue	di	1257086	200187	1			0		other	0
l2805	3	Audio Cue	ro	1259586	202687	1			0		other	0
l2805	3	Audio Cue	ki	1262087	205188	1			0		other	0
l2805	3	Audio Cue	se	1264587	207688	1			0		other	0
l2805	3	Response	1	1266664	209765	0
l2805	3	Audio Cue	mi	1267087	210188	1			0		other	0
l2805	3	Audio Cue	po	1269586	212687	1			0		other	0
l2805	3	Audio Cue	la	1272087	215188	1			0		other	0
l2805	3	Audio Cue	za	1274587	217688	1			0		other	0
l2805	3	Audio Cue	be	1277087	220188	1			0		other	0
l2805	3	Audio Cue	tu	1279587	222687	1			0		other	0
l2805	3	Audio Cue	nu	1282087	225188	1			0		other	0
l2805	3	Audio Cue	ga	1284587	227688	1			0		other	0
