#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/11/2019 16:44:47
#Subject: l2805
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_02.wav	tempo_seq_rand_38.wav	1200	400	3	292.805999999997
1	2	1	tempo_seq_A_01.wav	tempo_seq_rand_12.wav	1200	400	2	322.22099999999
1	3	2	tempo_seq_rand_34.wav	tempo_seq_A_06.wav	1200	400	2	261.694999999992
1	4	1	tempo_seq_A_06.wav	tempo_seq_rand_35.wav	1200	400	2	259.144
1	5	2	tempo_seq_rand_27.wav	tempo_seq_A_10.wav	1200	400	2	329.273000000016
1	6	1	tempo_seq_A_22.wav	tempo_seq_rand_37.wav	1200	400	3	412.078000000009
1	7	1	tempo_seq_A_19.wav	tempo_seq_rand_14.wav	1200	400	3	347.551999999996
1	8	2	tempo_seq_rand_26.wav	tempo_seq_A_24.wav	1200	400	3	302.318999999989
1	9	2	tempo_seq_rand_25.wav	tempo_seq_A_04.wav	1200	400	3	514.425999999978
1	10	2	tempo_seq_rand_07.wav	tempo_seq_A_11.wav	1200	400	3	469.901000000013
1	11	2	tempo_seq_rand_01.wav	tempo_seq_A_15.wav	1200	400	2	347.348000000027
1	12	1	tempo_seq_A_10.wav	tempo_seq_rand_09.wav	1200	400	2	390.111000000004
2	13	1	tempo_seq_A_18.wav	tempo_seq_rand_39.wav	1200	400	3	348.85500000001
2	14	1	tempo_seq_A_03.wav	tempo_seq_rand_03.wav	1200	400	2	254.982000000018
2	15	2	tempo_seq_rand_08.wav	tempo_seq_A_13.wav	1200	400	2	277.769
2	16	1	tempo_seq_A_21.wav	tempo_seq_rand_36.wav	1200	400	2	147.207999999984
2	17	2	tempo_seq_rand_17.wav	tempo_seq_A_16.wav	1200	400	2	566.113000000012
2	18	2	tempo_seq_rand_19.wav	tempo_seq_A_09.wav	1200	400	3	544.137000000046
2	19	1	tempo_seq_A_24.wav	tempo_seq_rand_42.wav	1200	400	2	323.556000000041
2	20	2	tempo_seq_rand_18.wav	tempo_seq_A_01.wav	1200	400	2	542.994999999995
2	21	2	tempo_seq_rand_29.wav	tempo_seq_A_14.wav	1200	400	2	593.808000000019
2	22	2	tempo_seq_rand_43.wav	tempo_seq_A_07.wav	1200	400	2	379.262999999977
2	23	1	tempo_seq_A_07.wav	tempo_seq_rand_04.wav	1200	400	2	244.717999999993
2	24	1	tempo_seq_A_23.wav	tempo_seq_rand_06.wav	1200	400	2	508.20199999999
3	25	2	tempo_seq_rand_02.wav	tempo_seq_A_03.wav	1200	400	2	518.068000000028
3	26	2	tempo_seq_rand_28.wav	tempo_seq_A_20.wav	1200	400	2	505.466000000015
3	27	1	tempo_seq_A_12.wav	tempo_seq_rand_46.wav	1200	400	2	638.28899999999
3	28	1	tempo_seq_A_14.wav	tempo_seq_rand_30.wav	1200	400	3	685.701000000001
3	29	2	tempo_seq_rand_15.wav	tempo_seq_A_21.wav	1200	400	2	563.092000000004
3	30	2	tempo_seq_rand_20.wav	tempo_seq_A_08.wav	1200	400	2	732.603000000003
3	31	1	tempo_seq_A_11.wav	tempo_seq_rand_13.wav	1200	400	3	352.049999999988
3	32	1	tempo_seq_A_09.wav	tempo_seq_rand_23.wav	1200	400	2	1138.098
3	33	2	tempo_seq_rand_11.wav	tempo_seq_A_18.wav	1200	400	2	828.875999999989
3	34	1	tempo_seq_A_15.wav	tempo_seq_rand_45.wav	1200	400	3	220.316999999981
3	35	1	tempo_seq_A_16.wav	tempo_seq_rand_47.wav	1200	400	2	347.74099999998
3	36	2	tempo_seq_rand_41.wav	tempo_seq_A_22.wav	1200	400	3	262.632999999973
4	37	1	tempo_seq_A_17.wav	tempo_seq_rand_33.wav	1200	400	2	436.15499999997
4	38	1	tempo_seq_A_13.wav	tempo_seq_rand_05.wav	1200	400	3	466.918999999994
4	39	2	tempo_seq_rand_44.wav	tempo_seq_A_17.wav	1200	400	2	384.364999999991
4	40	1	tempo_seq_A_08.wav	tempo_seq_rand_10.wav	1200	400	2	353.863999999943
4	41	2	tempo_seq_rand_40.wav	tempo_seq_A_12.wav	1200	400	2	987.923999999999
4	42	1	tempo_seq_A_20.wav	tempo_seq_rand_22.wav	1200	400	3	220.706000000006
4	43	2	tempo_seq_rand_32.wav	tempo_seq_A_05.wav	1200	400	3	564.177000000025
4	44	1	tempo_seq_A_04.wav	tempo_seq_rand_31.wav	1200	400	2	325.692000000039
4	45	2	tempo_seq_rand_24.wav	tempo_seq_A_02.wav	1200	400	2	569.091999999946
4	46	2	tempo_seq_rand_48.wav	tempo_seq_A_23.wav	1200	400	3	506.517999999924
4	47	2	tempo_seq_rand_21.wav	tempo_seq_A_19.wav	1200	400	3	447.309000000008
4	48	1	tempo_seq_A_05.wav	tempo_seq_rand_16.wav	1200	400	2	437.417000000016
