#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/11/2019 16:08:22
#Subject: l2805
#Sex: M
#Age: 28
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_20.wav	tempo_seq_A_01.wav	1200	400	2	498.934000000001
1	2	2	tempo_seq_rand_05.wav	tempo_seq_A_21.wav	1200	400	3	551.076999999998
1	3	1	tempo_seq_A_23.wav	tempo_seq_rand_22.wav	1200	400	2	553.830000000002
1	4	1	tempo_seq_A_03.wav	tempo_seq_rand_34.wav	1200	400	3	460.581999999995
1	5	1	tempo_seq_A_20.wav	tempo_seq_rand_32.wav	1200	400	2	490.737000000008
1	6	2	tempo_seq_rand_23.wav	tempo_seq_A_17.wav	1200	400	2	575.487999999998
1	7	2	tempo_seq_rand_42.wav	tempo_seq_A_06.wav	1200	400	3	720.932000000001
1	8	1	tempo_seq_A_12.wav	tempo_seq_rand_39.wav	1200	400	2	748.403000000006
1	9	2	tempo_seq_rand_10.wav	tempo_seq_A_05.wav	1200	400	2	551.088000000003
1	10	1	tempo_seq_A_11.wav	tempo_seq_rand_18.wav	1200	400	2	609.231999999989
1	11	2	tempo_seq_rand_25.wav	tempo_seq_A_22.wav	1200	400	3	946.016000000003
1	12	1	tempo_seq_A_13.wav	tempo_seq_rand_43.wav	1200	400	3	460.046999999991
2	13	2	tempo_seq_rand_44.wav	tempo_seq_A_02.wav	1200	400	3	606.281999999977
2	14	2	tempo_seq_rand_41.wav	tempo_seq_A_13.wav	1200	400	3	566.462
2	15	2	tempo_seq_rand_27.wav	tempo_seq_A_24.wav	1200	400	3	759.880000000005
2	16	2	tempo_seq_rand_45.wav	tempo_seq_A_11.wav	1200	400	2	738.654999999999
2	17	2	tempo_seq_rand_36.wav	tempo_seq_A_08.wav	1200	400	2	878.06700000001
2	18	1	tempo_seq_A_24.wav	tempo_seq_rand_30.wav	1200	400	2	915.464000000007
2	19	1	tempo_seq_A_06.wav	tempo_seq_rand_09.wav	1200	400	3	846.925000000017
2	20	1	tempo_seq_A_19.wav	tempo_seq_rand_38.wav	1200	400	2	1061.663
2	21	2	tempo_seq_rand_31.wav	tempo_seq_A_20.wav	1200	400	3	555.714000000007
2	22	1	tempo_seq_A_09.wav	tempo_seq_rand_16.wav	1200	400	2	454.459999999992
2	23	1	tempo_seq_A_17.wav	tempo_seq_rand_08.wav	1200	400	2	516.581000000006
2	24	1	tempo_seq_A_14.wav	tempo_seq_rand_28.wav	1200	400	3	976.067000000039
3	25	1	tempo_seq_A_02.wav	tempo_seq_rand_03.wav	1200	400	2	346.234999999986
3	26	2	tempo_seq_rand_29.wav	tempo_seq_A_23.wav	1200	400	3	708.379000000015
3	27	1	tempo_seq_A_15.wav	tempo_seq_rand_17.wav	1200	400	3	273.176000000036
3	28	2	tempo_seq_rand_35.wav	tempo_seq_A_18.wav	1200	400	2	814.657000000007
3	29	2	tempo_seq_rand_01.wav	tempo_seq_A_04.wav	1200	400	3	1030.03200000001
3	30	1	tempo_seq_A_22.wav	tempo_seq_rand_19.wav	1200	400	3	325.458999999973
3	31	1	tempo_seq_A_05.wav	tempo_seq_rand_13.wav	1200	400	2	472.897999999987
3	32	1	tempo_seq_A_21.wav	tempo_seq_rand_37.wav	1200	400	3	958.349999999977
3	33	2	tempo_seq_rand_07.wav	tempo_seq_A_14.wav	1200	400	3	1321.04099999997
3	34	2	tempo_seq_rand_48.wav	tempo_seq_A_19.wav	1200	400	2	228.446999999986
3	35	1	tempo_seq_A_18.wav	tempo_seq_rand_47.wav	1200	400	2	235.883999999962
3	36	2	tempo_seq_rand_21.wav	tempo_seq_A_16.wav	1200	400	3	443.366000000038
4	37	1	tempo_seq_A_08.wav	tempo_seq_rand_46.wav	1200	400	2	262.257000000041
4	38	2	tempo_seq_rand_12.wav	tempo_seq_A_09.wav	1200	400	2	403.712999999989
4	39	1	tempo_seq_A_16.wav	tempo_seq_rand_02.wav	1200	400	3	404.592999999993
4	40	1	tempo_seq_A_07.wav	tempo_seq_rand_40.wav	1200	400	2	612.657999999996
4	41	2	tempo_seq_rand_04.wav	tempo_seq_A_10.wav	1200	400	3	596.098999999987
4	42	1	tempo_seq_A_04.wav	tempo_seq_rand_15.wav	1200	400	2	372.850999999966
4	43	2	tempo_seq_rand_26.wav	tempo_seq_A_07.wav	1200	400	3	895.82699999999
4	44	1	tempo_seq_A_01.wav	tempo_seq_rand_14.wav	1200	400	3	883.69100000005
4	45	1	tempo_seq_A_10.wav	tempo_seq_rand_06.wav	1200	400	2	433.126999999979
4	46	2	tempo_seq_rand_11.wav	tempo_seq_A_15.wav	1200	400	2	328.598999999987
4	47	2	tempo_seq_rand_33.wav	tempo_seq_A_12.wav	1200	400	3	636.030999999959
4	48	2	tempo_seq_rand_24.wav	tempo_seq_A_03.wav	1200	400	2	219.472999999998
