#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/16/2019 14:43:50
#Subject: m2209
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_16.wav	tempo_seq_rand_07.wav	1200	400	2	306.173000000003
1	2	2	tempo_seq_rand_02.wav	tempo_seq_A_02.wav	1200	400	2	255
1	3	2	tempo_seq_rand_04.wav	tempo_seq_A_12.wav	1200	400	3	293.090000000004
1	4	1	tempo_seq_A_07.wav	tempo_seq_rand_33.wav	1200	400	3	314.592999999993
1	5	1	tempo_seq_A_23.wav	tempo_seq_rand_13.wav	1200	400	2	318.080000000002
1	6	2	tempo_seq_rand_34.wav	tempo_seq_A_03.wav	1200	400	3	785.44200000001
1	7	1	tempo_seq_A_12.wav	tempo_seq_rand_27.wav	1200	400	2	306.241999999998
1	8	2	tempo_seq_rand_25.wav	tempo_seq_A_07.wav	1200	400	3	270.404999999999
1	9	2	tempo_seq_rand_16.wav	tempo_seq_A_08.wav	1200	400	3	323.918000000005
1	10	1	tempo_seq_A_06.wav	tempo_seq_rand_10.wav	1200	400	2	207.285999999993
1	11	2	tempo_seq_rand_05.wav	tempo_seq_A_23.wav	1200	400	2	280.106999999989
1	12	1	tempo_seq_A_01.wav	tempo_seq_rand_41.wav	1200	400	3	333.573000000004
2	13	2	tempo_seq_rand_42.wav	tempo_seq_A_24.wav	1200	400	2	374.839000000007
2	14	2	tempo_seq_rand_23.wav	tempo_seq_A_10.wav	1200	400	3	352.337999999989
2	15	2	tempo_seq_rand_44.wav	tempo_seq_A_15.wav	1200	400	2	315.122000000003
2	16	2	tempo_seq_rand_29.wav	tempo_seq_A_20.wav	1200	400	3	350.642999999982
2	17	1	tempo_seq_A_20.wav	tempo_seq_rand_32.wav	1200	400	2	280.692999999999
2	18	1	tempo_seq_A_08.wav	tempo_seq_rand_24.wav	1200	400	2	333.51999999999
2	19	1	tempo_seq_A_04.wav	tempo_seq_rand_11.wav	1200	400	3	336.955000000016
2	20	2	tempo_seq_rand_19.wav	tempo_seq_A_09.wav	1200	400	3	308.415000000008
2	21	1	tempo_seq_A_11.wav	tempo_seq_rand_40.wav	1200	400	2	216.618000000017
2	22	1	tempo_seq_A_17.wav	tempo_seq_rand_26.wav	1200	400	3	360.007000000012
2	23	1	tempo_seq_A_03.wav	tempo_seq_rand_35.wav	1200	400	3	426.795999999973
2	24	2	tempo_seq_rand_47.wav	tempo_seq_A_13.wav	1200	400	2	306.282999999996
3	25	2	tempo_seq_rand_14.wav	tempo_seq_A_06.wav	1200	400	2	977.579999999958
3	26	1	tempo_seq_A_09.wav	tempo_seq_rand_21.wav	1200	400	2	251.038
3	27	1	tempo_seq_A_02.wav	tempo_seq_rand_30.wav	1200	400	2	393.784000000043
3	28	1	tempo_seq_A_18.wav	tempo_seq_rand_43.wav	1200	400	3	339.25
3	29	2	tempo_seq_rand_17.wav	tempo_seq_A_01.wav	1200	400	2	1302.66200000001
3	30	2	tempo_seq_rand_48.wav	tempo_seq_A_04.wav	1200	400	3	290.783999999985
3	31	2	tempo_seq_rand_06.wav	tempo_seq_A_22.wav	1200	400	3	303.572999999975
3	32	1	tempo_seq_A_24.wav	tempo_seq_rand_38.wav	1200	400	2	331.684000000008
3	33	2	tempo_seq_rand_12.wav	tempo_seq_A_05.wav	1200	400	3	222.462
3	34	1	tempo_seq_A_21.wav	tempo_seq_rand_45.wav	1200	400	3	277.959999999963
3	35	1	tempo_seq_A_15.wav	tempo_seq_rand_36.wav	1200	400	2	283.380999999994
3	36	2	tempo_seq_rand_31.wav	tempo_seq_A_19.wav	1200	400	2	312.873000000021
4	37	2	tempo_seq_rand_18.wav	tempo_seq_A_11.wav	1200	400	3	267.42300000001
4	38	2	tempo_seq_rand_37.wav	tempo_seq_A_17.wav	1200	400	3	1032.978
4	39	1	tempo_seq_A_14.wav	tempo_seq_rand_15.wav	1200	400	2	360.374000000011
4	40	1	tempo_seq_A_10.wav	tempo_seq_rand_01.wav	1200	400	3	370.445000000007
4	41	2	tempo_seq_rand_08.wav	tempo_seq_A_16.wav	1200	400	3	355.921999999962
4	42	2	tempo_seq_rand_39.wav	tempo_seq_A_21.wav	1200	400	3	350.70299999998
4	43	2	tempo_seq_rand_03.wav	tempo_seq_A_18.wav	1200	400	2	352.853000000003
4	44	2	tempo_seq_rand_20.wav	tempo_seq_A_14.wav	1200	400	3	1139.65100000001
4	45	1	tempo_seq_A_13.wav	tempo_seq_rand_46.wav	1200	400	2	591.056999999972
4	46	1	tempo_seq_A_05.wav	tempo_seq_rand_22.wav	1200	400	2	336.503000000026
4	47	1	tempo_seq_A_22.wav	tempo_seq_rand_09.wav	1200	400	3	324.015000000014
4	48	1	tempo_seq_A_19.wav	tempo_seq_rand_28.wav	1200	400	2	335.407999999996
