Scenario - _RPSL_incidental
Logfile written - 10/10/2019 16:41:50
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

m2305	1	Picture	instruct	333	0	1	918722	1	0	next	other	0
m2305	1	Response	1	917874	917541	0
m2305	2	Sound	di	954054	34999	1			35000		other	0
m2305	3	Audio Cue	za	956874	151	1			0		other	0
m2305	3	Sound	cue_linfade_exp_seq_A_12.wav	956874	151	1			0		hit	15
m2305	3	Audio Cue	be	959375	2651	1			0		other	0
m2305	3	Audio Cue	tu	961874	5151	1			0		other	0
m2305	3	Audio Cue	ro	964375	7651	1			0		other	0
m2305	3	Audio Cue	ki	966875	10152	1			0		other	0
m2305	3	Audio Cue	se	969375	12652	1			0		other	0
m2305	3	Audio Cue	nu	971874	15151	1			0		other	0
m2305	3	Audio Cue	ga	974375	17651	1			0		other	0
m2305	3	Audio Cue	di	976875	20152	1			0		other	0
m2305	3	Audio Cue	ro	979375	22652	1			0		other	0
m2305	3	Response	1	980594	23870	0
m2305	3	Audio Cue	ki	981875	25151	1			0		other	0
m2305	3	Audio Cue	se	984375	27651	1			0		other	0
m2305	3	Audio Cue	nu	986875	30151	1			0		other	0
m2305	3	Audio Cue	ga	989375	32651	1			0		other	0
m2305	3	Audio Cue	di	991875	35152	1			0		other	0
m2305	3	Response	1	994354	37630	0
m2305	3	Audio Cue	ro	994375	37652	1			0		other	0
m2305	3	Audio Cue	ki	996875	40152	1			0		other	0
m2305	3	Audio Cue	se	999375	42652	1			0		other	0
m2305	3	Audio Cue	mi	1001875	45152	1			0		other	0
m2305	3	Audio Cue	po	1004376	47653	1			0		other	0
m2305	3	Audio Cue	la	1006876	50153	1			0		other	0
m2305	3	Audio Cue	ro	1009376	52652	1			0		other	0
m2305	3	Audio Cue	ki	1011876	55153	1			0		other	0
m2305	3	Audio Cue	se	1014376	57652	1			0		other	0
m2305	3	Response	1	1014754	58030	0
m2305	3	Audio Cue	mi	1016875	60152	1			0		other	0
m2305	3	Audio Cue	po	1019376	62653	1			0		other	0
m2305	3	Audio Cue	la	1021876	65153	1			0		other	0
m2305	3	Audio Cue	ro	1024376	67653	1			0		other	0
m2305	3	Audio Cue	ki	1026876	70153	1			0		other	0
m2305	3	Audio Cue	se	1029377	72653	1			0		other	0
m2305	3	Audio Cue	za	1031877	75153	1			0		other	0
m2305	3	Audio Cue	be	1034376	77653	1			0		other	0
m2305	3	Audio Cue	tu	1036877	80153	1			0		other	0
m2305	3	Audio Cue	ro	1039376	82653	1			0		other	0
m2305	3	Audio Cue	ki	1041877	85153	1			0		other	0
m2305	3	Audio Cue	se	1044377	87653	1			0		other	0
m2305	3	Audio Cue	za	1046877	90154	1			0		other	0
m2305	3	Audio Cue	be	1049377	92654	1			0		other	0
m2305	3	Audio Cue	tu	1051877	95153	1			0		other	0
m2305	3	Audio Cue	mi	1054377	97653	1			0		other	0
m2305	3	Audio Cue	po	1056877	100154	1			0		other	0
m2305	3	Audio Cue	la	1059378	102654	1			0		other	0
m2305	3	Audio Cue	za	1061876	105153	1			0		other	0
m2305	3	Audio Cue	be	1064377	107654	1			0		other	0
m2305	3	Audio Cue	tu	1066877	110154	1			0		other	0
m2305	3	Audio Cue	mi	1069377	112654	1			0		other	0
m2305	3	Audio Cue	po	1071877	115154	1			0		other	0
m2305	3	Audio Cue	la	1074378	117654	1			0		other	0
m2305	3	Audio Cue	nu	1076878	120155	1			0		other	0
m2305	3	Audio Cue	ga	1079378	122655	1			0		other	0
m2305	3	Audio Cue	di	1081877	125153	1			0		other	0
m2305	3	Audio Cue	za	1084378	127655	1			0		other	0
m2305	3	Response	1	1086514	129791	0
m2305	3	Audio Cue	be	1086878	130154	1			0		other	0
m2305	3	Audio Cue	tu	1089378	132654	1			0		other	0
m2305	3	Audio Cue	ro	1091878	135154	1			0		other	0
m2305	3	Audio Cue	ki	1094378	137655	1			0		other	0
m2305	3	Audio Cue	se	1096878	140155	1			0		other	0
m2305	3	Audio Cue	mi	1099378	142655	1			0		other	0
m2305	3	Audio Cue	po	1101878	145155	1			0		other	0
m2305	3	Audio Cue	la	1104378	147655	1			0		other	0
m2305	3	Audio Cue	nu	1106879	150155	1			0		other	0
m2305	3	Audio Cue	ga	1109378	152654	1			0		other	0
m2305	3	Audio Cue	di	1111878	155155	1			0		other	0
m2305	3	Audio Cue	mi	1114378	157655	1			0		other	0
m2305	3	Response	1	1115474	158750	0
m2305	3	Audio Cue	po	1116879	160156	1			0		other	0
m2305	3	Audio Cue	la	1119379	162655	1			0		other	0
m2305	3	Audio Cue	nu	1121879	165155	1			0		other	0
m2305	3	Audio Cue	ga	1124379	167656	1			0		other	0
m2305	3	Audio Cue	di	1126879	170156	1			0		other	0
m2305	3	Audio Cue	za	1129379	172656	1			0		other	0
m2305	3	Response	1	1131634	174910	0
m2305	3	Audio Cue	be	1131879	175156	1			0		other	0
m2305	3	Audio Cue	tu	1134379	177655	1			0		other	0
m2305	3	Audio Cue	mi	1136879	180156	1			0		other	0
m2305	3	Audio Cue	po	1139379	182656	1			0		other	0
m2305	3	Audio Cue	la	1141879	185156	1			0		other	0
