#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/10/2019 16:42:10
#Subject: m2305
#Sex: F
#Age: 30
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_23.wav	tempo_seq_rand_21.wav	1200	400	2	297.665999999997
1	2	2	tempo_seq_rand_30.wav	tempo_seq_A_24.wav	1200	400	2	350.495999999999
1	3	1	tempo_seq_A_07.wav	tempo_seq_rand_24.wav	1200	400	2	544.600000000006
1	4	1	tempo_seq_A_08.wav	tempo_seq_rand_42.wav	1200	400	2	731.368999999992
1	5	2	tempo_seq_rand_07.wav	tempo_seq_A_18.wav	1200	400	3	294.786000000007
1	6	2	tempo_seq_rand_36.wav	tempo_seq_A_15.wav	1200	400	2	586.962
1	7	2	tempo_seq_rand_09.wav	tempo_seq_A_01.wav	1200	400	2	651.705000000002
1	8	1	tempo_seq_A_14.wav	tempo_seq_rand_31.wav	1200	400	3	570.487999999998
1	9	1	tempo_seq_A_06.wav	tempo_seq_rand_35.wav	1200	400	3	420.607000000018
1	10	1	tempo_seq_A_01.wav	tempo_seq_rand_43.wav	1200	400	3	708.005000000005
1	11	2	tempo_seq_rand_05.wav	tempo_seq_A_16.wav	1200	400	3	2064.81100000002
1	12	2	tempo_seq_rand_27.wav	tempo_seq_A_08.wav	1200	400	2	694.160999999993
2	13	1	tempo_seq_A_15.wav	tempo_seq_rand_44.wav	1200	400	2	610.005999999994
2	14	1	tempo_seq_A_10.wav	tempo_seq_rand_47.wav	1200	400	2	410.722999999998
2	15	1	tempo_seq_A_17.wav	tempo_seq_rand_12.wav	1200	400	3	530.842000000004
2	16	1	tempo_seq_A_20.wav	tempo_seq_rand_39.wav	1200	400	3	1021.60800000001
2	17	2	tempo_seq_rand_18.wav	tempo_seq_A_11.wav	1200	400	2	1077.02699999997
2	18	2	tempo_seq_rand_01.wav	tempo_seq_A_17.wav	1200	400	3	274.429000000004
2	19	2	tempo_seq_rand_14.wav	tempo_seq_A_07.wav	1200	400	3	655.894
2	20	1	tempo_seq_A_05.wav	tempo_seq_rand_02.wav	1200	400	2	782.690999999992
2	21	2	tempo_seq_rand_33.wav	tempo_seq_A_06.wav	1200	400	3	1352.128
2	22	2	tempo_seq_rand_34.wav	tempo_seq_A_10.wav	1200	400	3	650.206000000006
2	23	1	tempo_seq_A_12.wav	tempo_seq_rand_06.wav	1200	400	3	1152.91100000002
2	24	2	tempo_seq_rand_26.wav	tempo_seq_A_03.wav	1200	400	2	347.079999999958
3	25	2	tempo_seq_rand_28.wav	tempo_seq_A_22.wav	1200	400	2	520.843999999983
3	26	2	tempo_seq_rand_20.wav	tempo_seq_A_12.wav	1200	400	2	836.31799999997
3	27	1	tempo_seq_A_13.wav	tempo_seq_rand_10.wav	1200	400	2	1363.77099999995
3	28	1	tempo_seq_A_22.wav	tempo_seq_rand_04.wav	1200	400	3	277.148000000045
3	29	1	tempo_seq_A_11.wav	tempo_seq_rand_32.wav	1200	400	3	842.601000000024
3	30	1	tempo_seq_A_18.wav	tempo_seq_rand_22.wav	1200	400	2	329.989000000001
3	31	2	tempo_seq_rand_40.wav	tempo_seq_A_09.wav	1200	400	3	453.489000000001
3	32	1	tempo_seq_A_19.wav	tempo_seq_rand_38.wav	1200	400	2	1092.26899999997
3	33	2	tempo_seq_rand_03.wav	tempo_seq_A_20.wav	1200	400	2	921.726000000024
3	34	2	tempo_seq_rand_17.wav	tempo_seq_A_13.wav	1200	400	2	877.085999999952
3	35	1	tempo_seq_A_02.wav	tempo_seq_rand_11.wav	1200	400	3	874.52899999998
3	36	2	tempo_seq_rand_15.wav	tempo_seq_A_02.wav	1200	400	2	1040
4	37	1	tempo_seq_A_16.wav	tempo_seq_rand_08.wav	1200	400	2	230.901000000013
4	38	1	tempo_seq_A_24.wav	tempo_seq_rand_19.wav	1200	400	2	1670.34600000002
4	39	2	tempo_seq_rand_16.wav	tempo_seq_A_04.wav	1200	400	3	643.71100000001
4	40	2	tempo_seq_rand_29.wav	tempo_seq_A_14.wav	1200	400	2	1243.15299999999
4	41	1	tempo_seq_A_09.wav	tempo_seq_rand_48.wav	1200	400	3	882.534999999974
4	42	1	tempo_seq_A_21.wav	tempo_seq_rand_45.wav	1200	400	2	815.946999999986
4	43	2	tempo_seq_rand_41.wav	tempo_seq_A_23.wav	1200	400	2	495.394000000029
4	44	1	tempo_seq_A_03.wav	tempo_seq_rand_37.wav	1200	400	2	1908.18699999998
4	45	2	tempo_seq_rand_13.wav	tempo_seq_A_05.wav	1200	400	2	1864.23199999996
4	46	1	tempo_seq_A_04.wav	tempo_seq_rand_46.wav	1200	400	3	653.613000000012
4	47	2	tempo_seq_rand_25.wav	tempo_seq_A_19.wav	1200	400	3	412.35699999996
4	48	2	tempo_seq_rand_23.wav	tempo_seq_A_21.wav	1200	400	3	1283.79500000004
