Scenario - _RPSL_incidental
Logfile written - 10/16/2019 14:55:03

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

p3006	1	Picture	instruct	333	0	1	175512	1	0	next	other	0
p3006	1	Response	1	175367	175034	0
p3006	2	Sound	ga	210843	34999	1			35000		other	0
p3006	3	Audio Cue	ro	213658	145	1			0		other	0
p3006	3	Sound	cue_linfade_exp_seq_A_13.wav	213658	145	1			0		hit	11
p3006	3	Audio Cue	ki	216158	2645	1			0		other	0
p3006	3	Audio Cue	se	218658	5144	1			0		other	0
p3006	3	Audio Cue	nu	221158	7645	1			0		other	0
p3006	3	Audio Cue	ga	223658	10145	1			0		other	0
p3006	3	Audio Cue	di	226159	12645	1			0		other	0
p3006	3	Response	1	227047	13533	0
p3006	3	Audio Cue	mi	228658	15145	1			0		other	0
p3006	3	Audio Cue	po	231159	17646	1			0		other	0
p3006	3	Audio Cue	la	233658	20145	1			0		other	0
p3006	3	Audio Cue	za	236159	22646	1			0		other	0
p3006	3	Audio Cue	be	238659	25145	1			0		other	0
p3006	3	Audio Cue	tu	241159	27646	1			0		other	0
p3006	3	Audio Cue	mi	243658	30145	1			0		other	0
p3006	3	Audio Cue	po	246159	32645	1			0		other	0
p3006	3	Audio Cue	la	248658	35145	1			0		other	0
p3006	3	Audio Cue	ro	251160	37646	1			0		other	0
p3006	3	Audio Cue	ki	253659	40146	1			0		other	0
p3006	3	Audio Cue	se	256159	42646	1			0		other	0
p3006	3	Audio Cue	nu	258660	45147	1			0		other	0
p3006	3	Audio Cue	ga	261160	47647	1			0		other	0
p3006	3	Audio Cue	di	263659	50146	1			0		other	0
p3006	3	Response	1	265127	51614	0
p3006	3	Audio Cue	mi	266159	52645	1			0		other	0
p3006	3	Audio Cue	po	268659	55146	1			0		other	0
p3006	3	Audio Cue	la	271159	57646	1			0		other	0
p3006	3	Audio Cue	ro	273660	60146	1			0		other	0
p3006	3	Audio Cue	ki	276160	62647	1			0		other	0
p3006	3	Audio Cue	se	278660	65146	1			0		other	0
p3006	3	Audio Cue	za	281160	67647	1			0		other	0
p3006	3	Audio Cue	be	283661	70147	1			0		other	0
p3006	3	Audio Cue	tu	286160	72646	1			0		other	0
p3006	3	Audio Cue	nu	288660	75147	1			0		other	0
p3006	3	Audio Cue	ga	291161	77648	1			0		other	0
p3006	3	Audio Cue	di	293660	80147	1			0		other	0
p3006	3	Response	1	295607	82094	0
p3006	3	Audio Cue	mi	296160	82647	1			0		other	0
p3006	3	Audio Cue	po	298660	85147	1			0		other	0
p3006	3	Audio Cue	la	301160	87647	1			0		other	0
p3006	3	Audio Cue	ro	303661	90148	1			0		other	0
p3006	3	Audio Cue	ki	306161	92648	1			0		other	0
p3006	3	Audio Cue	se	308662	95148	1			0		other	0
p3006	3	Audio Cue	za	311161	97648	1			0		other	0
p3006	3	Audio Cue	be	313661	100148	1			0		other	0
p3006	3	Audio Cue	tu	316161	102648	1			0		other	0
p3006	3	Audio Cue	ro	318661	105148	1			0		other	0
p3006	3	Audio Cue	ki	321160	107647	1			0		other	0
p3006	3	Audio Cue	se	323661	110148	1			0		other	0
p3006	3	Audio Cue	mi	326161	112648	1			0		other	0
p3006	3	Audio Cue	po	328661	115148	1			0		other	0
p3006	3	Audio Cue	la	331161	117648	1			0		other	0
p3006	3	Audio Cue	za	333661	120148	1			0		other	0
p3006	3	Audio Cue	be	336161	122648	1			0		other	0
p3006	3	Audio Cue	tu	338662	125148	1			0		other	0
p3006	3	Audio Cue	mi	341163	127649	1			0		other	0
p3006	3	Audio Cue	po	343661	130148	1			0		other	0
p3006	3	Audio Cue	la	346162	132648	1			0		other	0
p3006	3	Audio Cue	ro	348662	135149	1			0		other	0
p3006	3	Audio Cue	ki	351163	137649	1			0		other	0
p3006	3	Audio Cue	se	353662	140148	1			0		other	0
p3006	3	Audio Cue	nu	356162	142648	1			0		other	0
p3006	3	Audio Cue	ga	358663	145149	1			0		other	0
p3006	3	Audio Cue	di	361161	147648	1			0		other	0
p3006	3	Response	1	362247	148734	0
p3006	3	Audio Cue	ro	363662	150149	1			0		other	0
p3006	3	Audio Cue	ki	366163	152649	1			0		other	0
p3006	3	Audio Cue	se	368663	155150	1			0		other	0
p3006	3	Audio Cue	mi	371162	157649	1			0		other	0
p3006	3	Audio Cue	po	373663	160150	1			0		other	0
p3006	3	Audio Cue	la	376163	162650	1			0		other	0
p3006	3	Audio Cue	nu	378663	165150	1			0		other	0
p3006	3	Audio Cue	ga	381163	167649	1			0		other	0
