#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/16/2019 14:55:27
#Subject: p3006
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_17.wav	tempo_seq_rand_35.wav	1200	400	2	330.163999999997
1	2	1	tempo_seq_A_22.wav	tempo_seq_rand_33.wav	1200	400	3	245.617000000006
1	3	2	tempo_seq_rand_11.wav	tempo_seq_A_10.wav	1200	400	2	283.712
1	4	2	tempo_seq_rand_03.wav	tempo_seq_A_24.wav	1200	400	2	320.473999999987
1	5	2	tempo_seq_rand_15.wav	tempo_seq_A_01.wav	1200	400	3	299.926000000007
1	6	1	tempo_seq_A_06.wav	tempo_seq_rand_34.wav	1200	400	3	776.012000000002
1	7	2	tempo_seq_rand_47.wav	tempo_seq_A_16.wav	1200	400	3	401.410999999993
1	8	1	tempo_seq_A_02.wav	tempo_seq_rand_46.wav	1200	400	2	338.284999999989
1	9	2	tempo_seq_rand_42.wav	tempo_seq_A_08.wav	1200	400	3	309.601999999999
1	10	1	tempo_seq_A_04.wav	tempo_seq_rand_32.wav	1200	400	2	386.376000000004
1	11	2	tempo_seq_rand_02.wav	tempo_seq_A_03.wav	1200	400	2	811.790000000008
1	12	1	tempo_seq_A_10.wav	tempo_seq_rand_39.wav	1200	400	2	324.739999999991
2	13	1	tempo_seq_A_09.wav	tempo_seq_rand_06.wav	1200	400	3	1129.095
2	14	1	tempo_seq_A_15.wav	tempo_seq_rand_12.wav	1200	400	3	379.853999999992
2	15	2	tempo_seq_rand_08.wav	tempo_seq_A_02.wav	1200	400	2	301.24099999998
2	16	1	tempo_seq_A_20.wav	tempo_seq_rand_28.wav	1200	400	3	889.301999999996
2	17	1	tempo_seq_A_16.wav	tempo_seq_rand_29.wav	1200	400	3	294.081000000006
2	18	2	tempo_seq_rand_07.wav	tempo_seq_A_17.wav	1200	400	2	275.485000000015
2	19	2	tempo_seq_rand_36.wav	tempo_seq_A_06.wav	1200	400	2	905.103999999992
2	20	2	tempo_seq_rand_21.wav	tempo_seq_A_18.wav	1200	400	3	373.684000000008
2	21	2	tempo_seq_rand_31.wav	tempo_seq_A_19.wav	1200	400	2	359.756999999983
2	22	1	tempo_seq_A_14.wav	tempo_seq_rand_27.wav	1200	400	3	370.52899999998
2	23	2	tempo_seq_rand_30.wav	tempo_seq_A_09.wav	1200	400	2	340.682000000001
2	24	1	tempo_seq_A_07.wav	tempo_seq_rand_37.wav	1200	400	2	359.433000000019
3	25	1	tempo_seq_A_03.wav	tempo_seq_rand_19.wav	1200	400	2	372.663
3	26	2	tempo_seq_rand_26.wav	tempo_seq_A_07.wav	1200	400	3	382.103999999992
3	27	1	tempo_seq_A_11.wav	tempo_seq_rand_22.wav	1200	400	3	335.521000000008
3	28	2	tempo_seq_rand_16.wav	tempo_seq_A_22.wav	1200	400	3	290.910999999964
3	29	1	tempo_seq_A_19.wav	tempo_seq_rand_24.wav	1200	400	3	320.587999999989
3	30	1	tempo_seq_A_13.wav	tempo_seq_rand_17.wav	1200	400	3	347.784000000043
3	31	2	tempo_seq_rand_05.wav	tempo_seq_A_23.wav	1200	400	3	310.563000000024
3	32	2	tempo_seq_rand_20.wav	tempo_seq_A_12.wav	1200	400	3	266.679000000004
3	33	2	tempo_seq_rand_38.wav	tempo_seq_A_20.wav	1200	400	2	288.112000000023
3	34	1	tempo_seq_A_23.wav	tempo_seq_rand_09.wav	1200	400	2	524.868000000017
3	35	1	tempo_seq_A_12.wav	tempo_seq_rand_23.wav	1200	400	2	296.316999999981
3	36	2	tempo_seq_rand_04.wav	tempo_seq_A_14.wav	1200	400	3	644.421000000031
4	37	1	tempo_seq_A_08.wav	tempo_seq_rand_41.wav	1200	400	3	371.552000000025
4	38	1	tempo_seq_A_24.wav	tempo_seq_rand_48.wav	1200	400	2	277.592000000004
4	39	1	tempo_seq_A_05.wav	tempo_seq_rand_25.wav	1200	400	2	483.708999999973
4	40	2	tempo_seq_rand_10.wav	tempo_seq_A_04.wav	1200	400	3	376.485000000044
4	41	1	tempo_seq_A_21.wav	tempo_seq_rand_13.wav	1200	400	2	225.912000000011
4	42	2	tempo_seq_rand_44.wav	tempo_seq_A_11.wav	1200	400	3	339.358999999997
4	43	2	tempo_seq_rand_14.wav	tempo_seq_A_13.wav	1200	400	2	324.796000000031
4	44	2	tempo_seq_rand_45.wav	tempo_seq_A_05.wav	1200	400	2	376.193000000028
4	45	1	tempo_seq_A_01.wav	tempo_seq_rand_43.wav	1200	400	3	345.630999999994
4	46	1	tempo_seq_A_18.wav	tempo_seq_rand_40.wav	1200	400	2	555.743999999948
4	47	2	tempo_seq_rand_18.wav	tempo_seq_A_15.wav	1200	400	3	566.468999999983
4	48	2	tempo_seq_rand_01.wav	tempo_seq_A_21.wav	1200	400	3	1119.89499999996
