#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/16/2019 14:09:20
#Subject: p3006
#Sex: F
#Age: 19
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_05.wav	tempo_seq_rand_35.wav	1200	400	3	1358.70599999999
1	2	2	tempo_seq_rand_21.wav	tempo_seq_A_06.wav	1200	400	3	2088.045
1	3	1	tempo_seq_A_21.wav	tempo_seq_rand_34.wav	1200	400	2	587.345000000001
1	4	2	tempo_seq_rand_22.wav	tempo_seq_A_04.wav	1200	400	2	828.114999999991
1	5	2	tempo_seq_rand_41.wav	tempo_seq_A_09.wav	1200	400	2	1059.489
1	6	1	tempo_seq_A_08.wav	tempo_seq_rand_38.wav	1200	400	3	352.838000000018
1	7	2	tempo_seq_rand_13.wav	tempo_seq_A_19.wav	1200	400	2	1088.99900000001
1	8	2	tempo_seq_rand_05.wav	tempo_seq_A_24.wav	1200	400	2	324.357999999978
1	9	1	tempo_seq_A_06.wav	tempo_seq_rand_16.wav	1200	400	3	423.075000000012
1	10	2	tempo_seq_rand_20.wav	tempo_seq_A_01.wav	1200	400	2	2045.85199999998
1	11	1	tempo_seq_A_14.wav	tempo_seq_rand_37.wav	1200	400	3	459.807000000001
1	12	1	tempo_seq_A_22.wav	tempo_seq_rand_29.wav	1200	400	2	553.236999999994
2	13	1	tempo_seq_A_03.wav	tempo_seq_rand_45.wav	1200	400	3	961.958000000013
2	14	2	tempo_seq_rand_09.wav	tempo_seq_A_20.wav	1200	400	2	482.731999999989
2	15	2	tempo_seq_rand_43.wav	tempo_seq_A_13.wav	1200	400	3	598.776000000013
2	16	1	tempo_seq_A_23.wav	tempo_seq_rand_46.wav	1200	400	2	390.195999999996
2	17	2	tempo_seq_rand_03.wav	tempo_seq_A_17.wav	1200	400	2	413.614999999991
2	18	2	tempo_seq_rand_32.wav	tempo_seq_A_22.wav	1200	400	3	341.635000000009
2	19	2	tempo_seq_rand_17.wav	tempo_seq_A_15.wav	1200	400	3	383.783999999985
2	20	1	tempo_seq_A_07.wav	tempo_seq_rand_31.wav	1200	400	2	1192.56300000002
2	21	2	tempo_seq_rand_24.wav	tempo_seq_A_21.wav	1200	400	2	664.559000000008
2	22	1	tempo_seq_A_16.wav	tempo_seq_rand_18.wav	1200	400	3	437.993000000017
2	23	1	tempo_seq_A_15.wav	tempo_seq_rand_23.wav	1200	400	2	1620.74299999996
2	24	1	tempo_seq_A_18.wav	tempo_seq_rand_28.wav	1200	400	3	1988.07500000001
3	25	1	tempo_seq_A_10.wav	tempo_seq_rand_26.wav	1200	400	3	1703.25199999998
3	26	1	tempo_seq_A_01.wav	tempo_seq_rand_48.wav	1200	400	3	370.589999999967
3	27	2	tempo_seq_rand_39.wav	tempo_seq_A_05.wav	1200	400	3	620.693999999959
3	28	1	tempo_seq_A_19.wav	tempo_seq_rand_12.wav	1200	400	2	340.724999999977
3	29	2	tempo_seq_rand_33.wav	tempo_seq_A_02.wav	1200	400	2	384.157999999996
3	30	1	tempo_seq_A_12.wav	tempo_seq_rand_01.wav	1200	400	2	640.918000000005
3	31	2	tempo_seq_rand_42.wav	tempo_seq_A_11.wav	1200	400	3	792.33600000001
3	32	2	tempo_seq_rand_14.wav	tempo_seq_A_14.wav	1200	400	2	520.431999999972
3	33	2	tempo_seq_rand_07.wav	tempo_seq_A_03.wav	1200	400	2	499.197999999975
3	34	1	tempo_seq_A_09.wav	tempo_seq_rand_04.wav	1200	400	3	598.587
3	35	1	tempo_seq_A_04.wav	tempo_seq_rand_10.wav	1200	400	3	1854.03399999999
3	36	2	tempo_seq_rand_36.wav	tempo_seq_A_07.wav	1200	400	3	1236.68899999995
4	37	1	tempo_seq_A_20.wav	tempo_seq_rand_15.wav	1200	400	2	1006.36799999996
4	38	2	tempo_seq_rand_06.wav	tempo_seq_A_10.wav	1200	400	3	1141.76500000001
4	39	1	tempo_seq_A_13.wav	tempo_seq_rand_27.wav	1200	400	2	352.501999999979
4	40	2	tempo_seq_rand_30.wav	tempo_seq_A_23.wav	1200	400	2	266.608999999997
4	41	2	tempo_seq_rand_47.wav	tempo_seq_A_16.wav	1200	400	3	903.36400000006
4	42	2	tempo_seq_rand_08.wav	tempo_seq_A_08.wav	1200	400	2	290.711999999941
4	43	1	tempo_seq_A_02.wav	tempo_seq_rand_11.wav	1200	400	3	1280.14399999997
4	44	2	tempo_seq_rand_19.wav	tempo_seq_A_18.wav	1200	400	2	277.533999999985
4	45	1	tempo_seq_A_24.wav	tempo_seq_rand_25.wav	1200	400	3	1154.25
4	46	1	tempo_seq_A_11.wav	tempo_seq_rand_40.wav	1200	400	3	788.620000000112
4	47	1	tempo_seq_A_17.wav	tempo_seq_rand_02.wav	1200	400	3	406.393999999971
4	48	2	tempo_seq_rand_44.wav	tempo_seq_A_12.wav	1200	400	3	349.148999999976
