#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/24/2019 12:59:58
#Subject: r1028
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_02.wav	tempo_seq_rand_09.wav	1200	400	2	660.678
1	2	1	tempo_seq_A_20.wav	tempo_seq_rand_22.wav	1200	400	2	356.201000000001
1	3	1	tempo_seq_A_14.wav	tempo_seq_rand_10.wav	1200	400	3	311.510999999999
1	4	2	tempo_seq_rand_20.wav	tempo_seq_A_13.wav	1200	400	3	422.951999999998
1	5	1	tempo_seq_A_21.wav	tempo_seq_rand_07.wav	1200	400	2	578.400999999998
1	6	1	tempo_seq_A_04.wav	tempo_seq_rand_23.wav	1200	400	3	413.79800000001
1	7	2	tempo_seq_rand_11.wav	tempo_seq_A_05.wav	1200	400	2	321.330000000002
1	8	2	tempo_seq_rand_44.wav	tempo_seq_A_17.wav	1200	400	3	672.676999999996
1	9	2	tempo_seq_rand_18.wav	tempo_seq_A_21.wav	1200	400	2	960.048999999999
1	10	2	tempo_seq_rand_16.wav	tempo_seq_A_18.wav	1200	400	2	1315.538
1	11	1	tempo_seq_A_10.wav	tempo_seq_rand_45.wav	1200	400	3	266.846999999994
1	12	2	tempo_seq_rand_34.wav	tempo_seq_A_07.wav	1200	400	3	634.323000000004
2	13	2	tempo_seq_rand_40.wav	tempo_seq_A_08.wav	1200	400	2	428.831999999995
2	14	1	tempo_seq_A_24.wav	tempo_seq_rand_01.wav	1200	400	2	852.839999999997
2	15	1	tempo_seq_A_15.wav	tempo_seq_rand_48.wav	1200	400	2	496.229000000021
2	16	1	tempo_seq_A_07.wav	tempo_seq_rand_37.wav	1200	400	2	622.978000000003
2	17	2	tempo_seq_rand_05.wav	tempo_seq_A_12.wav	1200	400	3	323.079999999987
2	18	2	tempo_seq_rand_25.wav	tempo_seq_A_06.wav	1200	400	3	338.470000000001
2	19	2	tempo_seq_rand_27.wav	tempo_seq_A_23.wav	1200	400	2	321.910000000003
2	20	2	tempo_seq_rand_35.wav	tempo_seq_A_24.wav	1200	400	2	505.372999999992
2	21	2	tempo_seq_rand_29.wav	tempo_seq_A_15.wav	1200	400	2	320.814000000013
2	22	1	tempo_seq_A_23.wav	tempo_seq_rand_30.wav	1200	400	3	680.249000000011
2	23	1	tempo_seq_A_09.wav	tempo_seq_rand_15.wav	1200	400	2	535.690999999992
2	24	1	tempo_seq_A_08.wav	tempo_seq_rand_12.wav	1200	400	2	607.067999999999
3	25	2	tempo_seq_rand_02.wav	tempo_seq_A_22.wav	1200	400	2	417.777000000002
3	26	2	tempo_seq_rand_47.wav	tempo_seq_A_02.wav	1200	400	2	1053.22199999995
3	27	1	tempo_seq_A_11.wav	tempo_seq_rand_13.wav	1200	400	2	1453.12299999996
3	28	2	tempo_seq_rand_21.wav	tempo_seq_A_16.wav	1200	400	3	299.96100000001
3	29	2	tempo_seq_rand_03.wav	tempo_seq_A_14.wav	1200	400	2	444.608000000007
3	30	2	tempo_seq_rand_42.wav	tempo_seq_A_09.wav	1200	400	3	320.313000000024
3	31	1	tempo_seq_A_13.wav	tempo_seq_rand_28.wav	1200	400	2	494.260000000009
3	32	2	tempo_seq_rand_43.wav	tempo_seq_A_20.wav	1200	400	3	3325.70000000001
3	33	1	tempo_seq_A_05.wav	tempo_seq_rand_19.wav	1200	400	2	844.955000000016
3	34	1	tempo_seq_A_19.wav	tempo_seq_rand_46.wav	1200	400	2	668.338000000047
3	35	1	tempo_seq_A_03.wav	tempo_seq_rand_06.wav	1200	400	3	243.814000000013
3	36	1	tempo_seq_A_01.wav	tempo_seq_rand_14.wav	1200	400	2	967.280000000028
4	37	2	tempo_seq_rand_26.wav	tempo_seq_A_11.wav	1200	400	2	290.463999999978
4	38	2	tempo_seq_rand_08.wav	tempo_seq_A_19.wav	1200	400	2	1209.90299999999
4	39	1	tempo_seq_A_17.wav	tempo_seq_rand_31.wav	1200	400	2	1821.29100000003
4	40	1	tempo_seq_A_06.wav	tempo_seq_rand_17.wav	1200	400	3	264.616999999969
4	41	1	tempo_seq_A_18.wav	tempo_seq_rand_41.wav	1200	400	3	264.090000000026
4	42	2	tempo_seq_rand_24.wav	tempo_seq_A_01.wav	1200	400	2	519.491000000038
4	43	2	tempo_seq_rand_04.wav	tempo_seq_A_04.wav	1200	400	3	438.939000000013
4	44	1	tempo_seq_A_22.wav	tempo_seq_rand_38.wav	1200	400	2	530.320000000007
4	45	2	tempo_seq_rand_39.wav	tempo_seq_A_10.wav	1200	400	2	321.826000000001
4	46	1	tempo_seq_A_12.wav	tempo_seq_rand_36.wav	1200	400	2	5545.22200000001
4	47	2	tempo_seq_rand_33.wav	tempo_seq_A_03.wav	1200	400	2	404.314000000013
4	48	1	tempo_seq_A_16.wav	tempo_seq_rand_32.wav	1200	400	2	1087.85200000001
