#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/24/2019 12:05:25
#Subject: r1028
#Sex: F
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_13.wav	tempo_seq_A_08.wav	1200	400	3	423.746000000006
1	2	1	tempo_seq_A_18.wav	tempo_seq_rand_09.wav	1200	400	2	495.158000000003
1	3	2	tempo_seq_rand_02.wav	tempo_seq_A_18.wav	1200	400	2	686.577000000005
1	4	1	tempo_seq_A_06.wav	tempo_seq_rand_31.wav	1200	400	3	469.928
1	5	1	tempo_seq_A_07.wav	tempo_seq_rand_37.wav	1200	400	3	389.316999999995
1	6	2	tempo_seq_rand_47.wav	tempo_seq_A_09.wav	1200	400	3	416.819000000003
1	7	1	tempo_seq_A_16.wav	tempo_seq_rand_36.wav	1200	400	2	844.154999999999
1	8	2	tempo_seq_rand_07.wav	tempo_seq_A_20.wav	1200	400	3	443.540000000008
1	9	1	tempo_seq_A_19.wav	tempo_seq_rand_24.wav	1200	400	2	443.036000000007
1	10	2	tempo_seq_rand_41.wav	tempo_seq_A_21.wav	1200	400	2	802.468999999983
1	11	2	tempo_seq_rand_43.wav	tempo_seq_A_04.wav	1200	400	2	669.839000000007
1	12	1	tempo_seq_A_02.wav	tempo_seq_rand_25.wav	1200	400	3	629.222999999998
2	13	1	tempo_seq_A_24.wav	tempo_seq_rand_15.wav	1200	400	2	464.393000000011
2	14	1	tempo_seq_A_04.wav	tempo_seq_rand_46.wav	1200	400	2	679.747000000003
2	15	2	tempo_seq_rand_29.wav	tempo_seq_A_22.wav	1200	400	3	359.135999999999
2	16	1	tempo_seq_A_10.wav	tempo_seq_rand_14.wav	1200	400	2	514.627999999997
2	17	2	tempo_seq_rand_48.wav	tempo_seq_A_02.wav	1200	400	3	362.065999999992
2	18	1	tempo_seq_A_23.wav	tempo_seq_rand_16.wav	1200	400	2	685.462999999989
2	19	2	tempo_seq_rand_18.wav	tempo_seq_A_06.wav	1200	400	2	516.858999999997
2	20	2	tempo_seq_rand_03.wav	tempo_seq_A_03.wav	1200	400	3	748.288
2	21	2	tempo_seq_rand_28.wav	tempo_seq_A_11.wav	1200	400	2	983.657999999996
2	22	1	tempo_seq_A_03.wav	tempo_seq_rand_04.wav	1200	400	2	603.040999999997
2	23	2	tempo_seq_rand_20.wav	tempo_seq_A_07.wav	1200	400	2	622.427999999956
2	24	1	tempo_seq_A_17.wav	tempo_seq_rand_45.wav	1200	400	3	897.926999999967
3	25	2	tempo_seq_rand_11.wav	tempo_seq_A_13.wav	1200	400	2	380.29700000002
3	26	1	tempo_seq_A_20.wav	tempo_seq_rand_32.wav	1200	400	3	335.760000000009
3	27	2	tempo_seq_rand_39.wav	tempo_seq_A_14.wav	1200	400	2	499.20199999999
3	28	1	tempo_seq_A_13.wav	tempo_seq_rand_23.wav	1200	400	3	418.563000000024
3	29	1	tempo_seq_A_14.wav	tempo_seq_rand_38.wav	1200	400	3	413.993000000017
3	30	1	tempo_seq_A_22.wav	tempo_seq_rand_26.wav	1200	400	2	361.441999999981
3	31	2	tempo_seq_rand_12.wav	tempo_seq_A_23.wav	1200	400	3	412.923999999999
3	32	1	tempo_seq_A_09.wav	tempo_seq_rand_35.wav	1200	400	2	368.321999999986
3	33	2	tempo_seq_rand_21.wav	tempo_seq_A_15.wav	1200	400	3	387.695999999996
3	34	1	tempo_seq_A_08.wav	tempo_seq_rand_05.wav	1200	400	2	439.191999999981
3	35	2	tempo_seq_rand_19.wav	tempo_seq_A_17.wav	1200	400	3	850.559000000008
3	36	2	tempo_seq_rand_17.wav	tempo_seq_A_05.wav	1200	400	2	1162.00199999998
4	37	1	tempo_seq_A_11.wav	tempo_seq_rand_34.wav	1200	400	2	428.733000000007
4	38	1	tempo_seq_A_12.wav	tempo_seq_rand_30.wav	1200	400	2	412.198000000033
4	39	2	tempo_seq_rand_10.wav	tempo_seq_A_10.wav	1200	400	2	735.619000000006
4	40	2	tempo_seq_rand_44.wav	tempo_seq_A_12.wav	1200	400	2	675.684000000008
4	41	1	tempo_seq_A_05.wav	tempo_seq_rand_01.wav	1200	400	3	331.064000000013
4	42	1	tempo_seq_A_21.wav	tempo_seq_rand_42.wav	1200	400	3	370.539000000048
4	43	2	tempo_seq_rand_22.wav	tempo_seq_A_24.wav	1200	400	2	597.954999999958
4	44	1	tempo_seq_A_15.wav	tempo_seq_rand_08.wav	1200	400	3	345.362999999954
4	45	1	tempo_seq_A_01.wav	tempo_seq_rand_27.wav	1200	400	2	444.837
4	46	2	tempo_seq_rand_06.wav	tempo_seq_A_01.wav	1200	400	2	516.277000000002
4	47	2	tempo_seq_rand_40.wav	tempo_seq_A_16.wav	1200	400	3	315.600999999966
4	48	2	tempo_seq_rand_33.wav	tempo_seq_A_19.wav	1200	400	2	475.116000000038
