#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/01/2019 15:46:17
#Subject: s1107
#Sex: M
#Age: 28
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_08.wav	tempo_seq_A_08.wav	1200	400	2	1463.293
1	2	2	tempo_seq_rand_29.wav	tempo_seq_A_02.wav	1200	400	3	446.685999999994
1	3	1	tempo_seq_A_03.wav	tempo_seq_rand_40.wav	1200	400	2	358.139999999999
1	4	1	tempo_seq_A_02.wav	tempo_seq_rand_04.wav	1200	400	3	329.580999999998
1	5	1	tempo_seq_A_06.wav	tempo_seq_rand_15.wav	1200	400	2	641.066999999995
1	6	2	tempo_seq_rand_35.wav	tempo_seq_A_22.wav	1200	400	3	340.452000000005
1	7	1	tempo_seq_A_18.wav	tempo_seq_rand_12.wav	1200	400	2	363.89899999999
1	8	1	tempo_seq_A_14.wav	tempo_seq_rand_10.wav	1200	400	2	247.385000000009
1	9	2	tempo_seq_rand_39.wav	tempo_seq_A_06.wav	1200	400	2	462.826000000001
1	10	2	tempo_seq_rand_26.wav	tempo_seq_A_01.wav	1200	400	2	382.274999999994
1	11	1	tempo_seq_A_09.wav	tempo_seq_rand_42.wav	1200	400	3	825.752999999997
1	12	2	tempo_seq_rand_13.wav	tempo_seq_A_03.wav	1200	400	2	749.137000000002
2	13	1	tempo_seq_A_17.wav	tempo_seq_rand_18.wav	1200	400	2	268.45299999998
2	14	2	tempo_seq_rand_33.wav	tempo_seq_A_16.wav	1200	400	3	339.898000000016
2	15	2	tempo_seq_rand_24.wav	tempo_seq_A_12.wav	1200	400	2	379.360999999975
2	16	1	tempo_seq_A_21.wav	tempo_seq_rand_25.wav	1200	400	3	310.824999999983
2	17	1	tempo_seq_A_08.wav	tempo_seq_rand_44.wav	1200	400	2	758.269
2	18	1	tempo_seq_A_23.wav	tempo_seq_rand_14.wav	1200	400	3	337.706999999995
2	19	2	tempo_seq_rand_45.wav	tempo_seq_A_14.wav	1200	400	2	593.179999999993
2	20	1	tempo_seq_A_12.wav	tempo_seq_rand_32.wav	1200	400	3	300.589999999997
2	21	2	tempo_seq_rand_19.wav	tempo_seq_A_04.wav	1200	400	2	372.051999999996
2	22	2	tempo_seq_rand_16.wav	tempo_seq_A_20.wav	1200	400	3	239.539999999979
2	23	2	tempo_seq_rand_43.wav	tempo_seq_A_13.wav	1200	400	3	1178.97
2	24	1	tempo_seq_A_20.wav	tempo_seq_rand_21.wav	1200	400	2	326.421999999991
3	25	2	tempo_seq_rand_03.wav	tempo_seq_A_24.wav	1200	400	2	509.747000000003
3	26	1	tempo_seq_A_04.wav	tempo_seq_rand_27.wav	1200	400	2	365.203999999969
3	27	1	tempo_seq_A_22.wav	tempo_seq_rand_20.wav	1200	400	3	384.683000000019
3	28	1	tempo_seq_A_16.wav	tempo_seq_rand_09.wav	1200	400	2	316.098999999987
3	29	1	tempo_seq_A_01.wav	tempo_seq_rand_34.wav	1200	400	2	596.285000000033
3	30	2	tempo_seq_rand_01.wav	tempo_seq_A_07.wav	1200	400	2	887.70199999999
3	31	2	tempo_seq_rand_41.wav	tempo_seq_A_09.wav	1200	400	2	855.084999999963
3	32	1	tempo_seq_A_10.wav	tempo_seq_rand_30.wav	1200	400	2	330.494000000006
3	33	2	tempo_seq_rand_28.wav	tempo_seq_A_15.wav	1200	400	3	225.972999999998
3	34	1	tempo_seq_A_13.wav	tempo_seq_rand_37.wav	1200	400	2	245.401000000013
3	35	2	tempo_seq_rand_07.wav	tempo_seq_A_10.wav	1200	400	2	288.934999999998
3	36	2	tempo_seq_rand_06.wav	tempo_seq_A_11.wav	1200	400	2	528.396999999997
4	37	1	tempo_seq_A_05.wav	tempo_seq_rand_02.wav	1200	400	2	219.715000000026
4	38	1	tempo_seq_A_24.wav	tempo_seq_rand_17.wav	1200	400	3	255.188000000024
4	39	2	tempo_seq_rand_46.wav	tempo_seq_A_18.wav	1200	400	2	254.692000000039
4	40	2	tempo_seq_rand_36.wav	tempo_seq_A_05.wav	1200	400	2	318.135000000009
4	41	1	tempo_seq_A_07.wav	tempo_seq_rand_47.wav	1200	400	2	421.592999999993
4	42	1	tempo_seq_A_19.wav	tempo_seq_rand_05.wav	1200	400	3	257.072000000044
4	43	1	tempo_seq_A_15.wav	tempo_seq_rand_48.wav	1200	400	2	312.517000000051
4	44	2	tempo_seq_rand_22.wav	tempo_seq_A_21.wav	1200	400	3	303.962999999989
4	45	1	tempo_seq_A_11.wav	tempo_seq_rand_11.wav	1200	400	2	319.450000000012
4	46	2	tempo_seq_rand_38.wav	tempo_seq_A_17.wav	1200	400	3	278.85500000004
4	47	2	tempo_seq_rand_31.wav	tempo_seq_A_23.wav	1200	400	2	262.310999999987
4	48	2	tempo_seq_rand_23.wav	tempo_seq_A_19.wav	1200	400	2	325.764000000025
