#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/01/2019 11:41:55
#Subject: s1311
#Sex: w
#Age: 000
#Handedness: r


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_36.wav	tempo_seq_A_09.wav	1200	400	3	341.738000000001
1	2	1	tempo_seq_A_01.wav	tempo_seq_rand_08.wav	1200	400	3	293.232
1	3	2	tempo_seq_rand_07.wav	tempo_seq_A_23.wav	1200	400	2	348.633999999998
1	4	1	tempo_seq_A_14.wav	tempo_seq_rand_31.wav	1200	400	3	376.133000000002
1	5	2	tempo_seq_rand_47.wav	tempo_seq_A_17.wav	1200	400	3	307.616000000002
1	6	1	tempo_seq_A_15.wav	tempo_seq_rand_35.wav	1200	400	3	259.006000000001
1	7	1	tempo_seq_A_19.wav	tempo_seq_rand_25.wav	1200	400	2	522.474999999991
1	8	2	tempo_seq_rand_04.wav	tempo_seq_A_20.wav	1200	400	3	305.911999999997
1	9	2	tempo_seq_rand_14.wav	tempo_seq_A_24.wav	1200	400	3	225.380000000005
1	10	1	tempo_seq_A_23.wav	tempo_seq_rand_16.wav	1200	400	3	268.883000000002
1	11	2	tempo_seq_rand_43.wav	tempo_seq_A_05.wav	1200	400	3	340.263999999996
1	12	1	tempo_seq_A_12.wav	tempo_seq_rand_01.wav	1200	400	3	187.779999999999
2	13	2	tempo_seq_rand_21.wav	tempo_seq_A_04.wav	1200	400	2	1035.079
2	14	1	tempo_seq_A_09.wav	tempo_seq_rand_41.wav	1200	400	2	358.583999999973
2	15	2	tempo_seq_rand_26.wav	tempo_seq_A_19.wav	1200	400	3	1378.625
2	16	1	tempo_seq_A_18.wav	tempo_seq_rand_33.wav	1200	400	3	334.013000000006
2	17	2	tempo_seq_rand_28.wav	tempo_seq_A_13.wav	1200	400	3	1021.49600000001
2	18	1	tempo_seq_A_13.wav	tempo_seq_rand_44.wav	1200	400	3	152.940000000002
2	19	2	tempo_seq_rand_39.wav	tempo_seq_A_10.wav	1200	400	3	396.364999999991
2	20	2	tempo_seq_rand_06.wav	tempo_seq_A_06.wav	1200	400	3	311.820999999996
2	21	1	tempo_seq_A_17.wav	tempo_seq_rand_32.wav	1200	400	3	271.284000000014
2	22	1	tempo_seq_A_16.wav	tempo_seq_rand_02.wav	1200	400	2	414.734999999986
2	23	2	tempo_seq_rand_27.wav	tempo_seq_A_18.wav	1200	400	3	458.191000000021
2	24	1	tempo_seq_A_07.wav	tempo_seq_rand_18.wav	1200	400	3	769.693999999989
3	25	1	tempo_seq_A_20.wav	tempo_seq_rand_09.wav	1200	400	2	320.970000000001
3	26	1	tempo_seq_A_03.wav	tempo_seq_rand_38.wav	1200	400	3	224.418999999994
3	27	2	tempo_seq_rand_17.wav	tempo_seq_A_14.wav	1200	400	3	419.994000000006
3	28	1	tempo_seq_A_04.wav	tempo_seq_rand_13.wav	1200	400	2	927.5
3	29	1	tempo_seq_A_05.wav	tempo_seq_rand_37.wav	1200	400	2	735.56799999997
3	30	2	tempo_seq_rand_20.wav	tempo_seq_A_03.wav	1200	400	3	623.392999999982
3	31	2	tempo_seq_rand_29.wav	tempo_seq_A_15.wav	1200	400	2	401.673999999999
3	32	2	tempo_seq_rand_34.wav	tempo_seq_A_12.wav	1200	400	3	717.106000000029
3	33	1	tempo_seq_A_24.wav	tempo_seq_rand_40.wav	1200	400	3	436.527000000002
3	34	2	tempo_seq_rand_19.wav	tempo_seq_A_07.wav	1200	400	3	247.954000000027
3	35	2	tempo_seq_rand_12.wav	tempo_seq_A_11.wav	1200	400	2	543.445999999996
3	36	1	tempo_seq_A_06.wav	tempo_seq_rand_22.wav	1200	400	3	382.978999999992
4	37	2	tempo_seq_rand_42.wav	tempo_seq_A_16.wav	1200	400	3	290.171000000031
4	38	1	tempo_seq_A_02.wav	tempo_seq_rand_45.wav	1200	400	2	305.647999999987
4	39	1	tempo_seq_A_21.wav	tempo_seq_rand_03.wav	1200	400	3	321.127000000037
4	40	1	tempo_seq_A_08.wav	tempo_seq_rand_23.wav	1200	400	3	608.543000000005
4	41	2	tempo_seq_rand_15.wav	tempo_seq_A_08.wav	1200	400	2	660.006999999983
4	42	1	tempo_seq_A_22.wav	tempo_seq_rand_48.wav	1200	400	2	763.449999999953
4	43	2	tempo_seq_rand_30.wav	tempo_seq_A_01.wav	1200	400	3	278.850000000035
4	44	1	tempo_seq_A_10.wav	tempo_seq_rand_11.wav	1200	400	2	366.292999999947
4	45	1	tempo_seq_A_11.wav	tempo_seq_rand_05.wav	1200	400	3	233.746999999974
4	46	2	tempo_seq_rand_10.wav	tempo_seq_A_21.wav	1200	400	2	285.225999999966
4	47	2	tempo_seq_rand_46.wav	tempo_seq_A_22.wav	1200	400	2	292.725000000035
4	48	2	tempo_seq_rand_24.wav	tempo_seq_A_02.wav	1200	400	2	396.20199999999
