#Experiment: RPSL_posttest								
#Section: posttest								
#DateTime: 10/01/2019 11:41:55								
#Subject: s1311								
#Sex: w								
#Age: 000								
#Handedness: r								
								
								
Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_A_10.wav	tempo_seq_rand_07.wav	1200	400	2	
1	2	1	tempo_seq_A_10.wav	tempo_seq_rand_43.wav	1200	400	2	
1	3	2	tempo_seq_A_13.wav	tempo_seq_rand_18.wav	1200	400	3	
1	4	1	tempo_seq_A_17.wav	tempo_seq_rand_10.wav	1200	400	3	
1	5	2	tempo_seq_A_12.wav	tempo_seq_rand_06.wav	1200	400	3	
1	6	1	tempo_seq_A_19.wav	tempo_seq_rand_39.wav	1200	400	2	
1	7	2	tempo_seq_A_03.wav	tempo_seq_rand_44.wav	1200	400	2	
1	8	2	tempo_seq_A_08.wav	tempo_seq_rand_32.wav	1200	400	3	
1	9	2	tempo_seq_A_17.wav	tempo_seq_rand_03.wav	1200	400	3	
1	10	1	tempo_seq_A_03.wav	tempo_seq_rand_34.wav	1200	400	3	
1	11	1	tempo_seq_A_07.wav	tempo_seq_rand_15.wav	1200	400	2	
1	12	1	tempo_seq_A_14.wav	tempo_seq_rand_40.wav	1200	400	3	
2	13	1	tempo_seq_A_09.wav	tempo_seq_rand_38.wav	1200	400	3	
2	14	2	tempo_seq_A_22.wav	tempo_seq_rand_48.wav	1200	400	2	
2	15	1	tempo_seq_A_16.wav	tempo_seq_rand_30.wav	1200	400	2	
2	16	2	tempo_seq_A_20.wav	tempo_seq_rand_31.wav	1200	400	2	
2	17	1	tempo_seq_A_01.wav	tempo_seq_rand_28.wav	1200	400	3	
2	18	1	tempo_seq_A_22.wav	tempo_seq_rand_27.wav	1200	400	2	
2	19	2	tempo_seq_A_01.wav	tempo_seq_rand_20.wav	1200	400	3	
2	20	1	tempo_seq_A_04.wav	tempo_seq_rand_02.wav	1200	400	2	
2	21	2	tempo_seq_A_04.wav	tempo_seq_rand_41.wav	1200	400	3	
2	22	1	tempo_seq_A_02.wav	tempo_seq_rand_16.wav	1200	400	3	
2	23	2	tempo_seq_A_24.wav	tempo_seq_rand_46.wav	1200	400	2	
2	24	2	tempo_seq_A_18.wav	tempo_seq_rand_45.wav	1200	400	2	
3	25	2	tempo_seq_A_02.wav	tempo_seq_rand_42.wav	1200	400	3	
3	26	2	tempo_seq_A_23.wav	tempo_seq_rand_29.wav	1200	400	3	
3	27	1	tempo_seq_A_18.wav	tempo_seq_rand_05.wav	1200	400	3	
3	28	2	tempo_seq_A_11.wav	tempo_seq_rand_21.wav	1200	400	3	
3	29	2	tempo_seq_A_09.wav	tempo_seq_rand_17.wav	1200	400	2	
3	30	2	tempo_seq_A_16.wav	tempo_seq_rand_11.wav	1200	400	3	
3	31	1	tempo_seq_A_20.wav	tempo_seq_rand_01.wav	1200	400	2	
3	32	1	tempo_seq_A_06.wav	tempo_seq_rand_25.wav	1200	400	2	
3	33	2	tempo_seq_A_07.wav	tempo_seq_rand_23.wav	1200	400	3	
3	34	1	tempo_seq_A_12.wav	tempo_seq_rand_22.wav	1200	400	3	
3	35	1	tempo_seq_A_23.wav	tempo_seq_rand_26.wav	1200	400	3	
3	36	1	tempo_seq_A_11.wav	tempo_seq_rand_19.wav	1200	400	2	
4	37	2	tempo_seq_A_14.wav	tempo_seq_rand_08.wav	1200	400	2	
4	38	1	tempo_seq_A_13.wav	tempo_seq_rand_12.wav	1200	400	3	
4	39	1	tempo_seq_A_15.wav	tempo_seq_rand_37.wav	1200	400	2	
4	40	1	tempo_seq_A_05.wav	tempo_seq_rand_09.wav	1200	400	2	
4	41	2	tempo_seq_A_06.wav	tempo_seq_rand_47.wav	1200	400	2	
4	42	2	tempo_seq_A_05.wav	tempo_seq_rand_35.wav	1200	400	3	
4	43	1	tempo_seq_A_24.wav	tempo_seq_rand_13.wav	1200	400	3	
4	44	1	tempo_seq_A_08.wav	tempo_seq_rand_33.wav	1200	400	3	
4	45	2	tempo_seq_A_21.wav	tempo_seq_rand_36.wav	1200	400	2	
4	46	2	tempo_seq_A_15.wav	tempo_seq_rand_14.wav	1200	400	3	
4	47	1	tempo_seq_A_21.wav	tempo_seq_rand_24.wav	1200	400	2	
4	48	2	tempo_seq_A_19.wav	tempo_seq_rand_04.wav	1200	400	3	
