Scenario - _RPSL_incidental
Logfile written - 10/07/2019 09:52:07
      

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

s1911	1	Picture	instruct	333	0	1	315353	1	0	next	other	0
s1911	1	Response	1	315235	314902	0
s1911	2	Sound	po	350685	34999	1			35000		other	0
s1911	3	Audio Cue	za	353460	106	1			0		other	0
s1911	3	Sound	cue_linfade_exp_seq_A_04.wav	353460	106	1			0		hit	14
s1911	3	Audio Cue	be	355961	2606	1			0		other	0
s1911	3	Audio Cue	tu	358461	5106	1			0		other	0
s1911	3	Audio Cue	ro	360961	7606	1			0		other	0
s1911	3	Audio Cue	ki	363461	10107	1			0		other	0
s1911	3	Audio Cue	se	365961	12607	1			0		other	0
s1911	3	Audio Cue	mi	368461	15107	1			0		other	0
s1911	3	Audio Cue	po	370961	17607	1			0		other	0
s1911	3	Audio Cue	la	373462	20107	1			0		other	0
s1911	3	Response	1	375714	22360	0
s1911	3	Audio Cue	ro	375961	22607	1			0		other	0
s1911	3	Audio Cue	ki	378461	25107	1			0		other	0
s1911	3	Audio Cue	se	380962	27608	1			0		other	0
s1911	3	Audio Cue	nu	383461	30106	1			0		other	0
s1911	3	Audio Cue	ga	385961	32607	1			0		other	0
s1911	3	Audio Cue	di	388462	35107	1			0		other	0
s1911	3	Audio Cue	ro	390962	37608	1			0		other	0
s1911	3	Audio Cue	ki	393462	40107	1			0		other	0
s1911	3	Audio Cue	se	395961	42607	1			0		other	0
s1911	3	Audio Cue	za	398462	45107	1			0		other	0
s1911	3	Audio Cue	be	400964	47609	1			0		other	0
s1911	3	Audio Cue	tu	403462	50108	1			0		other	0
s1911	3	Audio Cue	mi	405962	52607	1			0		other	0
s1911	3	Audio Cue	po	408462	55108	1			0		other	0
s1911	3	Audio Cue	la	410963	57609	1			0		other	0
s1911	3	Response	1	413074	59720	0
s1911	3	Audio Cue	nu	413462	60108	1			0		other	0
s1911	3	Audio Cue	ga	415963	62608	1			0		other	0
s1911	3	Audio Cue	di	418463	65108	1			0		other	0
s1911	3	Audio Cue	mi	420963	67608	1			0		other	0
s1911	3	Audio Cue	po	423462	70107	1			0		other	0
s1911	3	Audio Cue	la	425962	72608	1			0		other	0
s1911	3	Response	1	428354	75000	0
s1911	3	Audio Cue	ro	428463	75109	1			0		other	0
s1911	3	Audio Cue	ki	430964	77609	1			0		other	0
s1911	3	Audio Cue	se	433464	80110	1			0		other	0
s1911	3	Audio Cue	nu	435964	82609	1			0		other	0
s1911	3	Audio Cue	ga	438463	85109	1			0		other	0
s1911	3	Audio Cue	di	440963	87609	1			0		other	0
s1911	3	Audio Cue	za	443463	90109	1			0		other	0
s1911	3	Audio Cue	be	445963	92609	1			0		other	0
s1911	3	Audio Cue	tu	448464	95109	1			0		other	0
s1911	3	Audio Cue	nu	450963	97609	1			0		other	0
s1911	3	Audio Cue	ga	453464	100109	1			0		other	0
s1911	3	Audio Cue	di	455964	102610	1			0		other	0
s1911	3	Audio Cue	mi	458464	105110	1			0		other	0
s1911	3	Audio Cue	po	460964	107609	1			0		other	0
s1911	3	Audio Cue	la	463464	110110	1			0		other	0
s1911	3	Response	1	464195	110840	0
s1911	3	Audio Cue	ro	465964	112610	1			0		other	0
s1911	3	Audio Cue	ki	468464	115110	1			0		other	0
