#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/07/2019 09:52:59
#Subject: s1911
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	1	tempo_seq_A_01.wav	tempo_seq_rand_07.wav	1200	400	2	1081.185
1	2	2	tempo_seq_rand_12.wav	tempo_seq_A_11.wav	1200	400	3	949.838000000003
1	3	2	tempo_seq_rand_02.wav	tempo_seq_A_14.wav	1200	400	2	807.945999999996
1	4	2	tempo_seq_rand_41.wav	tempo_seq_A_01.wav	1200	400	2	432.710000000006
1	5	2	tempo_seq_rand_10.wav	tempo_seq_A_17.wav	1200	400	3	848.142999999996
1	6	1	tempo_seq_A_15.wav	tempo_seq_rand_21.wav	1200	400	2	694.319000000003
1	7	2	tempo_seq_rand_46.wav	tempo_seq_A_04.wav	1200	400	2	531.013000000006
1	8	1	tempo_seq_A_24.wav	tempo_seq_rand_13.wav	1200	400	3	966.459000000003
1	9	1	tempo_seq_A_04.wav	tempo_seq_rand_28.wav	1200	400	2	767.869000000006
1	10	1	tempo_seq_A_12.wav	tempo_seq_rand_27.wav	1200	400	2	809.339000000007
1	11	1	tempo_seq_A_05.wav	tempo_seq_rand_25.wav	1200	400	2	754.130000000005
1	12	2	tempo_seq_rand_45.wav	tempo_seq_A_02.wav	1200	400	2	796.195999999996
2	13	2	tempo_seq_rand_06.wav	tempo_seq_A_12.wav	1200	400	3	833.940999999992
2	14	1	tempo_seq_A_02.wav	tempo_seq_rand_47.wav	1200	400	3	1089.427
2	15	1	tempo_seq_A_21.wav	tempo_seq_rand_14.wav	1200	400	2	822.779999999999
2	16	2	tempo_seq_rand_26.wav	tempo_seq_A_15.wav	1200	400	3	774.228000000003
2	17	1	tempo_seq_A_20.wav	tempo_seq_rand_29.wav	1200	400	3	1119.69700000001
2	18	1	tempo_seq_A_07.wav	tempo_seq_rand_01.wav	1200	400	2	1115.09599999999
2	19	2	tempo_seq_rand_44.wav	tempo_seq_A_18.wav	1200	400	2	1158.465
2	20	2	tempo_seq_rand_23.wav	tempo_seq_A_09.wav	1200	400	2	753.219999999972
2	21	1	tempo_seq_A_19.wav	tempo_seq_rand_16.wav	1200	400	3	1171.33399999997
2	22	1	tempo_seq_A_08.wav	tempo_seq_rand_08.wav	1200	400	2	868.727000000014
2	23	2	tempo_seq_rand_11.wav	tempo_seq_A_23.wav	1200	400	2	546.150000000023
2	24	2	tempo_seq_rand_09.wav	tempo_seq_A_20.wav	1200	400	2	780.934999999998
3	25	1	tempo_seq_A_16.wav	tempo_seq_rand_17.wav	1200	400	2	941.487999999954
3	26	2	tempo_seq_rand_33.wav	tempo_seq_A_10.wav	1200	400	3	648.891999999993
3	27	1	tempo_seq_A_09.wav	tempo_seq_rand_34.wav	1200	400	2	1127.62299999996
3	28	2	tempo_seq_rand_15.wav	tempo_seq_A_05.wav	1200	400	2	947.063999999955
3	29	1	tempo_seq_A_11.wav	tempo_seq_rand_37.wav	1200	400	2	533.181000000041
3	30	1	tempo_seq_A_03.wav	tempo_seq_rand_39.wav	1200	400	3	583.959000000032
3	31	2	tempo_seq_rand_19.wav	tempo_seq_A_06.wav	1200	400	3	705.391999999993
3	32	1	tempo_seq_A_06.wav	tempo_seq_rand_43.wav	1200	400	2	837.549999999988
3	33	2	tempo_seq_rand_20.wav	tempo_seq_A_16.wav	1200	400	2	1084.25
3	34	2	tempo_seq_rand_18.wav	tempo_seq_A_22.wav	1200	400	3	873.71100000001
3	35	2	tempo_seq_rand_35.wav	tempo_seq_A_07.wav	1200	400	3	815.130999999994
3	36	1	tempo_seq_A_17.wav	tempo_seq_rand_32.wav	1200	400	2	718.592999999993
4	37	1	tempo_seq_A_23.wav	tempo_seq_rand_22.wav	1200	400	3	337.88400000002
4	38	1	tempo_seq_A_14.wav	tempo_seq_rand_36.wav	1200	400	3	716.706000000006
4	39	2	tempo_seq_rand_40.wav	tempo_seq_A_03.wav	1200	400	2	768.119000000064
4	40	2	tempo_seq_rand_38.wav	tempo_seq_A_21.wav	1200	400	2	497.594000000041
4	41	2	tempo_seq_rand_05.wav	tempo_seq_A_19.wav	1200	400	3	1014.35699999996
4	42	2	tempo_seq_rand_30.wav	tempo_seq_A_24.wav	1200	400	3	1150.44499999995
4	43	1	tempo_seq_A_13.wav	tempo_seq_rand_31.wav	1200	400	2	849.228000000003
4	44	2	tempo_seq_rand_03.wav	tempo_seq_A_08.wav	1200	400	3	631.314999999944
4	45	2	tempo_seq_rand_42.wav	tempo_seq_A_13.wav	1200	400	3	614.090000000084
4	46	1	tempo_seq_A_18.wav	tempo_seq_rand_04.wav	1200	400	2	1773.49300000002
4	47	1	tempo_seq_A_10.wav	tempo_seq_rand_48.wav	1200	400	3	710.873000000021
4	48	1	tempo_seq_A_22.wav	tempo_seq_rand_24.wav	1200	400	2	1154.99800000002
