#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 10/07/2019 09:14:39
#Subject: s1911
#Sex: M
#Age: 22
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_46.wav	tempo_seq_A_07.wav	1200	400	3	672.875999999989
1	2	1	tempo_seq_A_05.wav	tempo_seq_rand_36.wav	1200	400	3	474.990999999995
1	3	2	tempo_seq_rand_01.wav	tempo_seq_A_04.wav	1200	400	2	423.706000000006
1	4	1	tempo_seq_A_06.wav	tempo_seq_rand_20.wav	1200	400	2	719.19200000001
1	5	1	tempo_seq_A_22.wav	tempo_seq_rand_47.wav	1200	400	2	608.622000000003
1	6	2	tempo_seq_rand_05.wav	tempo_seq_A_01.wav	1200	400	3	310.733999999997
1	7	1	tempo_seq_A_15.wav	tempo_seq_rand_24.wav	1200	400	2	249.483000000007
1	8	1	tempo_seq_A_01.wav	tempo_seq_rand_44.wav	1200	400	2	728.273000000001
1	9	2	tempo_seq_rand_17.wav	tempo_seq_A_20.wav	1200	400	2	386.377000000008
1	10	2	tempo_seq_rand_11.wav	tempo_seq_A_05.wav	1200	400	3	747.147999999987
1	11	2	tempo_seq_rand_21.wav	tempo_seq_A_23.wav	1200	400	2	389.285000000003
1	12	1	tempo_seq_A_07.wav	tempo_seq_rand_27.wav	1200	400	3	486.035000000003
2	13	2	tempo_seq_rand_32.wav	tempo_seq_A_16.wav	1200	400	2	507.657999999996
2	14	2	tempo_seq_rand_35.wav	tempo_seq_A_10.wav	1200	400	3	806.402000000002
2	15	1	tempo_seq_A_03.wav	tempo_seq_rand_14.wav	1200	400	3	277.81700000001
2	16	1	tempo_seq_A_02.wav	tempo_seq_rand_10.wav	1200	400	2	811.326000000001
2	17	2	tempo_seq_rand_42.wav	tempo_seq_A_12.wav	1200	400	2	1297.39199999999
2	18	1	tempo_seq_A_12.wav	tempo_seq_rand_45.wav	1200	400	3	494.080000000016
2	19	2	tempo_seq_rand_31.wav	tempo_seq_A_08.wav	1200	400	2	762.871000000014
2	20	1	tempo_seq_A_10.wav	tempo_seq_rand_33.wav	1200	400	3	669.067999999999
2	21	2	tempo_seq_rand_02.wav	tempo_seq_A_15.wav	1200	400	3	1106.75899999999
2	22	2	tempo_seq_rand_09.wav	tempo_seq_A_17.wav	1200	400	2	813.79700000002
2	23	1	tempo_seq_A_17.wav	tempo_seq_rand_28.wav	1200	400	3	460.612000000023
2	24	1	tempo_seq_A_18.wav	tempo_seq_rand_48.wav	1200	400	3	490.020000000019
3	25	1	tempo_seq_A_11.wav	tempo_seq_rand_15.wav	1200	400	3	841.449000000022
3	26	2	tempo_seq_rand_40.wav	tempo_seq_A_02.wav	1200	400	3	574.983999999997
3	27	1	tempo_seq_A_24.wav	tempo_seq_rand_23.wav	1200	400	2	1367.62599999999
3	28	2	tempo_seq_rand_07.wav	tempo_seq_A_22.wav	1200	400	2	1225.06700000004
3	29	2	tempo_seq_rand_26.wav	tempo_seq_A_18.wav	1200	400	2	864.398999999976
3	30	1	tempo_seq_A_14.wav	tempo_seq_rand_08.wav	1200	400	2	1173.94500000001
3	31	2	tempo_seq_rand_29.wav	tempo_seq_A_11.wav	1200	400	2	1183.266
3	32	2	tempo_seq_rand_30.wav	tempo_seq_A_09.wav	1200	400	2	1191.38299999997
3	33	1	tempo_seq_A_19.wav	tempo_seq_rand_38.wav	1200	400	3	856.092999999993
3	34	1	tempo_seq_A_04.wav	tempo_seq_rand_41.wav	1200	400	3	845.523999999976
3	35	2	tempo_seq_rand_43.wav	tempo_seq_A_03.wav	1200	400	3	730.91399999999
3	36	1	tempo_seq_A_16.wav	tempo_seq_rand_16.wav	1200	400	2	534.364999999991
4	37	2	tempo_seq_rand_13.wav	tempo_seq_A_21.wav	1200	400	3	881.67300000001
4	38	1	tempo_seq_A_20.wav	tempo_seq_rand_06.wav	1200	400	2	806.516000000003
4	39	1	tempo_seq_A_23.wav	tempo_seq_rand_04.wav	1200	400	2	1278.53600000002
4	40	1	tempo_seq_A_09.wav	tempo_seq_rand_12.wav	1200	400	3	819.271000000008
4	41	1	tempo_seq_A_21.wav	tempo_seq_rand_19.wav	1200	400	2	1058.74899999995
4	42	2	tempo_seq_rand_22.wav	tempo_seq_A_14.wav	1200	400	2	1008.11400000006
4	43	2	tempo_seq_rand_03.wav	tempo_seq_A_06.wav	1200	400	3	1215.54700000002
4	44	1	tempo_seq_A_08.wav	tempo_seq_rand_25.wav	1200	400	2	942.98199999996
4	45	2	tempo_seq_rand_18.wav	tempo_seq_A_24.wav	1200	400	3	1345.68299999996
4	46	2	tempo_seq_rand_39.wav	tempo_seq_A_19.wav	1200	400	2	771.729999999981
4	47	1	tempo_seq_A_13.wav	tempo_seq_rand_37.wav	1200	400	2	1132.53999999992
4	48	2	tempo_seq_rand_34.wav	tempo_seq_A_13.wav	1200	400	2	1486.59999999998
