Scenario - _RPSL_incidental
Logfile written - 09/19/2019 09:42:46

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

t0204	1	Picture	instruct	166	0	1	610705	2	0	next	other	0
t0204	1	Response	1	610449	610283	0
t0204	2	Sound	se	645868	34997	1			35000		other	0
t0204	3	Audio Cue	ro	649533	992	1			0		other	0
t0204	3	Sound	cue_linfade_exp_seq_A_15.wav	649533	992	1			0		hit	12
t0204	3	Audio Cue	ki	652032	3492	1			0		other	0
t0204	3	Audio Cue	se	654533	5993	1			0		other	0
t0204	3	Audio Cue	za	657033	8493	1			0		other	0
t0204	3	Audio Cue	be	659533	10993	1			0		other	0
t0204	3	Audio Cue	tu	662033	13493	1			0		other	0
t0204	3	Audio Cue	mi	664533	15992	1			0		other	0
t0204	3	Response	1	666929	18388	0
t0204	3	Audio Cue	po	667033	18492	1			0		other	0
t0204	3	Audio Cue	la	669533	20993	1			0		other	0
t0204	3	Audio Cue	za	672033	23493	1			0		other	0
t0204	3	Audio Cue	be	674533	25993	1			0		other	0
t0204	3	Audio Cue	tu	677033	28493	1			0		other	0
t0204	3	Audio Cue	mi	679533	30993	1			0		other	0
t0204	3	Audio Cue	po	682034	33493	1			0		other	0
t0204	3	Audio Cue	la	684534	35993	1			0		other	0
t0204	3	Audio Cue	ro	687034	38494	1			0		other	0
t0204	3	Audio Cue	ki	689534	40994	1			0		other	0
t0204	3	Audio Cue	se	692034	43494	1			0		other	0
t0204	3	Audio Cue	za	694534	45994	1			0		other	0
t0204	3	Response	1	696368	47828	0
t0204	3	Audio Cue	be	697034	48494	1			0		other	0
t0204	3	Audio Cue	tu	699534	50994	1			0		other	0
t0204	3	Audio Cue	ro	702035	53494	1			0		other	0
t0204	3	Audio Cue	ki	704535	55995	1			0		other	0
t0204	3	Audio Cue	se	707034	58494	1			0		other	0
t0204	3	Audio Cue	za	709534	60993	1			0		other	0
t0204	3	Audio Cue	be	712034	63493	1			0		other	0
t0204	3	Response	1	712769	64228	0
t0204	3	Audio Cue	tu	714535	65994	1			0		other	0
t0204	3	Audio Cue	nu	717035	68494	1			0		other	0
t0204	3	Audio Cue	ga	719534	70994	1			0		other	0
t0204	3	Audio Cue	di	722035	73494	1			0		other	0
t0204	3	Audio Cue	ro	724535	75994	1			0		other	0
t0204	3	Audio Cue	ki	727035	78495	1			0		other	0
t0204	3	Audio Cue	se	729535	80995	1			0		other	0
t0204	3	Audio Cue	mi	732035	83495	1			0		other	0
t0204	3	Response	1	733969	85428	0
t0204	3	Audio Cue	po	734536	85995	1			0		other	0
t0204	3	Audio Cue	la	737035	88495	1			0		other	0
t0204	3	Audio Cue	nu	739535	90995	1			0		other	0
t0204	3	Audio Cue	ga	742035	93495	1			0		other	0
t0204	3	Audio Cue	di	744536	95995	1			0		other	0
t0204	3	Audio Cue	mi	747035	98495	1			0		other	0
t0204	3	Audio Cue	po	749535	100995	1			0		other	0
t0204	3	Audio Cue	la	752036	103495	1			0		other	0
t0204	3	Audio Cue	ro	754536	105995	1			0		other	0
t0204	3	Audio Cue	ki	757036	108496	1			0		other	0
t0204	3	Audio Cue	se	759536	110996	1			0		other	0
t0204	3	Audio Cue	za	762036	113496	1			0		other	0
t0204	3	Response	1	763729	115188	0
t0204	3	Audio Cue	be	764536	115995	1			0		other	0
t0204	3	Audio Cue	tu	767036	118496	1			0		other	0
t0204	3	Audio Cue	mi	769537	120996	1			0		other	0
t0204	3	Audio Cue	po	772036	123496	1			0		other	0
t0204	3	Audio Cue	la	774537	125997	1			0		other	0
t0204	3	Audio Cue	za	777036	128496	1			0		other	0
t0204	3	Audio Cue	be	779537	130996	1			0		other	0
t0204	3	Audio Cue	tu	782037	133496	1			0		other	0
t0204	3	Audio Cue	mi	784537	135997	1			0		other	0
t0204	3	Audio Cue	po	787037	138497	1			0		other	0
t0204	3	Audio Cue	la	789536	140996	1			0		other	0
t0204	3	Audio Cue	nu	792037	143497	1			0		other	0
t0204	3	Audio Cue	ga	794537	145997	1			0		other	0
t0204	3	Audio Cue	di	797037	148497	1			0		other	0
t0204	3	Audio Cue	mi	799538	150997	1			0		other	0
t0204	3	Audio Cue	po	802038	153498	1			0		other	0
t0204	3	Audio Cue	la	804538	155997	1			0		other	0
t0204	3	Audio Cue	ro	807037	158497	1			0		other	0
t0204	3	Audio Cue	ki	809538	160997	1			0		other	0
t0204	3	Audio Cue	se	812038	163498	1			0		other	0
t0204	3	Audio Cue	nu	814538	165998	1			0		other	0
t0204	3	Response	1	815889	167348	0
t0204	3	Audio Cue	ga	817037	168497	1			0		other	0
t0204	3	Audio Cue	di	819537	170997	1			0		other	0
t0204	3	Audio Cue	ro	822038	173497	1			0		other	0
t0204	3	Audio Cue	ki	824538	175997	1			0		other	0
t0204	3	Audio Cue	se	827038	178498	1			0		other	0
t0204	3	Audio Cue	mi	829538	180998	1			0		other	0
t0204	3	Audio Cue	po	832039	183498	1			0		other	0
t0204	3	Response	1	832208	183668	0
t0204	3	Audio Cue	la	834538	185998	1			0		other	0
t0204	3	Audio Cue	nu	837038	188498	1			0		other	0
t0204	3	Audio Cue	ga	839538	190998	1			0		other	0
t0204	3	Audio Cue	di	842039	193498	1			0		other	0
t0204	3	Audio Cue	za	844539	195998	1			0		other	0
t0204	3	Audio Cue	be	847038	198498	1			0		other	0
t0204	3	Audio Cue	tu	849539	200998	1			0		other	0
t0204	3	Audio Cue	nu	852039	203499	1			0		other	0
t0204	3	Audio Cue	ga	854539	205999	1			0		other	0
t0204	3	Audio Cue	di	857039	208499	1			0		other	0
t0204	3	Audio Cue	ro	859539	210999	1			0		other	0
t0204	3	Audio Cue	ki	862039	213499	1			0		other	0
t0204	3	Audio Cue	se	864540	215999	1			0		other	0
