#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 09/19/2019 09:43:08
#Subject: t0204
#Sex: Sex
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_27.wav	tempo_seq_A_15.wav	1200	400	2	669.360999999997
1	2	2	tempo_seq_rand_42.wav	tempo_seq_A_14.wav	1200	400	3	948.860000000001
1	3	1	tempo_seq_A_11.wav	tempo_seq_rand_15.wav	1200	400	3	528.188000000002
1	4	2	tempo_seq_rand_44.wav	tempo_seq_A_24.wav	1200	400	2	415.602000000006
1	5	1	tempo_seq_A_18.wav	tempo_seq_rand_21.wav	1200	400	3	403.055
1	6	1	tempo_seq_A_15.wav	tempo_seq_rand_45.wav	1200	400	2	158.486999999994
1	7	2	tempo_seq_rand_19.wav	tempo_seq_A_17.wav	1200	400	3	65.9240000000136
1	8	1	tempo_seq_A_05.wav	tempo_seq_rand_01.wav	1200	400	2	369.354999999996
1	9	1	tempo_seq_A_02.wav	tempo_seq_rand_36.wav	1200	400	2	468.777999999991
1	10	2	tempo_seq_rand_08.wav	tempo_seq_A_12.wav	1200	400	2	908.180999999997
1	11	1	tempo_seq_A_13.wav	tempo_seq_rand_17.wav	1200	400	3	67.6330000000016
1	12	2	tempo_seq_rand_09.wav	tempo_seq_A_20.wav	1200	400	3	267.107000000004
2	13	1	tempo_seq_A_12.wav	tempo_seq_rand_41.wav	1200	400	2	706.119999999995
2	14	2	tempo_seq_rand_47.wav	tempo_seq_A_06.wav	1200	400	2	401.599999999977
2	15	2	tempo_seq_rand_32.wav	tempo_seq_A_09.wav	1200	400	3	388.942999999999
2	16	1	tempo_seq_A_14.wav	tempo_seq_rand_10.wav	1200	400	2	152.437999999995
2	17	2	tempo_seq_rand_04.wav	tempo_seq_A_07.wav	1200	400	2	523.862999999983
2	18	2	tempo_seq_rand_18.wav	tempo_seq_A_01.wav	1200	400	3	243.272999999987
2	19	1	tempo_seq_A_16.wav	tempo_seq_rand_25.wav	1200	400	2	846.725000000006
2	20	2	tempo_seq_rand_12.wav	tempo_seq_A_10.wav	1200	400	3	702.125
2	21	1	tempo_seq_A_01.wav	tempo_seq_rand_48.wav	1200	400	2	573.553000000014
2	22	1	tempo_seq_A_04.wav	tempo_seq_rand_23.wav	1200	400	2	184.994999999995
2	23	2	tempo_seq_rand_35.wav	tempo_seq_A_13.wav	1200	400	3	3428.397
2	24	1	tempo_seq_A_20.wav	tempo_seq_rand_38.wav	1200	400	3	627.690999999992
3	25	2	tempo_seq_rand_16.wav	tempo_seq_A_22.wav	1200	400	3	406.562999999966
3	26	1	tempo_seq_A_03.wav	tempo_seq_rand_34.wav	1200	400	2	106.005000000005
3	27	2	tempo_seq_rand_43.wav	tempo_seq_A_08.wav	1200	400	2	665.466000000015
3	28	1	tempo_seq_A_23.wav	tempo_seq_rand_46.wav	1200	400	3	392.878999999957
3	29	1	tempo_seq_A_17.wav	tempo_seq_rand_28.wav	1200	400	2	372.320999999996
3	30	2	tempo_seq_rand_22.wav	tempo_seq_A_02.wav	1200	400	2	1247.74599999998
3	31	2	tempo_seq_rand_37.wav	tempo_seq_A_04.wav	1200	400	3	7.77400000003399
3	32	1	tempo_seq_A_22.wav	tempo_seq_rand_02.wav	1200	400	2	467.248000000021
3	33	1	tempo_seq_A_09.wav	tempo_seq_rand_13.wav	1200	400	2	450.71100000001
3	34	1	tempo_seq_A_19.wav	tempo_seq_rand_31.wav	1200	400	3	790.053999999946
3	35	2	tempo_seq_rand_05.wav	tempo_seq_A_05.wav	1200	400	2	417.462
3	36	2	tempo_seq_rand_33.wav	tempo_seq_A_16.wav	1200	400	3	340.918999999994
4	37	2	tempo_seq_rand_26.wav	tempo_seq_A_23.wav	1200	400	3	2811.98800000001
4	38	2	tempo_seq_rand_29.wav	tempo_seq_A_21.wav	1200	400	2	1543.304
4	39	1	tempo_seq_A_08.wav	tempo_seq_rand_30.wav	1200	400	3	518.651000000013
4	40	1	tempo_seq_A_07.wav	tempo_seq_rand_20.wav	1200	400	3	1374.07799999998
4	41	1	tempo_seq_A_10.wav	tempo_seq_rand_11.wav	1200	400	2	417.429999999993
4	42	2	tempo_seq_rand_14.wav	tempo_seq_A_19.wav	1200	400	3	1540.87799999997
4	43	2	tempo_seq_rand_39.wav	tempo_seq_A_11.wav	1200	400	3	668.263000000035
4	44	1	tempo_seq_A_06.wav	tempo_seq_rand_40.wav	1200	400	3	1043.76000000001
4	45	1	tempo_seq_A_21.wav	tempo_seq_rand_06.wav	1200	400	2	631.04700000002
4	46	2	tempo_seq_rand_03.wav	tempo_seq_A_03.wav	1200	400	3	1682.49600000004
4	47	2	tempo_seq_rand_07.wav	tempo_seq_A_18.wav	1200	400	2	689.821999999986
4	48	1	tempo_seq_A_24.wav	tempo_seq_rand_24.wav	1200	400	3	841.267999999982
