#Experiment: RPSL_pretest
#Section: pretest
#DateTime: 09/19/2019 09:08:22
#Subject: t0204
#Sex: F
#Age: Age
#Handedness: R


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_34.wav	tempo_seq_A_04.wav	1200	400	2	12487.1
1	2	1	tempo_seq_A_04.wav	tempo_seq_rand_23.wav	1200	400	3	1805.758
1	3	2	tempo_seq_rand_39.wav	tempo_seq_A_21.wav	1200	400	3	1273.11
1	4	2	tempo_seq_rand_24.wav	tempo_seq_A_24.wav	1200	400	3	2184.44500000001
1	5	2	tempo_seq_rand_11.wav	tempo_seq_A_03.wav	1200	400	2	491.788
1	6	1	tempo_seq_A_10.wav	tempo_seq_rand_44.wav	1200	400	3	2499.19100000001
1	7	1	tempo_seq_A_16.wav	tempo_seq_rand_17.wav	1200	400	2	2378.527
1	8	2	tempo_seq_rand_20.wav	tempo_seq_A_11.wav	1200	400	3	1477.81999999999
1	9	1	tempo_seq_A_24.wav	tempo_seq_rand_31.wav	1200	400	2	1037.14899999999
1	10	1	tempo_seq_A_21.wav	tempo_seq_rand_32.wav	1200	400	3	1264.54000000001
1	11	1	tempo_seq_A_15.wav	tempo_seq_rand_04.wav	1200	400	2	928.560999999987
1	12	2	tempo_seq_rand_21.wav	tempo_seq_A_09.wav	1200	400	3	1815.99600000001
2	13	1	tempo_seq_A_14.wav	tempo_seq_rand_16.wav	1200	400	3	1114.83300000001
2	14	2	tempo_seq_rand_47.wav	tempo_seq_A_23.wav	1200	400	2	738.233999999997
2	15	2	tempo_seq_rand_22.wav	tempo_seq_A_18.wav	1200	400	3	1521.625
2	16	1	tempo_seq_A_20.wav	tempo_seq_rand_05.wav	1200	400	3	280.956000000006
2	17	1	tempo_seq_A_06.wav	tempo_seq_rand_12.wav	1200	400	2	1384.432
2	18	2	tempo_seq_rand_29.wav	tempo_seq_A_08.wav	1200	400	2	1139.823
2	19	2	tempo_seq_rand_18.wav	tempo_seq_A_22.wav	1200	400	3	539.163
2	20	1	tempo_seq_A_07.wav	tempo_seq_rand_10.wav	1200	400	2	434.620000000024
2	21	2	tempo_seq_rand_40.wav	tempo_seq_A_02.wav	1200	400	2	1630.016
2	22	1	tempo_seq_A_11.wav	tempo_seq_rand_30.wav	1200	400	3	337.564000000013
2	23	2	tempo_seq_rand_45.wav	tempo_seq_A_12.wav	1200	400	2	2104.82500000001
2	24	1	tempo_seq_A_01.wav	tempo_seq_rand_14.wav	1200	400	2	937.124000000011
3	25	2	tempo_seq_rand_08.wav	tempo_seq_A_05.wav	1200	400	2	1191.19500000001
3	26	1	tempo_seq_A_09.wav	tempo_seq_rand_03.wav	1200	400	2	554.561000000045
3	27	2	tempo_seq_rand_15.wav	tempo_seq_A_06.wav	1200	400	3	301.973999999987
3	28	2	tempo_seq_rand_02.wav	tempo_seq_A_13.wav	1200	400	2	389.411000000022
3	29	1	tempo_seq_A_22.wav	tempo_seq_rand_36.wav	1200	400	3	1520.83799999999
3	30	2	tempo_seq_rand_38.wav	tempo_seq_A_14.wav	1200	400	2	2336.21399999998
3	31	2	tempo_seq_rand_26.wav	tempo_seq_A_20.wav	1200	400	3	623.533999999985
3	32	1	tempo_seq_A_03.wav	tempo_seq_rand_28.wav	1200	400	2	1098.93299999996
3	33	2	tempo_seq_rand_43.wav	tempo_seq_A_17.wav	1200	400	3	1546.31700000004
3	34	1	tempo_seq_A_08.wav	tempo_seq_rand_19.wav	1200	400	3	2461.68300000002
3	35	1	tempo_seq_A_18.wav	tempo_seq_rand_48.wav	1200	400	2	804.979999999981
3	36	1	tempo_seq_A_12.wav	tempo_seq_rand_33.wav	1200	400	3	552.390999999945
4	37	2	tempo_seq_rand_07.wav	tempo_seq_A_01.wav	1200	400	2	563.545999999973
4	38	2	tempo_seq_rand_06.wav	tempo_seq_A_16.wav	1200	400	3	110.97000000003
4	39	1	tempo_seq_A_02.wav	tempo_seq_rand_01.wav	1200	400	3	630.398000000045
4	40	1	tempo_seq_A_05.wav	tempo_seq_rand_13.wav	1200	400	2	2089.82900000003
4	41	2	tempo_seq_rand_46.wav	tempo_seq_A_19.wav	1200	400	2	465.157000000007
4	42	1	tempo_seq_A_17.wav	tempo_seq_rand_42.wav	1200	400	3	2160.56199999998
4	43	1	tempo_seq_A_13.wav	tempo_seq_rand_37.wav	1200	400	2	1595.88500000001
4	44	1	tempo_seq_A_23.wav	tempo_seq_rand_35.wav	1200	400	3	1095.24900000001
4	45	2	tempo_seq_rand_41.wav	tempo_seq_A_15.wav	1200	400	2	230.642999999982
4	46	1	tempo_seq_A_19.wav	tempo_seq_rand_25.wav	1200	400	2	1450.12699999998
4	47	2	tempo_seq_rand_27.wav	tempo_seq_A_07.wav	1200	400	3	1721.4360000001
4	48	2	tempo_seq_rand_09.wav	tempo_seq_A_10.wav	1200	400	2	384.792000000016
