#Experiment: RPSL_posttest
#Section: posttest
#DateTime: 10/02/2019 11:50:42
#Subject: t2311
#Sex: M
#Age: Age
#Handedness: Handedness


Block	Trial	Order	Seq1	Seq2	ITI	ISI	Resp	RT
1	1	2	tempo_seq_rand_01.wav	tempo_seq_A_07.wav	1200	400	3	848.119999999999
1	2	2	tempo_seq_rand_22.wav	tempo_seq_A_18.wav	1200	400	3	319.480000000003
1	3	1	tempo_seq_A_01.wav	tempo_seq_rand_48.wav	1200	400	3	1534.929
1	4	1	tempo_seq_A_14.wav	tempo_seq_rand_47.wav	1200	400	3	302.286
1	5	1	tempo_seq_A_24.wav	tempo_seq_rand_44.wav	1200	400	2	301.697999999997
1	6	2	tempo_seq_rand_39.wav	tempo_seq_A_15.wav	1200	400	3	613.107999999993
1	7	2	tempo_seq_rand_37.wav	tempo_seq_A_06.wav	1200	400	3	568.565000000002
1	8	2	tempo_seq_rand_45.wav	tempo_seq_A_03.wav	1200	400	2	1307.947
1	9	2	tempo_seq_rand_06.wav	tempo_seq_A_21.wav	1200	400	3	355.337
1	10	1	tempo_seq_A_04.wav	tempo_seq_rand_16.wav	1200	400	3	1470.777
1	11	1	tempo_seq_A_02.wav	tempo_seq_rand_04.wav	1200	400	3	486.092999999993
1	12	1	tempo_seq_A_17.wav	tempo_seq_rand_09.wav	1200	400	3	1053.54300000001
2	13	1	tempo_seq_A_21.wav	tempo_seq_rand_33.wav	1200	400	3	856.219000000012
2	14	2	tempo_seq_rand_32.wav	tempo_seq_A_19.wav	1200	400	2	576.276000000013
2	15	2	tempo_seq_rand_20.wav	tempo_seq_A_12.wav	1200	400	3	499.671000000002
2	16	2	tempo_seq_rand_02.wav	tempo_seq_A_22.wav	1200	400	2	843.130999999994
2	17	2	tempo_seq_rand_24.wav	tempo_seq_A_16.wav	1200	400	3	502.502999999997
2	18	1	tempo_seq_A_18.wav	tempo_seq_rand_19.wav	1200	400	2	285.891999999993
2	19	1	tempo_seq_A_09.wav	tempo_seq_rand_08.wav	1200	400	2	1405.367
2	20	2	tempo_seq_rand_34.wav	tempo_seq_A_05.wav	1200	400	2	368.754999999976
2	21	1	tempo_seq_A_15.wav	tempo_seq_rand_10.wav	1200	400	2	1380.11600000001
2	22	2	tempo_seq_rand_21.wav	tempo_seq_A_09.wav	1200	400	2	1239.54199999999
2	23	1	tempo_seq_A_12.wav	tempo_seq_rand_30.wav	1200	400	3	418.860999999975
2	24	1	tempo_seq_A_03.wav	tempo_seq_rand_23.wav	1200	400	3	438.285000000003
3	25	2	tempo_seq_rand_03.wav	tempo_seq_A_24.wav	1200	400	2	444.475999999966
3	26	1	tempo_seq_A_19.wav	tempo_seq_rand_13.wav	1200	400	3	396.553000000014
3	27	1	tempo_seq_A_05.wav	tempo_seq_rand_14.wav	1200	400	3	1031.95800000004
3	28	2	tempo_seq_rand_36.wav	tempo_seq_A_01.wav	1200	400	2	563.312000000034
3	29	2	tempo_seq_rand_26.wav	tempo_seq_A_10.wav	1200	400	3	766.791999999958
3	30	2	tempo_seq_rand_46.wav	tempo_seq_A_08.wav	1200	400	2	530.137999999977
3	31	2	tempo_seq_rand_28.wav	tempo_seq_A_11.wav	1200	400	2	1785.587
3	32	2	tempo_seq_rand_11.wav	tempo_seq_A_20.wav	1200	400	3	1900.94799999997
3	33	1	tempo_seq_A_07.wav	tempo_seq_rand_12.wav	1200	400	2	548.282000000007
3	34	1	tempo_seq_A_16.wav	tempo_seq_rand_25.wav	1200	400	3	1431.68399999995
3	35	1	tempo_seq_A_06.wav	tempo_seq_rand_40.wav	1200	400	3	523.012000000046
3	36	1	tempo_seq_A_22.wav	tempo_seq_rand_31.wav	1200	400	3	258.445000000007
4	37	2	tempo_seq_rand_43.wav	tempo_seq_A_23.wav	1200	400	2	401.300999999978
4	38	2	tempo_seq_rand_17.wav	tempo_seq_A_13.wav	1200	400	3	324.677000000025
4	39	1	tempo_seq_A_13.wav	tempo_seq_rand_35.wav	1200	400	2	1572.17099999997
4	40	2	tempo_seq_rand_15.wav	tempo_seq_A_14.wav	1200	400	2	687.516999999993
4	41	2	tempo_seq_rand_38.wav	tempo_seq_A_02.wav	1200	400	3	1758.92699999997
4	42	2	tempo_seq_rand_05.wav	tempo_seq_A_04.wav	1200	400	2	338.232999999949
4	43	1	tempo_seq_A_11.wav	tempo_seq_rand_18.wav	1200	400	2	297.68200000003
4	44	1	tempo_seq_A_10.wav	tempo_seq_rand_29.wav	1200	400	3	377.117000000027
4	45	2	tempo_seq_rand_42.wav	tempo_seq_A_17.wav	1200	400	2	564.583999999973
4	46	1	tempo_seq_A_23.wav	tempo_seq_rand_07.wav	1200	400	2	1167.98499999999
4	47	1	tempo_seq_A_08.wav	tempo_seq_rand_41.wav	1200	400	2	699.331999999995
4	48	1	tempo_seq_A_20.wav	tempo_seq_rand_27.wav	1200	400	3	1202.78000000003
